gene	bp_HG002_v4.2.1	fraction_HG002_v4.2.1	bp_coordinates_plus_segdups_plus_flanking_hifiasm_dip.bed	fraction_coordinates_plus_segdups_plus_flanking_hifiasm_dip.bed	chrom	start	end	start_coordinates_plus_segdups_plus_flanking	end_coordinates_plus_segdups_plus_flanking	bp_MRG_benchmark_bed	fraction_MRG_benchmark_bed	bp_in_AllRepeats_gt_10kb	fraction_in_AllRepeats_gt_10kb	bp_in_reference_gaps_stratification	fraction_in_reference_gaps_stratification	bp_in_Tier1andTier2_SV_0.6_slop150_stratification	fraction_in_Tier1andTier2_SV_0.6_slop150_stratification	bp_in_illumina_ccs_ont_cnv_stratification	fraction_in_illumina_ccs_ont_cnv_stratification	bp_in_ccs_ont_elliptical_outlier_cnv_stratification	fraction_in_ccs_ont_elliptical_outlier_cnv_stratification	bp_in_assembly_cnv_stratification	fraction_in_assembly_cnv_stratification	bp_in_vdj_stratification	fraction_in_vdj_stratification	bp_in_inversions_stratification	fraction_in_inversions_stratification	bp_in_segmental_duplications_gt5_percent_identity_gte_990_stratification	fraction_in_segmental_duplications_gt5_percent_identity_gte_990_stratification	bp_in_segmental_duplications_stratification	fraction_in_segmental_duplications_stratification	bp_in_low_mappability_and_segmental_duplications_stratification	fraction_in_low_mappability_and_segmental_duplications_stratification	num_v0.6_SVs_in_gene	num_MRG_SV_v0.1_in_gene	num_MRG_small_variant_v0.2_variants_in_gene	num_v4.2.1_small_variants_in_gene	bp_exon_covered_v4.2.1	fraction_exon_covered_v4.2.1	bp_exon_covered_MRG_benchmark	fraction_exon_covered_MRG_benchmark	mandelker	cosmic	high_priority	num_v4.2.1_variants_in_exons	num_MRG_SV_v0.1_benchmark_variants_in_exons	num_MRG_small_variant_v0.2_variants_in_exons	num_MRG_small_variant_v0.03_variants_in_gene	bp_MRG_small_variant_v0.03	fraction_MRG_small_variant_v0.03	num_MRG_SV_v0.02_SVs_in_gene	bp_exon_covered_MRG_small_variant_v0.03_benchmark	fraction_exon_covered_MRG_small_variant_v0.03_benchmark	num_MRG_small_variant_v0.03_variants_in_exons	num_MRG_SV_v0.02_variants_in_exons	bp_in_HG002_GIABv4.1_CNVsandSVs_stratification	fraction_in_HG002_GIABv4.1_CNVsandSVs_stratification	bp_in_HG002_GIABv4.1_complexandSVs_alldifficultregions_stratification	fraction_in_HG002_GIABv4.1_complexandSVs_alldifficultregions_stratification	num_breaks_in_hifiasm_dip.bed_plus_segdups_plus_flanking
DNAJC19	5861	0.966364386	46065	1	3	180701497	180707562	180681497	180727562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0.003957131	0	0	0	0	1633	1	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOX2	2405	0.959313921	42507	1	3	181429714	181432221	181409714	181452221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1626	0.648583965	1646	0.656561627	0	0	0	0	2405	0.959313921	0	0	yes	yes	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCCC1	97168	0.963423461	140857	1	3	182733006	182833863	182713006	182853863	0	0	0	0	0	0	1740	0.017252149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2975	0.029497209	0	0	0	162	2455	0.97189232	0	0	yes	no	yes	3	0	0	0	0	0	0	0	0	0	0	1740	0.017252149	1740	0.0172521	0
B3GNT5	44521	0.983672117	85260	1	3	182971032	183016292	182951032	183036292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	0.00687141	0	0	0	20	4780	1	0	0	yes	no	no	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLHL24	47119	0.963401419	88909	1	3	183353356	183402265	183333356	183422265	0	0	0	0	0	0	326	0.00666544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390	0.007973993	1	0	0	189	7426	1	0	0	no	no	yes	13	0	0	0	0	0	0	0	0	0	0	326	0.00666544	326	0.0066654	0
PARL	53285	0.959260459	95548	1	3	183547173	183602721	183527173	183622721	0	0	0	0	0	0	740	0.013321812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	481	0.008659178	2	0	0	78	1404	1	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	740	0.013321812	740	0.0133218	0
HTR3C	7520	0.986358867	47624	1	3	183770835	183778459	183750835	183798459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0.02544596	0	0	0	17	1688	1	0	0	yes	no	no	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF2B5	522207	0.949950884	589720	1	3	183852826	184402546	183832826	184422546	9848	0.017914575	0	0	0	0	5193	0.009446627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5845	0.010632686	3	0	1	862	2639	1	2639	1	yes	no	no	0	0	0	1	9848	0.017914575	0	2639	1	0	0	5193	0.009446627	5193	0.0094466	0
ALG3	6941	0.957775631	47247	1	3	183960089	183967336	183940089	183987336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0.012694908	0	0	0	6	1841	1	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECE2	40542	0.934556603	83381	1	3	183967438	184010819	183947438	184030819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	652	0.015029621	0	0	0	56	5070	0.980088923	0	0	yes	no	no	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF4G1	20433	0.97938935	60863	1	3	184032283	184053146	184012283	184073146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	6348	0.996702779	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLCN2	15343	0.992047071	55466	1	3	184063973	184079439	184043973	184099439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0.005883874	0	0	0	15	3266	1	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THPO	6103	0.982928008	46209	1	3	184089723	184095932	184069723	184115932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0.00789177	0	0	0	13	1849	1	0	0	yes	no	no	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHRD	10018	0.939510457	50663	1	3	184097861	184108524	184077861	184128524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0.003938854	0	0	0	9	3498	1	0	0	yes	no	no	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EHHADH	86221	0.943688024	131366	1	3	184908412	184999778	184888412	185019778	0	0	0	0	0	0	2821	0.030875818	0	0	0	0	0	0	0	0	0	0	0	0	1390	0.015213537	5157	0.056443316	1	0	0	108	3966	1	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	2821	0.030875818	2821	0.0308758	0
MAP3K13	195619	0.948888221	246156	1	3	185000729	185206885	184980729	185226885	0	0	0	0	0	0	4395	0.021318807	0	0	2000	0.009701391	0	0	0	0	0	0	0	0	2890	0.01401851	6367	0.030884379	1	0	0	349	9960	0.98986285	0	0	no	yes	no	8	0	0	0	0	0	0	0	0	0	0	4395	0.021318807	4395	0.0213188	0
LIPH	43331	0.934844987	89466	1	3	185224050	185270401	185204050	185293516	0	0	0	0	0	0	624	0.013462493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	0.00655865	0	0	0	80	3911	0.973854582	0	0	yes	no	no	5	0	0	0	0	0	0	0	0	0	0	624	0.013462493	624	0.0134625	0
IGF2BP2	176512	0.973499451	221317	1	3	185361527	185542844	185341527	185562844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1887	0.010407187	2995	0.016518032	2	0	0	73	3241	0.882625272	0	0	yes	yes	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETV5	63195	0.987267614	104010	1	3	185764097	185828107	185744097	185848107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0.003124512	0	0	0	48	4061	0.940917516	0	0	no	yes	no	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYGS	8261	1	48261	1	3	186256230	186264491	186236230	186284491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0.009684058	0	0	0	3	1224	1	0	0	yes	no	no	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AHSG	8395	1	48395	1	3	186330712	186339107	186310712	186359107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1704	1	0	0	yes	no	no	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HRG	17748	0.984687084	58024	1	3	186378005	186396029	186358005	186416029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1835	0.1018087	0	0	0	63	2008	1	0	0	yes	no	no	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KNG1	18702	0.701027063	66678	1	3	186435065	186461743	186415065	186481743	26380	0.988829747	0	0	0	0	5284	0.198065822	0	0	1935	0.072531674	0	0	0	0	0	0	0	0	0	0	301	0.011282705	0	0	65	43	729	0.195494771	3729	1	yes	no	no	2	0	8	65	26380	0.988829747	0	3729	1	8	0	7219	0.270597496	7219	0.2705975	0
EIF4A2	6695	1	48587	1	3	186500994	186507689	186479102	186527689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0.026587005	0	0	0	6	1908	1	0	0	no	yes	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADIPOQ	15585	0.987079612	55789	1	3	186560463	186576252	186540463	186596252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	4580	0.978214438	0	0	yes	no	no	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ST6GAL1	143479	0.969014027	188067	1	3	186648274	186796341	186628274	186816341	0	0	0	0	0	0	886	0.005983778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3407	0.023009854	1	0	0	289	4785	1	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	886	0.005983778	886	0.0059838	0
MASP1	73393	0.993569611	113868	1	3	186935942	187009810	186915942	187029810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0.003140738	0	0	0	83	7794	0.986582278	0	0	yes	no	no	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCL6	24067	0.988377823	64350	1	3	187439165	187463515	187419165	187483515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	4017	0.994799406	0	0	yes	yes	no	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LPP	718903	0.974931786	777388	1	3	187871072	188608460	187851072	188628460	0	0	0	0	0	0	5137	0.006966482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14588	0.019783343	2	0	0	1214	17739	0.96812749	0	0	yes	yes	no	45	0	0	0	0	0	0	0	0	0	0	5137	0.006966482	5137	0.0069665	0
TP63	260775	0.980862324	305863	1	3	189349205	189615068	189329205	189635068	0	0	0	0	0	0	807	0.003035398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2145	0.008068065	2	0	0	501	6509	1	0	0	yes	yes	no	4	0	0	0	0	0	0	0	0	0	0	807	0.003035398	807	0.0030354	0
LEPREL1	155419	0.937903192	205709	1	3	189674517	189840226	189654517	189860226	0	0	0	0	0	0	6256	0.037752928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1922	0.011598646	2	0	0	449	3680	0.987124464	0	0	yes	no	no	3	0	0	0	0	0	0	0	0	0	0	6256	0.037752928	6256	0.0377529	0
CLDN1	16774	1	56774	1	3	190023490	190040264	190003490	190060264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	3477	1	0	0	yes	no	no	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLDN16	86465	0.964989621	129602	1	3	190040330	190129932	190020330	190149932	0	0	0	0	0	0	1659	0.018515212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0.001997723	0	0	0	207	3163	0.967870257	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	1659	0.018515212	1659	0.0185152	0
CCDC50	68766	0.988116621	109593	1	3	191046866	191116459	191026866	191136459	0	0	0	0	0	0	302	0.004339517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0.001178279	2	0	0	56	8945	1	0	0	yes	no	no	7	0	0	0	0	0	0	0	0	0	0	302	0.004339517	302	0.0043395	0
MB21D2	118867	0.979570814	161346	1	3	192514604	192635950	192494604	192655950	0	0	0	0	0	0	410	0.003378768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	747	0.006155951	0	0	0	270	3366	1	0	0	no	yes	no	4	0	0	0	0	0	0	0	0	0	0	410	0.003378768	410	0.0033788	0
ATP13A4	186296	0.975198132	231034	1	3	193119866	193310900	193099866	193330900	0	0	0	0	0	0	2107	0.01102945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2637	0.013803825	1	0	0	192	4178	1	0	0	yes	no	no	3	0	0	0	0	0	0	0	0	0	0	2107	0.01102945	2107	0.0110295	0
OPA1	103288	0.986711757	144679	1	3	193310933	193415612	193290933	193435612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9801	0.093629095	10759	0.102780883	1	0	0	44	6421	1	0	0	yes	no	no	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOD	15074	0.972327937	55503	1	3	195295573	195311076	195275573	195331076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0.002193124	0	0	0	29	913	0.811555556	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MUC4	33107	0.505357797	81356	0.727737873	3	195473636	195539148	195447355	195559148	0	0	0	0	0	0	26007	0.396980706	0	0	3364	0.051349371	3677	0.056127122	0	0	0	0	0	0	13969	0.213228111	17385	0.26537123	1	0	0	104	2416	0.141410594	0	0	no	yes	no	7	0	0	0	0	0	0	0	0	0	0	29684	0.453107828	29684	0.4531078	1
TFRC	51043	0.927953314	121856	0.708386864	3	195754054	195809060	195657041	195829060	0	0	0	0	0	0	312	0.005672108	0	0	0	0	0	0	0	0	0	0	0	0	1999	0.03634149	2390	0.043449805	0	0	0	97	5263	0.992269985	0	0	yes	yes	no	4	0	0	0	0	0	0	0	0	0	0	312	0.005672108	312	0.0056721	1
TM4SF19	19601	0.879323494	62291	1	3	196042953	196065244	196022953	196085244	17924	0.804091337	0	0	0	0	1383	0.062042977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	676	0.030326141	2	0	35	39	1134	1	1134	1	yes	no	no	1	0	1	35	17924	0.804091337	0	1134	1	1	0	1383	0.062042977	1383	0.062043	0
TM4SF19	17237	0.899587704	59161	1	3	196046213	196065374	196026213	196085374	18054	0.942226397	0	0	0	0	1383	0.072177861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	533	0.02781692	2	0	35	33	1134	1	1134	1	yes	no	no	1	0	1	35	18054	0.942226397	0	1134	1	1	0	1383	0.072177861	1383	0.0721779	0
RNF168	34283	0.979934258	74985	1	3	196195654	196230639	196175654	196250639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	853	0.024381878	0	0	0	53	5141	0.962553829	0	0	yes	no	no	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAK2	86902	0.936544886	132597	0.998546577	3	196466728	196559518	196446728	196579518	0	0	0	0	0	0	1257	0.013546718	0	0	0	0	0	0	0	0	0	0	0	0	4329	0.046653734	7192	0.077508352	4	0	0	139	6002	0.98007838	0	0	yes	no	no	6	0	0	0	0	0	0	0	0	0	0	1257	0.013546718	1257	0.0135467	1
PIGZ	22054	0.970814808	62717	1	3	196673214	196695931	196653214	196715931	0	0	0	0	0	0	543	0.023902804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0.004666109	0	0	0	40	2690	0.997034841	0	0	yes	no	no	3	0	0	0	0	0	0	0	0	0	0	543	0.023902804	543	0.0239028	0
KIAA0226	73125	0.933502694	151935	1	3	197398264	197476598	197344663	197496598	0	0	0	0	0	0	615	0.007850997	0	0	0	0	0	0	0	0	0	0	0	0	2808	0.035846503	5491	0.070097276	1	0	0	137	6815	0.973849671	0	0	yes	no	no	7	0	0	0	0	0	0	0	0	0	0	615	0.007850997	615	0.007851	0
RPL35A	6521	0.984599124	46623	1	3	197676858	197683481	197656858	197703481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1510	1	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF141	42276	0.898533475	87050	1	4	331603	378653	311603	398653	46832	0.995366631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5429	0.115387885	7261	0.154325186	0	0	9	5	2948	0.99393122	2966	1	yes	no	no	1	0	1	4	46734	0.993283741	0	2966	1	1	0	0	0	0	0	0
PDE6B	38920	0.861100049	85198	1	4	619373	664571	599373	684571	42992	0.951192531	0	0	0	0	3159	0.069892473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1251	0.027678216	1	1	13	9	3026	0.89	3369	0.990882353	yes	no	no	1	0	2	13	42991	0.951170406	1	3369	0.990882353	2	0	3159	0.069892473	3159	0.0698925	0
GAK	71183	0.85662539	123097	1	4	843064	926161	823064	946161	78622	0.946147274	0	0	0	0	6875	0.082734635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1988	0.023923848	3	3	177	138	3950	0.894879928	4365	0.988898958	yes	no	no	4	0	4	175	78571	0.945533533	3	4365	0.988898958	4	0	6875	0.082734635	6875	0.0827346	0
SLC26A1	14264	0.992830793	54367	1	4	972861	987228	952861	1007228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0.003619406	0	0	0	16	4091	1	0	0	yes	no	no	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IDUA	16388	0.934801209	57531	1	4	980785	998316	960785	1018316	0	0	0	0	0	0	1143	0.065198791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	542	0.030916662	1	0	0	42	2149	1	0	0	yes	no	yes	11	0	0	0	0	0	0	0	0	0	0	1143	0.065198791	1143	0.0651988	0
FGFRL1	13676	0.806320382	56961	1	4	1003724	1020685	983724	1040685	16008	0.943812275	0	0	0	0	2568	0.151406167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0.01120217	2	1	33	27	2335	0.595815259	3047	0.777494259	yes	no	no	4	2	5	33	16008	0.943812275	1	3047	0.777494259	5	1	2568	0.151406167	2568	0.1514062	0
RNF212	50792	0.886236739	97312	1	4	1050038	1107350	1030038	1127350	56112	0.979061977	0	0	0	0	1861	0.032471385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2530	0.044144333	1	2	227	179	2870	0.931515742	3081	1	yes	no	no	4	0	9	222	55026	0.960113065	2	3081	1	9	0	1861	0.032471385	1861	0.0324714	0
UVSSA	38222	0.937204227	80783	1	4	1341054	1381837	1321054	1401837	39721	0.973959738	0	0	0	0	1961	0.04808376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	579	0.014197092	5	3	90	81	4720	0.999364811	4723	1	yes	no	no	10	0	10	90	39721	0.973959738	3	4723	1	10	0	1961	0.04808376	1961	0.0480838	0
SLBP	18804	0.951860289	59755	1	4	1694527	1714282	1674527	1734282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1884	0.095368261	2285	0.11566692	0	0	0	29	1969	1	0	0	yes	no	no	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGFR3	15565	1	55565	1	4	1795034	1810599	1775034	1830599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	4419	1	0	0	yes	yes	yes	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LETM1	40327	0.900799678	84768	1	4	1813206	1857974	1793206	1877974	0	0	0	0	0	0	2586	0.057764475	0	0	0	0	0	0	0	0	0	0	0	0	2698	0.060266262	4971	0.111039135	1	0	0	12	5243	0.962371512	0	0	yes	no	no	4	0	0	0	0	0	0	0	0	0	0	2586	0.057764475	2586	0.0577645	0
WHSC1	107635	0.971584088	150783	1	4	1873151	1983934	1853151	2003934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1044	0.009423829	0	0	0	19	17011	0.999060316	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NELFA	57041	0.963709473	99189	1	4	1984441	2043630	1964441	2063630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1094	0.018483164	0	0	0	77	3332	1	0	0	yes	no	no	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAT8L	9057	0.945703247	50677	1	4	2061239	2070816	2041239	2091916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	5347	0.911368672	0	0	yes	no	no	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH3BP2	45712	0.950847634	88075	1	4	2794750	2842825	2774750	2862825	0	0	0	0	0	0	1339	0.027852314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	466	0.009693188	0	0	0	103	9545	0.976370704	0	0	yes	no	no	10	0	0	0	0	0	0	0	0	0	0	1339	0.027852314	1339	0.0278523	0
ADD1	83526	0.968765585	126219	1	4	2845584	2931803	2825584	2951803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1965	0.0227908	0	0	0	74	4065	0.999754058	0	0	yes	no	yes	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRK4	74438	0.964985286	117139	1	4	2965335	3042474	2945335	3062474	0	0	0	0	0	0	654	0.008478202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	629	0.008154111	0	0	0	133	2280	0.988725065	0	0	yes	no	no	8	0	0	0	0	0	0	0	0	0	0	654	0.008478202	654	0.0084782	0
HTT	164497	0.971813928	209268	1	4	3076408	3245676	3056408	3265676	0	0	0	0	0	0	1209	0.00714252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4193	0.024771368	0	0	0	29	13397	1	0	0	yes	no	no	6	0	0	0	0	0	0	0	0	0	0	1209	0.00714252	1209	0.0071425	0
DOK7	33515	0.878114602	78167	1	4	3465033	3503200	3445033	3523200	37512	0.982838578	0	0	0	0	3858	0.101082087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0.003170278	1	1	156	125	2236	0.875146771	2503	0.97964775	yes	no	no	15	0	15	155	37452	0.981266539	1	2500	0.978473581	15	0	3858	0.101082087	3858	0.1010821	0
LRPAP1	23101	0.882290036	53469	0.68884709	4	3508103	3534286	3488103	3565724	0	0	0	0	0	0	2339	0.089332773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1093	0.041744643	1	0	0	77	5108	0.653949558	0	0	no	no	yes	16	1	0	0	0	0	0	0	0	0	0	2339	0.089332773	2339	0.0893328	0
ADRA2C	2065	0.948988971	42176	1	4	3768075	3770251	3748075	3790251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2015	0.947789276	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSX1	4124	0.965807963	44270	1	4	4861393	4865663	4841393	4885663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1791	0.92462571	0	0	yes	no	no	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EVC2	164550	0.986652756	206776	1	4	5544499	5711275	5524499	5731275	0	0	0	0	0	0	578	0.003465726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5664	0.033961721	0	0	0	205	5087	1	0	0	yes	no	yes	7	0	0	0	0	0	0	0	0	0	0	578	0.003465726	578	0.0034657	0
EVC	113313	0.961518227	157848	1	4	5712924	5830772	5692924	5850772	0	0	0	0	0	0	788	0.006686579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9589	0.081367524	1	0	0	353	6078	0.846282373	0	0	yes	no	yes	15	1	0	0	0	0	0	0	0	0	0	788	0.006686579	788	0.0066866	0
WFS1	32221	0.964238688	73416	1	4	6271576	6304992	6251576	6324992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0.001615992	1	0	0	112	3633	1	0	0	yes	no	yes	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP2R2C	234318	0.964184313	283022	1	4	6322305	6565327	6302305	6585327	0	0	0	0	0	0	4435	0.018249377	0	0	1000	0.004114854	0	0	0	0	0	0	0	0	0	0	1624	0.006682523	0	0	0	567	4673	1	0	0	yes	no	no	14	0	0	0	0	0	0	0	0	0	0	4435	0.018249377	4435	0.0182494	0
KIAA0232	99080	0.96386011	142795	1	4	6783102	6885897	6763102	6905897	0	0	0	0	0	0	1220	0.011868282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2114	0.020565203	0	0	0	65	7845	1	0	0	yes	no	no	4	0	0	0	0	0	0	0	0	0	0	1220	0.011868282	1220	0.0118683	0
CPZ	25559	0.943101731	50165	0.747604358	4	8594387	8621488	8574387	8641488	0	0	0	0	0	0	858	0.031659348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0.004058891	0	0	0	116	2506	0.990905496	0	0	yes	no	no	15	0	0	0	0	0	0	0	0	0	0	858	0.031659348	858	0.0316593	1
HMX1	0	0	65741	1	4	8847802	8873543	8827802	8893543	25741	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	1891	1	yes	no	no	0	0	5	26	25741	1	0	1891	1	5	0	0	0	0	0	0
SLC2A9	277048	0.976267077	742522	0.987503957	4	9772777	10056560	9324642	10076560	0	0	0	0	0	0	2325	0.00819288	0	0	0	0	0	0	0	0	0	0	0	0	29017	0.102250663	31213	0.10998897	2	0	0	642	2116	1	0	0	yes	no	no	6	0	0	0	0	0	0	0	0	0	0	2325	0.00819288	2325	0.0081929	2
DRD5	2353	0.99115417	471594	0.98046529	4	9783258	9785632	9324642	9805632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2374	1	2374	1	0	0	0	1	2353	0.99115417	0	0	yes	no	no	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NKX3-2	4220	1	44220	1	4	13542454	13546674	13522454	13566674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2799	1	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CC2D2A	130347	0.989794291	171691	1	4	15471489	15603180	15451489	15623180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	812	0.006165949	0	0	0	130	6476	1	0	0	yes	no	no	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
