gene	mandelker	cosmic	high_priority	bp_HG002_v4.2.1	fraction_HG002_v4.2.1	bp_hifiasm_dip.bed	fraction_hifiasm_dip.bed	chrom	start	end	start_coordinates_plus_segdups_plus_flanking	end_coordinates_plus_segdups_plus_flanking	bp_exon_covered_v4.2.1	fraction_exon_covered_v4.2.1	bp_MRG_benchmark_bed	fraction_MRG_benchmark_bed	bp_exon_covered_MRG_benchmark	fraction_exon_covered_MRG_benchmark	bp_in_AllRepeats_gt_10kb	fraction_in_AllRepeats_gt_10kb	bp_in_reference_gaps_stratification	fraction_in_reference_gaps_stratification	bp_in_Tier1andTier2_SV_0.6_slop150_stratification	fraction_in_Tier1andTier2_SV_0.6_slop150_stratification	bp_in_illumina_ccs_ont_cnv_stratification	fraction_in_illumina_ccs_ont_cnv_stratification	bp_in_ccs_ont_elliptical_outlier_cnv_stratification	fraction_in_ccs_ont_elliptical_outlier_cnv_stratification	bp_in_assembly_cnv_stratification	fraction_in_assembly_cnv_stratification	bp_in_vdj_stratification	fraction_in_vdj_stratification	bp_in_inversions_stratification	fraction_in_inversions_stratification	bp_in_segmental_duplications_gt5_percent_identity_gte_990_stratification	fraction_in_segmental_duplications_gt5_percent_identity_gte_990_stratification	bp_in_segmental_duplications_stratification	fraction_in_segmental_duplications_stratification	bp_in_low_mappability_and_segmental_duplications_stratification	fraction_in_low_mappability_and_segmental_duplications_stratification	num_MRG_SV_v0.1_in_gene	num_MRG_SV_v0.1_benchmark_variants_in_exons	num_MRG_small_variant_v0.2_variants_in_gene	num_v4.2.1_small_variants_in_gene	num_v4.2.1_variants_in_exons	num_MRG_small_variant_v0.2_variants_in_exons	bp_MRG_small_variant_v0.03	fraction_MRG_small_variant_v0.03	num_MRG_small_variant_v0.03_variants_in_gene	num_MRG_SV_v0.02_SVs_in_gene	bp_exon_covered_MRG_small_variant_v0.03_benchmark	fraction_exon_covered_MRG_small_variant_v0.03_benchmark	num_MRG_small_variant_v0.03_variants_in_exons	num_MRG_SV_v0.02_variants_in_exons	bp_in_HG002_GIABv4.1_CNVsandSVs_stratification	fraction_in_HG002_GIABv4.1_CNVsandSVs_stratification	bp_in_HG002_GIABv4.1_complexandSVs_alldifficultregions_stratification	fraction_in_HG002_GIABv4.1_complexandSVs_alldifficultregions_stratification	num_breaks_in_hifiasm_dip.bed_plus_segdups_plus_flanking
ETNK1	no	yes	no	64933	0.9899832	105590	1	chr12	22625075	22690665	22605075	22710665	2399	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	507	0.007729837	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	11686	0.1781674	0
SOX5	yes	no	no	992217	0.9604827	1073040	1	chr12	23529504	24562544	23509504	24582544	7545	0.97166774	0	0	0	0	0	0	0	0	4008	0.003879811	0	0	20000	0.019360335	0	0	0	0	0	0	0	0	0	0	7075	0.006848718	0	0	0	1366	6	0	0	0	0	0	0	0	0	0	24008	0.023240146	157657	0.1526146	0
BCAT1	yes	no	no	132735	0.9543993	179077	1	chr12	24810024	24949101	24790024	24969101	7616	0.780008193	0	0	0	0	0	0	0	0	786	0.005651546	0	0	2000	0.014380523	0	0	0	0	0	0	0	0	0	0	1725	0.012403201	0	0	0	253	14	0	0	0	0	0	0	0	0	0	2786	0.020032069	18498	0.1330055	0
KRAS	yes	yes	yes	44152	0.9663384	85690	1	chr12	25205246	25250936	25185246	25270936	5161	0.951511799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4666	0.102123003	4906	0.107375793	0	0	0	66	13	0	0	0	0	0	0	0	0	0	0	0	13538	0.2963012	0
SSPN	yes	no	no	170761	0.9631245	217299	1	chr12	26121991	26299290	26101991	26319290	4726	0.978873239	0	0	0	0	0	0	0	0	303	0.001708977	0	0	4000	0.022560759	0	0	0	0	0	0	0	0	0	0	2603	0.014681414	0	0	0	316	7	0	0	0	0	0	0	0	0	0	4303	0.024269736	22815	0.1286809	0
STK38L	yes	no	no	79571	0.9704846	121991	1	chr12	27243968	27325959	27223968	27345959	4943	1	0	0	0	0	0	0	0	0	818	0.009976705	0	0	0	0	0	0	0	0	0	0	0	0	7300	0.089034162	8136	0.099230403	0	0	0	123	3	0	0	0	0	0	0	0	0	0	818	0.009976705	16474	0.2009245	0
PPFIBP1	no	yes	no	167873	0.9752517	212133	1	chr12	27523431	27695564	27503431	27715564	5967	0.983193277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75356	0.437777765	75937	0.441153062	0	0	0	335	5	0	0	0	0	0	0	0	0	0	0	0	82332	0.4783046	0
PTHLH	yes	no	no	13885	0.9478463	54649	1	chr12	27958084	27972733	27938084	27992733	3022	0.984685565	0	0	0	0	0	0	0	0	429	0.029285275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0.001297017	0	0	0	27	5	0	0	0	0	0	0	0	0	0	429	0.029285275	2523	0.1722302	0
DDX11	yes	no	no	30144	0.9743043	137829	1	chr12	31073860	31104799	31042401	31180230	3893	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30939	1	30939	1	0	0	0	31	7	0	0	0	0	0	0	0	0	0	0	0	30939	1	0
FGD4	yes	no	yes	237718	0.9642911	286521	1	chr12	32399529	32646050	32379529	32666050	8468	0.988098016	0	0	0	0	0	0	0	0	409	0.001659088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6413	0.026014011	0	0	0	640	14	0	0	0	0	0	0	0	0	0	409	0.001659088	31638	0.1283379	0
DNM1L	yes	no	no	62956	0.9474191	106450	1	chr12	32679200	32745650	32659200	32765650	4429	0.955968055	0	0	0	0	0	0	0	0	1813	0.027283672	0	0	0	0	0	0	0	0	0	0	0	0	5801	0.087298721	6791	0.102197141	0	0	0	23	1	0	0	0	0	0	0	0	0	0	1813	0.027283672	15515	0.2334838	0
YARS2	yes	no	no	27964	0.9844053	68407	1	chr12	32727490	32755897	32707490	32775897	2112	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1492	0.052522266	1667	0.058682719	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	3504	0.1233499	0
PKP2	yes	no	yes	101883	0.9609609	146022	1	chr12	32790755	32896777	32770755	32916777	4289	0.986657465	0	0	0	0	0	0	0	0	794	0.007489012	0	0	0	0	0	0	0	0	0	0	0	0	1976	0.018637641	3057	0.028833638	0	0	0	97	1	0	0	0	0	0	0	0	0	0	794	0.007489012	13636	0.1286148	0
ALG10	yes	no	no	7217	0.9987545	95230	1	chr12	34022468	34029694	33968077	34063307	2910	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7226	1	7226	1	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	7226	1	0
ALG10B	yes	no	no	12153	0.9378039	99534	1	chr12	38316762	38329721	38262285	38361819	9253	0.919872751	0	0	0	0	0	0	0	0	447	0.034493402	0	0	0	0	0	0	0	0	0	0	0	0	12959	1	12959	1	0	0	0	30	25	0	0	0	0	0	0	0	0	0	447	0.034493402	12959	1	0
KIF21A	yes	no	no	147573	0.9827586	190162	1	chr12	39293228	39443390	39273228	39463390	6602	1	0	0	0	0	0	0	0	0	740	0.004928011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	670	0.004461848	0	0	0	24	2	0	0	0	0	0	0	0	0	0	740	0.004928011	23190	0.1544332	0
LRRK2	yes	no	no	164840	0.9553671	212541	1	chr12	40196744	40369285	40176744	40389285	8931	0.972028733	0	0	0	0	0	0	0	0	1408	0.008160379	0	0	4000	0.023182896	0	0	0	0	0	0	0	0	0	0	2531	0.014668977	0	0	0	168	3	0	0	0	0	0	0	0	0	0	5408	0.031343275	35483	0.2056497	0
CNTN1	yes	no	no	368812	0.9706192	419976	1	chr12	40692439	41072415	40672439	41092415	6889	1	0	0	0	0	0	0	0	0	2000	0.00526349	0	0	2000	0.00526349	0	0	0	0	0	0	0	0	2513	0.006613576	9715	0.025567404	0	0	0	558	5	0	0	0	0	0	0	0	0	0	4000	0.010526981	71674	0.1886277	0
PRICKLE1	yes	no	no	129398	0.9685624	173598	1	chr12	42456757	42590355	42436757	42610355	6720	0.977596741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1239	0.009274091	0	0	0	286	8	0	0	0	0	0	0	0	0	0	0	0	17274	0.1292983	0
IRAK4	yes	no	no	30266	0.9891173	70599	1	chr12	43758944	43789543	43738944	43809543	4226	0.976432532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0.004607994	0	0	0	51	6	0	0	0	0	0	0	0	0	0	0	0	4897	0.1600379	0
ANO6	yes	no	yes	221779	0.9882451	264417	1	chr12	45215987	45440404	45195987	45460404	7073	0.996618289	0	0	0	0	0	0	0	0	303	0.001350165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11834	0.052732191	0	0	0	147	1	0	0	0	0	0	0	0	0	0	303	0.001350165	28060	0.1250351	0
ARID2	no	yes	no	176464	0.9895141	218334	1	chr12	45729706	45908040	45709706	45928040	8577	1	0	0	0	0	0	0	0	0	314	0.001760741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	502	0.002814943	0	0	0	80	0	0	0	0	0	0	0	0	0	0	314	0.001760741	30156	0.1690984	0
VDR	yes	no	yes	98140	0.9667917	141511	1	chr12	47841537	47943048	47821537	47963048	5038	0.97052591	0	0	0	0	0	0	0	0	1209	0.011910039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	744	0.007329255	0	0	0	140	6	0	0	0	0	0	0	0	0	0	1209	0.011910039	10899	0.1073677	0
COL2A1	yes	yes	yes	31485	0.9967708	71587	1	chr12	47972967	48004554	47952967	48024554	5035	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	3	0	0	0	0	0	0	0	0	0	0	0	4756	0.1505683	0
PFKM	yes	no	yes	41056	0.9949352	81265	1	chr12	48105139	48146404	48085139	48166404	4527	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	839	0.020332	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	3054	0.0740094	0
ADCY6	yes	no	no	22572	0.9881364	62843	1	chr12	48766194	48789037	48746194	48809037	6443	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0.004377709	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2521	0.110362	0
WNT10B	yes	no	no	6022	0.9416732	46395	1	chr12	48965340	48971735	48945340	48991735	2241	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0	0	0	0	0	0	1612	0.2520719	0
WNT1	yes	no	no	4298	1	44298	1	chr12	48978322	48982620	48958322	49002620	2418	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2444	0.5686366	0
KMT2D	yes	yes	no	39972	0.9797299	80799	1	chr12	49018975	49059774	48998975	49079774	19052	0.983836819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0.001495135	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	6076	0.1489252	0
DHH	yes	no	no	8043	0.987477	48145	1	chr12	49086656	49094801	49066656	49114801	4680	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1989	0.2441989	0
TUBA1A	yes	no	no	4178	0.9750292	44285	1	chr12	49184795	49189080	49164795	49209080	2181	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2012	0.469544924	2012	0.469544924	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	2808	0.6553092	0
PRPH	yes	no	no	5434	1	45434	1	chr12	49293252	49298686	49273252	49318686	1791	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	0	0	0	0	0	0	0	0	0	0	0	3001	0.5522635	0
TROAP	yes	no	no	7972	0.9384344	48495	1	chr12	49323236	49331731	49303236	49351731	2797	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0.028369629	0	0	0	12	3	0	0	0	0	0	0	0	0	0	0	0	1048	0.1233667	0
KCNH3	yes	no	no	18808	0.9741545	59307	1	chr12	49539030	49558337	49519030	49578337	4008	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0.001398457	0	0	0	28	2	0	0	0	0	0	0	0	0	0	0	0	4855	0.2514632	0
PRPF40B	no	yes	no	73242	0.958063	116448	1	chr12	49568218	49644666	49548218	49664666	3244	0.987218503	0	0	0	0	0	0	0	0	589	0.007704584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	412	0.005389284	0	0	0	66	1	0	0	0	0	0	0	0	0	0	589	0.007704584	10143	0.1326784	0
AQP2	yes	no	no	8140	1	48140	1	chr12	49950741	49958881	49930741	49978881	4170	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	9	0	0	0	0	0	0	0	0	0	0	0	1306	0.1604423	0
AQP5	yes	no	yes	3668	0.9627296	43810	1	chr12	49961872	49965682	49941872	49985682	1303	0.901730104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	816	0.2141732	0
SMARCD1	no	yes	no	14761	0.9518927	55507	1	chr12	50085200	50100707	50065200	50120707	3237	0.948710434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0.006319727	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	1527	0.0984717	0
GPD1	yes	no	no	7229	0.9860865	47331	1	chr12	50103982	50111313	50083982	50131313	2879	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	175	0.0238712	0
COX14	yes	no	no	7232	0.8635224	48375	1	chr12	50112082	50120457	50092082	50140457	966	1	8334	0.995104478	966	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	0.048358209	0	0	16	9	2	2	8277	0.988298507	15	0	966	1	2	0	0	0	2083	0.2487164	0
DIP2B	yes	no	no	234341	0.9617067	283672	1	chr12	50504985	50748657	50484985	50768657	8667	1	0	0	0	0	0	0	0	0	959	0.003935618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2649	0.010871171	0	0	0	257	6	0	0	0	0	0	0	0	0	0	959	0.003935618	27733	0.1138128	0
ATF1	no	yes	no	56052	0.9756318	97452	1	chr12	50763710	50821162	50743710	50841162	2375	0.987525988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	640	0.011139734	0	0	0	98	3	0	0	0	0	0	0	0	0	0	0	0	8714	0.1516744	0
SLC11A2	yes	no	no	45709	0.9297061	89165	1	chr12	50979401	51028566	50959401	51048566	6937	0.99913582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271	0.005512051	0	0	0	76	8	0	0	0	0	0	0	0	0	0	0	0	8005	0.1628191	0
GALNT6	yes	no	no	40908	0.9828928	81620	1	chr12	51351247	51392867	51331247	51412867	5402	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0.001874099	0	0	0	72	6	0	0	0	0	0	0	0	0	0	0	0	3503	0.0841663	0
SCN8A	yes	no	yes	217754	0.9782388	262598	1	chr12	51590266	51812864	51570266	51832864	11658	0.995049505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4325	0.019429644	9703	0.04358979	0	0	0	250	4	0	0	0	0	0	0	0	0	0	0	0	25310	0.1137027	0
ACVRL1	yes	no	yes	16328	0.9924026	56453	1	chr12	51906908	51923361	51886908	51943361	4167	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2.43E-04	0	0	0	27	5	0	0	0	0	0	0	0	0	0	0	0	3771	0.2291983	0
NR4A1	yes	no	no	36186	0.9866667	76675	1	chr12	52022832	52059507	52002832	52079507	3819	0.96928934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0.007552829	0	0	0	35	1	0	0	0	0	0	0	0	0	0	0	0	7756	0.2114792	0
KRT86	yes	no	yes	58649	0.9797204	99863	1	chr12	52249300	52309163	52229300	52329163	2284	1	0	0	0	0	0	0	0	0	302	0.005044852	0	0	0	0	0	0	0	0	0	0	0	0	8704	0.14539866	9180	0.15335015	0	0	0	140	7	0	0	0	0	0	0	0	0	0	302	0.005044852	14599	0.2438735	0
KRT81	yes	no	yes	5491	0.9768724	45621	1	chr12	52285913	52291534	52265913	52311534	1920	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4352	0.774239459	4356	0.774951076	0	0	0	14	6	0	0	0	0	0	0	0	0	0	0	0	4785	0.851272	0
KRT85	yes	no	no	7475	1	47475	1	chr12	52360006	52367481	52340006	52387481	2693	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0.023010033	0	0	0	15	5	0	0	0	0	0	0	0	0	0	0	0	1200	0.1605351	0
KRT6B	yes	no	no	5495	1	47679	1	chr12	52446651	52452146	52426651	52474330	2293	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5080	0.924476797	5080	0.924476797	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	5080	0.9244768	0
KRT6C	yes	no	no	5289	1	46739	1	chr12	52468516	52473805	52447066	52493805	2300	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4867	0.92021176	4867	0.92021176	0	0	0	30	9	0	0	0	0	0	0	0	0	0	0	0	4867	0.9202117	0
KRT6A	yes	no	no	5840	0.9603683	46081	1	chr12	52487176	52493257	52467176	52513257	2299	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5661	0.930932412	5661	0.930932412	0	0	0	25	9	0	0	0	0	0	0	0	0	0	0	0	5715	0.9398125	0
KRT5	yes	no	no	5955	1	45955	1	chr12	52514575	52520530	52494575	52540530	2229	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0.018639798	0	0	0	22	7	0	0	0	0	0	0	0	0	0	0	0	1179	0.1979849	0
KRT71	yes	no	no	9236	1	49236	1	chr12	52543909	52553145	52523909	52573145	2254	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0.004330879	0	0	0	25	3	0	0	0	0	0	0	0	0	0	0	0	633	0.0685362	0
KRT74	yes	no	no	7945	0.9856097	48061	1	chr12	52565782	52573843	52545782	52593843	2834	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0.004962164	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	416	0.0516065	0
KRT2	yes	no	no	7653	1	47653	1	chr12	52644558	52652211	52624558	52672211	2441	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	356	0.0465177	0
KRT1	yes	no	no	5671	1	45671	1	chr12	52674736	52680407	52654736	52700407	2442	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	0	754	0.1329571	0
KRT3	yes	no	no	6285	0.9771455	46432	1	chr12	52789685	52796117	52769685	52816117	2163	0.936363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0.011038557	0	0	0	12	4	0	0	0	0	0	0	0	0	0	0	0	992	0.1542289	0
KRT8	yes	no	no	50130	0.9500256	92767	1	chr12	52897187	52949954	52877187	52969954	2302	0.990959966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	898	0.017018212	0	0	0	91	4	0	0	0	0	0	0	0	0	0	0	0	8924	0.1691208	0
KRT18	yes	no	no	4010	0.9938042	44035	1	chr12	52948871	52952906	52928871	52972906	1473	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0.042627014	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	783	0.194052	0
AAAS	yes	no	no	16567	0.9516889	57408	1	chr12	53307456	53324864	53287456	53344864	1800	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0.008674173	0	0	0	30	1	0	0	0	0	0	0	0	0	0	0	0	2184	0.1254596	0
SP7	yes	no	no	18515	0.9879936	58740	1	chr12	53326575	53345315	53306575	53365315	3076	0.966991512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0.003842049	0	0	0	19	3	0	0	0	0	0	0	0	0	0	0	0	3119	0.1664354	0
AMHR2	yes	no	no	7788	0.9962901	47817	1	chr12	53423855	53431672	53403855	53451672	1990	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0.01803761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	699	0.0894205	0
HOXC13	yes	yes	no	7496	0.9718657	47713	1	chr12	53938831	53946544	53918831	53966544	2355	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	2	0	0	0	0	0	0	0	0	0	0	0	1645	0.2132763	0
HOXC11	no	yes	no	4313	0.9548373	44517	1	chr12	53973126	53977643	53953126	53997643	3157	0.968702056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	0	1603	0.3548816	0
MIR196A2	yes	no	no	109	1	40109	1	chr12	53991738	53991847	53971738	54011847	NA	NA	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	NA	NA	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0
SMUG1	yes	no	no	66009	0.9745759	132793	1	chr12	54121277	54189008	54076215	54209008	2936	0.96642528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4838	0.071429626	5173	0.076375663	0	0	0	88	4	0	0	0	0	0	0	0	0	0	0	0	10715	0.1581993	0
PPP1R1A	yes	no	no	13160	0.9915612	53272	1	chr12	54575387	54588659	54555387	54608659	1821	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	2	0	0	0	0	0	0	0	0	0	0	0	1208	0.0910187	0
ITGA7	yes	no	no	30194	0.9593011	72186	1	chr12	55684568	55716043	55663857	55736043	4494	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1547	0.049150119	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	6232	0.1979984	0
RDH5	yes	no	no	4305	0.9923928	44338	1	chr12	55720367	55724705	55700367	55744705	1274	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0.002535731	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	500	0.1152605	0
PMEL	yes	no	no	18569	0.9665313	60601	1	chr12	55954105	55973317	55934105	55994706	2826	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0.00910889	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	1903	0.0990527	0
SUOX	yes	no	yes	9055	0.957087	49461	1	chr12	55997180	56006641	55977180	56026641	3920	0.982948847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668	0.070605644	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	1578	0.16679	0
RPS26	yes	no	no	3099	0.9261805	43346	1	chr12	56041351	56044697	56021351	56064697	1151	0.89363354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0.040047818	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	237	0.0708308	0
ERBB3	yes	yes	no	24925	0.9333109	66706	1	chr12	56076799	56103505	56056799	56123505	5955	0.98315998	0	0	0	0	0	0	0	0	505	0.018909608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0.007039617	0	0	0	26	1	0	0	0	0	0	0	0	0	0	505	0.018909608	4307	0.1612746	0
MIP	yes	no	no	19310	0.9819975	59664	1	chr12	56449502	56469166	56429502	56489166	2610	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0.006865338	0	0	0	31	3	0	0	0	0	0	0	0	0	0	0	0	1807	0.0918938	0
NACA	no	yes	no	16669	0.8681319	59201	1	chr12	56712427	56731628	56692427	56751628	5030	0.978218592	17783	0.92614968	5142	1	0	0	0	0	2185	0.113796156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	348	0.018124056	0	0	24	21	10	12	17749	0.924378939	22	0	5108	0.993387787	10	0	2185	0.113796156	3061	0.1594188	0
TAC3	yes	no	no	18488	0.9790817	58883	1	chr12	57010000	57028883	56990000	57048883	1243	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0.001800561	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	1196	0.0633374	0
NAB2	no	yes	no	6412	0.9967356	46433	1	chr12	57089043	57095476	57069043	57115476	2504	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0.00202083	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	1816	0.2822944	0
STAT6	no	yes	no	35656	0.9707332	76731	1	chr12	57095408	57132139	57075408	57152139	4321	0.998382625	0	0	0	0	0	0	0	0	444	0.012087882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	0.007051265	0	0	0	27	4	0	0	0	0	0	0	0	0	0	444	0.012087882	5888	0.1603006	0
LRP1	yes	no	no	83176	0.9799477	124878	1	chr12	57128483	57213361	57108483	57233361	14569	0.982135634	0	0	0	0	0	0	0	0	1077	0.0126888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0.001131035	0	0	0	65	8	0	0	0	0	0	0	0	0	0	1077	0.0126888	15546	0.183157	0
STAC3	no	no	yes	7221	0.9335488	47735	1	chr12	57243453	57251188	57223453	57271188	1638	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0.03697479	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	1022	0.1321267	0
