Gene stable ID	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Gene name
ENSG00000183303	7817452	7818520	11	OR5P2
ENSG00000182334	7846584	7847519	11	OR5P3
ENSG00000175393	7949180	7950209	11	OR10A6
ENSG00000170683	7960081	7961141	11	OR10A3
ENSG00000182261	7980971	7986973	11	NLRP10
ENSG00000175390	7991798	8023409	11	EIF3F
ENSG00000166402	8040791	8127659	11	TUB
ENSG00000254772	62327073	62342401	11	EEF1G
ENSG00000160584	116714118	116969153	11	SIK3
ENSG00000110768	18343842	18388591	11	GTF2H1
ENSG00000110075	68228186	68382802	11	PPP6R3
ENSG00000255508	62327075	62359003	11	MIR3654
ENSG00000166405	8127597	8190602	11	RIC3
ENSG00000134333	18415935	18429972	11	LDHA
ENSG00000149016	62342517	62359649	11	TUT1
ENSG00000166407	8245851	8290263	11	LMO1
ENSG00000149480	62360686	62369312	11	MTA2
ENSG00000130413	8413418	8615836	11	STK33
ENSG00000168092	117014983	117047610	11	PAFAH1B2
ENSG00000149577	117049449	117068160	11	SIDT2
ENSG00000166436	8633584	8693413	11	TRIM66
ENSG00000149499	62369690	62380237	11	EML3
ENSG00000166441	8703958	8736306	11	RPL27A
ENSG00000069482	68451247	68458643	11	GAL
ENSG00000166796	18433854	18473605	11	LDHC
ENSG00000149591	117070037	117075498	11	TAGLN
ENSG00000149489	62379194	62382592	11	ROM1
ENSG00000166800	18477371	18501147	11	LDHAL6A
ENSG00000132749	68474908	68519032	11	MTL5
ENSG00000149541	62382768	62389647	11	B3GAT3
ENSG00000074319	18489883	18548779	11	TSG101
ENSG00000110090	68522088	68611878	11	CPT1A
ENSG00000197345	68658744	68671303	11	MRPL21
ENSG00000089597	62392298	62414104	11	GANAB
ENSG00000160613	117075053	117103241	11	PCSK7
ENSG00000166444	8714898	8932498	11	ST5
ENSG00000167257	117103341	117157161	11	RNF214
ENSG00000132740	68671310	68708070	11	IGHMBP2
ENSG00000172938	68747490	68748455	11	MRGPRD
ENSG00000172935	68771863	68780877	11	MRGPRF
ENSG00000162341	68816365	68858072	11	TPCN2
ENSG00000151116	18551156	18610294	11	UEVLD
ENSG00000185085	62414320	62420774	11	INTS5
ENSG00000255432	62417166	62432650	11	RP11-831H9.11
ENSG00000172927	69061605	69182494	11	MYEOV
ENSG00000179119	18627948	18656338	11	SPTY2D1
ENSG00000162194	62430287	62439727	11	C11orf48
ENSG00000110092	69455855	69469242	11	CCND1
ENSG00000151117	18714669	18726332	11	TMEM86A
ENSG00000179057	18725852	18747777	11	IGSF22
ENSG00000186318	117156402	117186975	11	BACE1
ENSG00000214756	62432781	62435968	11	METTL12
ENSG00000166452	8932686	8941631	11	AKIP1
ENSG00000149716	69467844	69490184	11	ORAOV1
ENSG00000204922	62437745	62441159	11	C11orf83
ENSG00000162191	62443970	62446567	11	UBXN1
ENSG00000110786	18749475	18814268	11	PTPN5
ENSG00000176029	8941623	8954553	11	C11orf16
ENSG00000176009	8959119	8964580	11	ASCL3
ENSG00000162344	69513000	69519410	11	FGF19
ENSG00000268351	69587254	69587718	11	AP001888.1
ENSG00000075388	69587797	69590171	11	FGF4
ENSG00000177363	62453874	62457371	11	LRRN4CL
ENSG00000186895	69624992	69633792	11	FGF3
ENSG00000234857	62457747	62494856	11	HNRNPUL2-BSCL2
ENSG00000170255	18955360	18961054	11	MRGPRX1
ENSG00000183695	19076002	19082228	11	MRGPRX2
ENSG00000131620	69924408	70035634	11	ANO1
ENSG00000177054	19138646	19197969	11	ZDHHC13
ENSG00000168000	62457747	62477317	11	BSCL2
ENSG00000110274	117185273	117283984	11	CEP164
ENSG00000129170	19203578	19232120	11	CSRP3
ENSG00000177103	117298489	117688240	11	DSCAML1
ENSG00000168040	70049269	70053496	11	FADD
ENSG00000129173	19245610	19263167	11	E2F8
ENSG00000131626	70116806	70230509	11	PPFIA1
ENSG00000162188	62475130	62476673	11	GNG3
ENSG00000214753	62480102	62494821	11	HNRNPUL2
ENSG00000162222	62495541	62507765	11	TTC9C
ENSG00000137731	117671559	117699413	11	FXYD2
ENSG00000185670	62515791	62521660	11	ZBTB3
ENSG00000168002	62529016	62534182	11	POLR2G
ENSG00000162227	62538775	62554814	11	TAF6L
ENSG00000168569	62539101	62559493	11	TMEM223
ENSG00000185475	62554887	62557877	11	TMEM179B
ENSG00000255245	117690878	117747382	11	FXYD6-FXYD2
ENSG00000162231	62559595	62573774	11	NXF1
ENSG00000137726	117707693	117748201	11	FXYD6
ENSG00000085733	70244510	70282690	11	CTTN
ENSG00000166833	19372271	20143144	11	NAV2
ENSG00000137747	117771358	117800174	11	TMPRSS13
ENSG00000162236	62574369	62599560	11	STX5
ENSG00000110324	117857063	117872196	11	IL10RA
ENSG00000162105	70313961	70963623	11	SHANK2
ENSG00000133316	62599814	62609281	11	WDR74
ENSG00000137648	117947753	117992605	11	TMPRSS4
ENSG00000168003	62623518	62656352	11	SLC3A2
ENSG00000172893	71139239	71163914	11	DHCR7
ENSG00000109851	20177701	20182159	11	DBX1
ENSG00000109854	20385231	20405329	11	HTATIP2
ENSG00000177098	118004092	118023603	11	SCN4B
ENSG00000172890	71164155	71235153	11	NADSYN1
ENSG00000168539	62676151	62689279	11	CHRM1
ENSG00000149575	118032666	118047388	11	SCN2B
ENSG00000197901	62703857	62752455	11	SLC22A6
ENSG00000185238	20409076	20530840	11	PRMT3
ENSG00000160593	118064455	118095809	11	AMICA1
ENSG00000165970	20620946	20680831	11	SLC6A5
ENSG00000149452	62756626	62783311	11	SLC22A8
ENSG00000160588	118097409	118123065	11	MPZL3
ENSG00000244411	71238313	71239210	11	KRTAP5-7
ENSG00000241233	71249071	71250253	11	KRTAP5-8
ENSG00000254997	71259466	71260653	11	KRTAP5-9
ENSG00000204572	71276609	71279980	11	KRTAP5-10
ENSG00000204571	71292901	71314399	11	KRTAP5-11
ENSG00000187811	71292956	71318487	11	AP000867.1
ENSG00000197658	62847412	62911693	11	SLC22A24
ENSG00000158483	71498556	71512282	11	FAM86C1
ENSG00000165973	20691117	21597227	11	NELL1
ENSG00000184999	62905339	63137190	11	SLC22A10
ENSG00000184276	71544246	71548756	11	DEFB108B
ENSG00000149573	118124118	118135251	11	MPZL2
ENSG00000254469	71576555	71639700	11	RP11-849H4.2
ENSG00000198851	118175260	118186890	11	CD3E
ENSG00000137522	71639747	71708643	11	RNF121
ENSG00000171714	22214722	22304903	11	ANO5
ENSG00000167286	118209669	118213459	11	CD3D
ENSG00000091664	22359643	22401049	11	SLC17A6
ENSG00000160654	118215059	118225876	11	CD3G
ENSG00000183161	22644079	22647387	11	FANCF
ENSG00000229387	22646860	22647369	11	AC103801.2
ENSG00000148935	22647188	22834601	11	GAS2
ENSG00000110344	118230300	118269926	11	UBE4A
ENSG00000137496	71709587	71716761	11	IL18BP
ENSG00000198168	22835345	22851845	11	SVIP
ENSG00000255359	22868477	22881972	11	CCDC179
ENSG00000187398	24518516	25104150	11	LUZP2
ENSG00000254873	118267810	118272610	11	RP11-770J1.5
ENSG00000167283	118271869	118302211	11	ATP5L
ENSG00000255384	118303836	118305921	11	RP11-770J1.4
ENSG00000137497	71713910	71791739	11	NUMA1
ENSG00000118058	118307205	118397539	11	KMT2A
ENSG00000134343	26210829	26684835	11	ANO3
ENSG00000169550	26580580	26593780	11	MUC15
ENSG00000148942	26688566	26744974	11	SLC5A12
ENSG00000176971	27015628	27018630	11	FIBIN
ENSG00000129151	27062272	27149356	11	BBOX1
ENSG00000109881	27352374	27385415	11	CCDC34
ENSG00000172425	118398187	118401912	11	TTC36
ENSG00000205213	27387508	27494322	11	LGR4
ENSG00000149582	118401756	118417995	11	TMEM25
ENSG00000184154	71791382	71821828	11	LRTOMT
ENSG00000148943	27516123	27528320	11	LIN7C
ENSG00000176697	27676440	27743605	11	BDNF
ENSG00000118096	118415243	118443685	11	IFT46
ENSG00000121621	28042167	28129855	11	KIF18A
ENSG00000149357	71796941	71814433	11	LAMTOR1
ENSG00000169519	28129795	28355054	11	METTL15
ENSG00000095139	118443105	118473748	11	ARCN1
ENSG00000182255	30031288	30038570	11	KCNA4
ENSG00000131808	30252563	30256808	11	FSHB
ENSG00000110200	71817424	71823826	11	ANAPC15
ENSG00000152219	30344598	30359774	11	ARL14EP
ENSG00000066382	30406040	30608419	11	MPPED2
ENSG00000170959	30851916	31391357	11	DCDC1
ENSG00000019144	118477155	118528741	11	PHLDB1
ENSG00000170946	31391387	31453396	11	DNAJC24
ENSG00000110203	71825915	71850936	11	FOLR3
ENSG00000148950	31453948	31531192	11	IMMP1L
ENSG00000110195	71900602	71907345	11	FOLR1
ENSG00000109911	31531297	31805546	11	ELP4
ENSG00000165457	71927645	71932994	11	FOLR2
ENSG00000165458	71934745	71950149	11	INPPL1
ENSG00000007372	31806340	31839509	11	PAX6
ENSG00000165462	71950121	71956708	11	PHOX2A
ENSG00000118094	118528026	118550399	11	TREH
ENSG00000162129	72003469	72145692	11	CLPB
ENSG00000049449	31833939	32127301	11	RCN1
ENSG00000184937	32409321	32457176	11	WT1
ENSG00000110367	118620034	118661858	11	DDX6
ENSG00000149100	32605344	32627808	11	EIF3M
ENSG00000160683	118754475	118768508	11	CXCR5
ENSG00000186174	118764584	118796317	11	BCL9L
ENSG00000186714	32623792	32816204	11	CCDC73
ENSG00000110375	118795873	118829269	11	UPK2
ENSG00000176302	118842417	118852001	11	FOXR1
ENSG00000186166	118868852	118886501	11	CCDC84
ENSG00000135378	32851489	32879669	11	PRRG4
ENSG00000118181	118886422	118889401	11	RPS25
ENSG00000060749	32914724	33014862	11	QSER1
ENSG00000186642	72287185	72385635	11	PDE2A
ENSG00000121690	33037410	33055128	11	DEPDC7
ENSG00000196655	118889142	118896164	11	TRAPPC4
ENSG00000176148	33060963	33127489	11	TCP11L1
ENSG00000149428	118914900	118927913	11	HYOU1
ENSG00000176102	33098734	33183917	11	CSTF3
ENSG00000110422	33278218	33378569	11	HIPK3
ENSG00000110427	33563618	33695648	11	KIAA1549L
ENSG00000205177	33719807	33722347	11	C11orf91
ENSG00000085063	33719807	33757991	11	CD59
ENSG00000256269	118955576	118964259	11	HMBS
ENSG00000186635	72396114	72504644	11	ARAP1
ENSG00000110429	33762485	33796089	11	FBXO3
ENSG00000135363	33880122	33913836	11	LMO2
ENSG00000184566	33902189	33903338	11	AC132216.1
ENSG00000135387	34073230	34122703	11	CAPRIN1
ENSG00000188486	118964564	118966177	11	H2AFX
ENSG00000172269	118967213	118979041	11	DPAGT1
ENSG00000135372	34127149	34169217	11	NAT10
ENSG00000214530	72465774	72504726	11	STARD10
ENSG00000172375	118972908	118989252	11	C2CD2L
ENSG00000172273	118992297	119006752	11	HINFP
ENSG00000172350	119019722	119033360	11	ABCG4
ENSG00000168010	72525353	72554719	11	ATG16L2
ENSG00000268192	119027590	119027930	11	AP002956.1
ENSG00000160703	119037277	119054725	11	NLRX1
ENSG00000166016	34172535	34379555	11	ABTB2
ENSG00000121691	34460472	34493609	11	CAT
ENSG00000135374	34500340	34535352	11	ELF5
ENSG00000137478	72547790	72853306	11	FCHSD2
ENSG00000172367	119056166	119060932	11	PDZD3
ENSG00000135373	34642640	34682604	11	EHF
ENSG00000248712	119060347	119067479	11	CCDC153
ENSG00000110395	119076752	119178859	11	CBL
ENSG00000175591	72929343	72947397	11	P2RY2
ENSG00000171631	72975550	73009662	11	P2RY6
ENSG00000149089	34874641	34938046	11	APIP
ENSG00000110435	34937376	35042138	11	PDHX
ENSG00000110237	73019334	73080136	11	ARHGEF17
ENSG00000054967	73087309	73108519	11	RELT
ENSG00000054965	73111532	73309234	11	FAM168A
ENSG00000269766	35150091	35150215	11	AL356215.1
ENSG00000076706	119179241	119192231	11	MCAM
ENSG00000173456	119205237	119208023	11	RNF26
ENSG00000223953	119209652	119217383	11	C1QTNF5
ENSG00000235718	119209652	119217383	11	MFRP
ENSG00000259159	119209652	119217368	11	MFRP
ENSG00000021300	73357223	73373864	11	PLEKHB1
ENSG00000036672	119225925	119252436	11	USP2
ENSG00000026508	35160417	35253949	11	CD44
ENSG00000175582	73386683	73472182	11	RAB6A
ENSG00000154096	119288090	119295695	11	THY1
ENSG00000110400	119494120	119599794	11	PVRL1
ENSG00000175581	73498361	73576178	11	MRPL48
ENSG00000137699	119981983	120056237	11	TRIM29
ENSG00000110436	35272753	35441610	11	SLC1A2
ENSG00000181924	73583712	73588033	11	COA4
ENSG00000175575	73587744	73638790	11	PAAF1
ENSG00000176984	120039685	120042387	11	AP000679.2
ENSG00000184232	120081475	120101041	11	OAF
ENSG00000149090	35453370	35551848	11	PAMR1
ENSG00000137709	120107349	120190653	11	POU2F3
ENSG00000181264	120195838	120204391	11	TMEM136
ENSG00000179431	35639735	35642419	11	FJX1
ENSG00000166326	35684353	35829775	11	TRIM44
ENSG00000187726	73661364	73681411	11	DNAJB13
ENSG00000179241	35965531	36253686	11	LDLRAD3
ENSG00000175567	73685712	73694352	11	UCP2
ENSG00000110442	36295051	36310999	11	COMMD9
ENSG00000196914	120207787	120360645	11	ARHGEF12
ENSG00000135362	36317838	36486754	11	PRR5L
ENSG00000175564	73711326	73720480	11	UCP3
ENSG00000175104	36508577	36531822	11	TRAF6
ENSG00000166349	36532259	36614706	11	RAG1
ENSG00000168014	73723763	73882255	11	C2CD3
ENSG00000175097	36597124	36619829	11	RAG2
ENSG00000269601	120329880	120330047	11	AP000758.1
ENSG00000149403	120382468	120859613	11	GRIK4
ENSG00000166352	36616051	36694823	11	C11orf74
ENSG00000148948	40135753	41481323	11	LRRC4C
ENSG00000204306	120382511	120385732	11	AP002348.1
ENSG00000166181	43333513	43366079	11	API5
ENSG00000154114	120894781	120961484	11	TBCEL
ENSG00000214517	73882144	73965748	11	PPME1
ENSG00000109927	120971882	121062202	11	TECTA
ENSG00000109929	121163162	121179403	11	SC5D
ENSG00000149380	73946846	74022702	11	P4HA3
ENSG00000052841	43380482	43516483	11	TTC17
ENSG00000165434	74041363	74109518	11	PGM2L1
ENSG00000149084	43577986	43878167	11	HSD17B12
ENSG00000175538	74165886	74178774	11	KCNE3
ENSG00000137642	121322912	121504402	11	SORL1
ENSG00000175536	74202757	74204778	11	LIPT2
ENSG00000077514	74204896	74380162	11	POLD3
ENSG00000166199	43902361	43941816	11	ALKBH3
ENSG00000187479	43946892	43965888	11	C11orf96
ENSG00000205126	44069531	44081527	11	ACCSL
ENSG00000259571	121986062	121986923	11	BLID
ENSG00000110455	44087475	44105772	11	ACCS
ENSG00000154127	122526383	122685181	11	UBASH3B
ENSG00000054938	74407474	74442430	11	CHRDL2
ENSG00000166439	74459913	74553458	11	RNF169
ENSG00000109943	122709208	122743347	11	CRTAM
ENSG00000109944	122753391	122830506	11	C11orf63
ENSG00000188909	122848278	122852428	11	BSX
ENSG00000151348	44117099	44266979	11	EXT2
ENSG00000166435	74518784	74660245	11	XRRA1
ENSG00000109971	122928197	122933938	11	HSPA8
ENSG00000052850	44281994	44331716	11	ALX4
ENSG00000085117	44585977	44641913	11	CD82
ENSG00000118363	74660292	74690076	11	SPCS2
ENSG00000157570	44748015	44953972	11	TSPAN18
ENSG00000162139	74699179	74729938	11	NEU3
ENSG00000171561	74799758	74800799	11	OR2AT4
ENSG00000166250	122943035	123065989	11	CLMP
ENSG00000137491	74811608	74917594	11	SLCO2B1
ENSG00000254667	123301058	123306427	11	AP000783.1
ENSG00000175274	44907454	44972840	11	TP53I11
ENSG00000023171	123396344	123498482	11	GRAMD1B
ENSG00000019485	45115564	45247734	11	PRDM11
ENSG00000019505	45261852	45307870	11	SYT13
ENSG00000261594	74951950	74954742	11	TPBGL
ENSG00000137486	74975226	75062873	11	ARRB1
ENSG00000166257	123499895	123525952	11	SCN3B
ENSG00000175264	45670427	45687172	11	CHST1
ENSG00000205106	45792983	45793909	11	CTD-2210P24.4
ENSG00000181830	45825623	45834566	11	SLC35C1
ENSG00000121671	45868669	45904798	11	CRY2
ENSG00000166261	123594885	123612383	11	ZNF202
ENSG00000121653	45907202	45928016	11	MAPK8IP1
ENSG00000221931	123624196	123625253	11	OR6X1
ENSG00000196099	123676043	123677095	11	OR6M1
ENSG00000204300	123753633	123756349	11	TMEM225
ENSG00000234776	45928085	45928833	11	C11orf94
ENSG00000181518	123777109	123778183	11	OR8D4
ENSG00000171014	123810250	123811344	11	OR4D5
ENSG00000181499	123813492	123814580	11	OR6T1
ENSG00000196248	123847368	123848488	11	OR10S1
ENSG00000198674	123864870	123865868	11	OR10G6
ENSG00000254737	123886282	123887217	11	OR10G4
ENSG00000236981	123893720	123894655	11	OR10G9
ENSG00000121680	45931220	45940363	11	PEX16
ENSG00000149273	75110530	75133324	11	RPS3
ENSG00000234560	123900297	123901341	11	OR10G8
ENSG00000182634	123908773	123909717	11	OR10G7
ENSG00000110002	123986069	124018428	11	VWA5A
ENSG00000165905	45943172	45950647	11	GYLTL1B
ENSG00000149243	75133438	75141674	11	KLHL35
ENSG00000197309	124055923	124056952	11	OR10D3
ENSG00000197849	124120423	124135763	11	OR8G1
ENSG00000255298	124134723	124135763	11	OR8G5
ENSG00000196341	124179708	124180733	11	OR8D1
ENSG00000197263	124189134	124190184	11	OR8D2
ENSG00000135365	45950871	46142985	11	PHF21A
ENSG00000204293	124252291	124253258	11	OR8B2
ENSG00000196661	124266278	124267264	11	OR8B3
ENSG00000198657	124293807	124294789	11	OR8B4
ENSG00000197125	124310022	124311054	11	OR8B8
ENSG00000170953	124412578	124413575	11	OR8B12
ENSG00000158555	75145685	75236948	11	GDPD5
ENSG00000196119	124439893	124441037	11	OR8A1
ENSG00000154143	124481386	124490252	11	PANX3
ENSG00000154144	124492732	124505287	11	TBRG1
ENSG00000157613	46299212	46342972	11	CREB3L1
ENSG00000149257	75273101	75283828	11	SERPINH1
ENSG00000110013	124503009	124565603	11	SIAE
ENSG00000064199	124543694	124567414	11	SPA17
ENSG00000154146	124609742	124617106	11	NRGN
ENSG00000149091	46354455	46402104	11	DGKZ
ENSG00000019102	124617368	124622134	11	VSIG2
ENSG00000149564	124622026	124632186	11	ESAM
ENSG00000171533	75297963	75380165	11	MAP6
ENSG00000120458	124636394	124670569	11	MSANTD2
ENSG00000166391	75428864	75444003	11	MOGAT2
ENSG00000062282	75470557	75512579	11	DGAT2
ENSG00000198382	75526212	75854239	11	UVRAG
ENSG00000154134	124735282	124751366	11	ROBO3
ENSG00000085741	75897369	75921780	11	WNT11
ENSG00000137492	76061000	76092015	11	PRKRIR
ENSG00000110492	46402306	46405375	11	MDK
ENSG00000179240	76092357	76125663	11	RP11-111M22.2
ENSG00000180720	46406640	46408107	11	CHRM4
ENSG00000158636	76155967	76264069	11	C11orf30
ENSG00000110497	46417964	46615675	11	AMBRA1
ENSG00000154133	124753587	124768396	11	ROBO4
ENSG00000180423	46624411	46639459	11	HARBI1
ENSG00000137507	76368568	76381791	11	LRRC32
ENSG00000182704	76493295	76509198	11	TSKU
ENSG00000078124	76571911	76737841	11	ACER3
ENSG00000254943	124761200	124762022	11	RP11-664I21.6
ENSG00000165478	124789089	124806308	11	HEPACAM
ENSG00000221932	124789146	124790573	11	HEPN1
ENSG00000175224	46638826	46696368	11	ATG13
ENSG00000149548	124824017	124911385	11	CCDC15
ENSG00000134955	124932963	124959131	11	SLC37A2
ENSG00000198488	76745385	76753096	11	B3GNT6
ENSG00000149260	76777979	76837201	11	CAPN5
ENSG00000150433	124966398	124981659	11	TMEM218
ENSG00000254550	76813886	76814377	11	OMP
ENSG00000175220	46698630	46722165	11	ARHGAP1
ENSG00000175213	46722368	46727462	11	ZNF408
ENSG00000137474	76839310	76926284	11	MYO7A
ENSG00000165495	125034583	125303285	11	PKNOX2
ENSG00000180210	46740730	46761056	11	F2
ENSG00000149557	125315646	125366213	11	FEZ1
ENSG00000175216	46764598	46867847	11	CKAP5
ENSG00000178795	76927603	77012732	11	GDPD4
ENSG00000255537	125365110	125369424	11	AP000708.1
ENSG00000149269	77032752	77185680	11	PAK1
ENSG00000149547	125439112	125454575	11	EI24
ENSG00000134569	46878419	46940193	11	LRP4
ENSG00000268635	77184416	77188074	11	DKFZP434E1119
ENSG00000074201	77225981	77348850	11	CLNS1A
ENSG00000149179	46958240	47185936	11	C11orf49
ENSG00000178301	77300436	77321400	11	AQP11
ENSG00000134910	125461607	125495110	11	STT3A
ENSG00000149554	125495036	125546150	11	CHEK1
ENSG00000048649	77371041	77532063	11	RSF1
ENSG00000087884	77532155	77629478	11	AAMDC
ENSG00000149262	77589766	77705724	11	INTS4
ENSG00000149182	47185848	47198676	11	ARFGAP2
ENSG00000151364	77726761	77757237	11	KCTD14
ENSG00000259112	77728017	77790911	11	NDUFC2-KCTD14
ENSG00000151365	77774907	77779397	11	THRSP
ENSG00000151366	77779350	77791265	11	NDUFC2
ENSG00000134940	125541417	125551018	11	ACRV1
ENSG00000165912	47199076	47207994	11	PACSIN3
ENSG00000159063	77811982	77850706	11	ALG8
ENSG00000171053	125616188	125619762	11	PATE1
ENSG00000196844	125646008	125648714	11	PATE2
ENSG00000134574	47236493	47260767	11	DDB2
ENSG00000236027	125658006	125661495	11	PATE3
ENSG00000237353	125703211	125709964	11	PATE4
ENSG00000198331	125753509	125770543	11	HYLS1
ENSG00000110060	125763381	125773116	11	PUS3
ENSG00000188997	77882295	77899868	11	KCTD21
ENSG00000109832	125773271	125793158	11	DDX25
ENSG00000134575	47260853	47270457	11	ACP2
ENSG00000118369	77899858	77925757	11	USP35
ENSG00000033327	77926343	78129394	11	GAB2
ENSG00000064309	125825691	125933230	11	CDON
ENSG00000025434	47269851	47290396	11	NR1H3
ENSG00000165526	126071993	126081587	11	RPUSD4
ENSG00000137513	78147007	78285919	11	NARS2
ENSG00000197798	126081309	126132881	11	FAM118B
ENSG00000149256	78363876	79151992	11	TENM4
ENSG00000182934	126132814	126139039	11	SRPR
ENSG00000182103	82443053	82444906	11	FAM181B
ENSG00000137509	82534544	82681626	11	PRCP
ENSG00000110074	126138950	126148026	11	FOXRED1
ENSG00000165490	82611017	82669319	11	C11orf82
ENSG00000137502	82684175	82782965	11	RAB30
ENSG00000165494	82868030	82898493	11	PCF11
ENSG00000150455	126152960	126168740	11	TIRAP
ENSG00000255062	126164193	126174213	11	RP11-712L6.5
ENSG00000110063	126173647	126215644	11	DCPS
ENSG00000137494	82904781	82971736	11	ANKRD42
ENSG00000110514	47290712	47351582	11	MADD
ENSG00000110080	126225535	126310239	11	ST3GAL4
ENSG00000137500	82970139	82997450	11	CCDC90B
ENSG00000149571	126293254	126873355	11	KIRREL3
ENSG00000134571	47352957	47374253	11	MYBPC3
ENSG00000134954	128328656	128457453	11	ETS1
ENSG00000151702	128556430	128683162	11	FLI1
ENSG00000150672	83166055	85338966	11	DLG2
ENSG00000177951	167784	207428	11	BET1L
ENSG00000188076	193080	194573	11	SCGB1C1
ENSG00000177947	196738	200261	11	ODF3
ENSG00000066336	47376411	47400127	11	SPI1
ENSG00000151704	128706210	128737268	11	KCNJ1
ENSG00000177963	207511	215113	11	RIC8A
ENSG00000165915	47428683	47438047	11	SLC39A13
ENSG00000120457	128761251	128790930	11	KCNJ5
ENSG00000174370	128769460	128775930	11	C11orf45
ENSG00000120471	128804626	128813040	11	TP53AIP1
ENSG00000134909	128834955	129149219	11	ARHGAP32
ENSG00000165916	47440320	47447993	11	PSMC3
ENSG00000171204	85339629	85347580	11	TMEM126B
ENSG00000142082	215458	236931	11	SIRT3
ENSG00000171202	85359011	85367591	11	TMEM126A
ENSG00000137504	85370752	85393951	11	CREBZF
ENSG00000043039	129245835	129322171	11	BARX2
ENSG00000179071	85394893	85397320	11	CCDC89
ENSG00000151715	129685714	129729898	11	TMEM45B
ENSG00000165917	47459308	47470730	11	RAPSN
ENSG00000170322	129733531	129765485	11	NFRKB
ENSG00000149187	47487496	47587121	11	CELF1
ENSG00000185627	236546	252983	11	PSMD13
ENSG00000137501	85405267	85522184	11	SYTL2
ENSG00000213619	47586888	47606114	11	NDUFS3
ENSG00000170325	129769601	129872730	11	PRDM10
ENSG00000110536	47586982	47595013	11	PTPMT1
ENSG00000123444	47593749	47600567	11	KBTBD4
ENSG00000174885	278365	285359	11	NLRP6
ENSG00000231880	47599277	47599823	11	KBTBD4
ENSG00000196666	47608198	47610746	11	FAM180B
ENSG00000267981	129936836	129944012	11	AP003041.2
ENSG00000172247	47611216	47616211	11	C1QTNF4
ENSG00000109919	47638867	47664175	11	MTCH2
ENSG00000215504	85563600	85565986	11	AP000974.1
ENSG00000150676	85566144	85631064	11	CCDC83
ENSG00000084234	129939732	130014699	11	APLP2
ENSG00000142102	289135	296107	11	ATHL1
ENSG00000206013	298200	299526	11	IFITM5
ENSG00000185201	307631	315272	11	IFITM2
ENSG00000185885	313506	315272	11	IFITM1
ENSG00000142089	319669	327537	11	IFITM3
ENSG00000165923	47681143	47736941	11	AGBL2
ENSG00000182272	369796	382116	11	B4GALNT4
ENSG00000184363	392614	404908	11	PKP3
ENSG00000073921	85668727	85780924	11	PICALM
ENSG00000109920	47738072	47788995	11	FNBP4
ENSG00000185187	405716	417455	11	SIGIRR
ENSG00000149418	130029457	130080271	11	ST14
ENSG00000030066	47799639	47870107	11	NUP160
ENSG00000074266	85955586	85989855	11	EED
ENSG00000196323	130096572	130184581	11	ZBTB44
ENSG00000134917	130274820	130298888	11	ADAMTS8
ENSG00000185101	417933	442011	11	ANO9
ENSG00000166106	130318869	130346532	11	ADAMTS15
ENSG00000175728	130542851	130587247	11	C11orf44
ENSG00000149196	86013253	86056969	11	C11orf73
ENSG00000120451	130745331	130786404	11	SNX19
ENSG00000174915	448268	491393	11	PTDSS2
ENSG00000149201	86085778	86134151	11	CCDC81
ENSG00000149177	48002113	48189670	11	PTPRJ
ENSG00000175619	48238344	48239314	11	OR4B1
ENSG00000172208	48266608	48267622	11	OR4X2
ENSG00000176567	48285413	48286330	11	OR4X1
ENSG00000176555	48327775	48328704	11	OR4S1
ENSG00000176547	48346472	48347507	11	OR4C3
ENSG00000176540	48387037	48388017	11	OR4C5
ENSG00000237388	48510269	48511332	11	OR4A47
ENSG00000182053	49050504	49059579	11	TRIM49B
ENSG00000214891	49075266	49080664	11	TRIM64C
ENSG00000182667	131240373	132206716	11	NTM
ENSG00000023191	494512	507300	11	RNH1
ENSG00000151376	86152150	86383678	11	ME3
ENSG00000086205	49168187	49230222	11	FOLH1
ENSG00000150687	86502101	86663952	11	PRSS23
ENSG00000174804	86656721	86666433	11	FZD4
ENSG00000166575	86748886	87034800	11	TMEM135
ENSG00000258817	49973943	49974971	11	OR4C13
ENSG00000221954	50003009	50004071	11	OR4C12
ENSG00000221840	51411378	51412448	11	OR4A5
ENSG00000225997	51435459	51436403	11	OR4A8P
ENSG00000185926	51515282	51516211	11	OR4C46
ENSG00000150244	55029658	55038595	11	TRIM48
ENSG00000181961	55110627	55111707	11	OR4A16
ENSG00000181958	55135360	55136394	11	OR4A15
ENSG00000181939	55321783	55322895	11	OR4C15
ENSG00000181935	55339604	55340536	11	OR4C16
ENSG00000172188	55370830	55371874	11	OR4C11
ENSG00000181927	55405834	55406772	11	OR4P4
ENSG00000174982	55418380	55419315	11	OR4S2
ENSG00000181903	55432614	55433671	11	OR4C6
ENSG00000123892	87846410	87908635	11	RAB38
ENSG00000198877	55540914	55541858	11	OR5D13
ENSG00000186113	55563032	55563976	11	OR5D14
ENSG00000186117	55578854	55579952	11	OR5L1
ENSG00000186119	55587086	55588073	11	OR5D18
ENSG00000205030	55594695	55595630	11	OR5L2
ENSG00000205029	55606228	55607214	11	OR5D16
ENSG00000124900	55650773	55659286	11	TRIM51
ENSG00000187612	55681126	55682058	11	OR5W2
ENSG00000167825	55702932	55703876	11	OR5I1
ENSG00000174970	55734975	55735990	11	OR10AG1
ENSG00000149133	55761157	55762101	11	OR5F1
