Gene stable ID	Gene start (bp)	Chromosome/scaffold name	Gene end (bp)	Gene name
ENSG00000261683	33759713	10	33772702	LINC00838
ENSG00000226407	33864313	10	33864723	RPL23P11
ENSG00000223470	33909238	10	33917804	LINC02629
ENSG00000148498	34109560	10	34815325	PARD3
ENSG00000199200	34201979	10	34202074	AL390766.1
ENSG00000234167	34488583	10	34488878	ELOBP4
ENSG00000229235	34663859	10	34664101	RPL37P18
ENSG00000215184	34675635	10	34676041	RPS12P16
ENSG00000226386	34815767	10	34816386	PARD3-AS1
ENSG00000232525	34875210	10	34875422	SS18L2P1
ENSG00000223047	34926775	10	34926882	RNU6-847P
ENSG00000222909	34942969	10	34943075	RNU6-193P
ENSG00000213724	34965069	10	34966259	PRDX2P2
ENSG00000283000	34969881	10	34975578	LINC02635
ENSG00000108094	35008551	10	35090642	CUL2
ENSG00000266228	35079598	10	35079680	MIR3611
ENSG00000230534	35098006	10	35127020	AL392046.1
ENSG00000095794	35126791	10	35212958	CREM
ENSG00000253054	35135443	10	35135502	RNU7-77P
ENSG00000233343	35158306	10	35158640	ATP6V1G1P4
ENSG00000269952	35210416	10	35210750	AL117336.1
ENSG00000233200	35219894	10	35230598	LINC02634
ENSG00000253070	35231331	10	35231394	RNU6-794P
ENSG00000108100	35247025	10	35572669	CCNY
ENSG00000200097	35250959	10	35251052	RNU6-1167P
ENSG00000271335	35314552	10	35336401	AL117336.2
ENSG00000287945	35443411	10	35444569	AL603824.1
ENSG00000273312	35604485	10	35608153	AL121749.1
ENSG00000177291	35605341	10	35608935	GJD4
ENSG00000177283	35638249	10	35642278	FZD8
ENSG00000287528	35641097	10	35647826	AL121749.2
ENSG00000284265	35641172	10	35641252	MIR4683
ENSG00000226646	35697300	10	35698037	RPL7P37
ENSG00000280719	35778302	10	35800920	PCAT5
ENSG00000227313	35896874	10	35898963	LINC02630
ENSG00000227475	36089086	10	36089389	AL355300.1
ENSG00000236626	36432882	10	36434484	MTND5P17
ENSG00000228694	36434710	10	36435174	MTND4P18
ENSG00000237002	36438616	10	36442392	AL590730.1
ENSG00000274458	36438661	10	36438788	AL590730.2
ENSG00000229644	36521721	10	36524234	NAMPTP1
ENSG00000207271	36626015	10	36626138	AL354660.1
ENSG00000238176	36940109	10	36943932	AL390061.1
ENSG00000233533	36944111	10	36944738	MKNK2P1
ENSG00000225355	36995023	10	36995585	ARL6IP1P2
ENSG00000148513	37125725	10	37384111	ANKRD30A
ENSG00000206796	37135237	10	37135343	RNU6-811P
ENSG00000234918	37240887	10	37242049	AL157387.1
ENSG00000235687	37248118	10	37347031	LINC00993
ENSG00000244402	37297398	10	37297689	RN7SL314P
ENSG00000252621	37303000	10	37303109	AL157387.2
ENSG00000237970	37337415	10	37338871	TMEM161BP1
ENSG00000236313	37348616	10	37349572	VN1R53P
ENSG00000224920	37523011	10	37544701	TACC1P1
ENSG00000225276	37600796	10	37601368	MTND1P18
ENSG00000256892	37601440	10	37602974	MTRNR2L7
ENSG00000226578	37775371	10	37784131	AL132657.1
ENSG00000198105	37776526	10	37858106	ZNF248
ENSG00000260137	37791580	10	37791937	AL132657.2
ENSG00000225192	37794276	10	37796109	ZNF33BP1
ENSG00000228828	37818606	10	37820982	TLK2P2
ENSG00000236514	37857740	10	37859110	AL135791.1
ENSG00000151963	37883594	10	37884109	ZNF37CP
ENSG00000235197	37894637	10	37896666	ZNF33CP
ENSG00000175395	37949573	10	37976647	ZNF25
ENSG00000226447	37976825	10	37992467	ZNF25-DT
ENSG00000206840	37994863	10	37994975	AL117337.1
ENSG00000189180	38010650	10	38065088	ZNF33A
ENSG00000252132	38043873	10	38043975	RNU6-795P
ENSG00000275675	38068449	10	38068694	AL161931.1
ENSG00000226086	38080056	10	38080877	EIF3LP3
ENSG00000235964	38091764	10	38092051	FXYD6P2
ENSG00000075407	38094334	10	38150293	ZNF37A
ENSG00000283930	38094368	10	38360098	AL117339.4
ENSG00000272983	38137337	10	38144399	AL117339.3
ENSG00000225965	38161570	10	38161749	AL117339.1
ENSG00000224761	38164648	10	38212417	CCNYL4
ENSG00000226113	38247922	10	38333155	AL133217.1
ENSG00000234941	38250442	10	38250603	AL117339.2
ENSG00000099251	38356380	10	38378505	HSD17B7P2
ENSG00000120555	38383069	10	38402916	SEPTIN7P9
ENSG00000276805	38403189	10	38452153	AL133216.2
ENSG00000222314	38423625	10	38423728	RNU6-1118P
ENSG00000228882	38452987	10	38455365	CICP9
ENSG00000203496	38453181	10	38466176	AL133216.1
ENSG00000215151	38601418	10	38605609	ABCD1P2
ENSG00000277133	38617255	10	38617344	AL133173.2
ENSG00000225638	38635908	10	38638082	PABPC1P12
ENSG00000233867	38640971	10	38689068	SLC9B1P3
ENSG00000227264	38696424	10	38697902	ACTR3BP5
ENSG00000234541	38713195	10	38719229	CHEK2P5
ENSG00000227679	38762095	10	38762491	AL133173.1
ENSG00000233832	38783004	10	38783108	AL590623.1
ENSG00000229485	42149310	10	42149549	KSR1P1
ENSG00000237592	42185339	10	42185791	IGKV1OR10-1
ENSG00000271650	42209990	10	42210383	AL031601.1
ENSG00000274167	42242721	10	42276842	AL031601.2
ENSG00000228755	42279734	10	42281819	PABPC1P8
ENSG00000215146	42331866	10	42367974	BX322639.1
ENSG00000182632	42408168	10	42475349	CCNYL2
ENSG00000279239	42470082	10	42470268	AL391099.1
ENSG00000185904	42475480	10	42495337	LINC00839
ENSG00000234420	42513510	10	42552822	ZNF37BP
ENSG00000270762	42555440	10	42555724	FXYD6P1
ENSG00000233837	42566677	10	42567483	EIF3LP2
ENSG00000196693	42574185	10	42638570	ZNF33B
ENSG00000277479	42578500	10	42578727	AL022345.3
ENSG00000272319	42579724	10	42579858	AL022345.1
ENSG00000272387	42583241	10	42583375	AL022345.2
ENSG00000251783	42605158	10	42605263	RNU6-1170P
ENSG00000285884	42638314	10	42645542	AL022345.4
ENSG00000233515	42644445	10	42691723	LINC01518
ENSG00000232109	42660728	10	42661776	VN1R54P
ENSG00000231009	42694371	10	42714575	CUBNP1
ENSG00000234864	42696012	10	42706453	LINC02632
ENSG00000230425	42725857	10	42737159	RSU1P1
ENSG00000270552	42747544	10	42748687	DUXAP3
ENSG00000259869	42751178	10	42754297	AL022344.1
ENSG00000165733	42782795	10	42834937	BMS1
ENSG00000252416	42832447	10	42832550	RNU6-885P
ENSG00000234944	42871521	10	42874060	LINC02623
ENSG00000229630	42979017	10	42981507	LINC01264
ENSG00000263795	42997563	10	42997681	MIR5100
ENSG00000165731	43077064	10	43130351	RET
ENSG00000273008	43136824	10	43138334	AC010864.1
ENSG00000169826	43138445	10	43185302	CSGALNACT2
ENSG00000198915	43194535	10	43266919	RASGEF1A
ENSG00000224265	43323665	10	43327932	LINC02633
ENSG00000285712	43325833	10	43350792	AC068707.1
ENSG00000221468	43341786	10	43341910	RNU6ATAC11P
ENSG00000150201	43371636	10	43376335	FXYD4
ENSG00000169813	43385617	10	43409166	HNRNPF
ENSG00000221400	43417249	10	43417438	SNORD3J
ENSG00000230555	43420738	10	43422100	AL450326.1
ENSG00000243660	43436841	10	43483181	ZNF487
ENSG00000252532	43458065	10	43458129	RNU7-193P
ENSG00000236114	43523256	10	43525217	AL450326.2
ENSG00000196793	43556344	10	43574618	ZNF239
ENSG00000287852	43583498	10	43596625	AL450326.3
ENSG00000232004	43604843	10	43606251	CAP1P2
ENSG00000198298	43606419	10	43617904	ZNF485
ENSG00000223910	43628817	10	43674703	ZNF32-AS3
ENSG00000237389	43630882	10	43631564	AL645634.2
ENSG00000238263	43630947	10	43631382	RPL21P88
ENSG00000169740	43643860	10	43648881	ZNF32
ENSG00000226245	43643872	10	43645047	ZNF32-AS1
ENSG00000230565	43645942	10	43648019	ZNF32-AS2
ENSG00000228426	43665668	10	43667005	AL645634.1
ENSG00000271173	43728217	10	43728728	AL355989.1
ENSG00000224162	43732334	10	43732584	UQCRHP3
ENSG00000223746	43741437	10	43742350	ELOCP30
ENSG00000234973	43777562	10	43778825	LINC02658
ENSG00000226808	43778946	10	43901004	LINC00840
ENSG00000226790	43789249	10	43790387	HNRNPA3P1
ENSG00000236769	43900874	10	43912369	LINC02659
ENSG00000233395	43909244	10	43981102	LINC00841
ENSG00000227029	43912444	10	43914236	AL139237.1
ENSG00000237590	44259602	10	44261813	AL137026.2
ENSG00000229116	44282489	10	44293998	AL137026.1
ENSG00000277288	44292569	10	44294649	LINC02881
ENSG00000287901	44296805	10	44310237	AL137026.3
ENSG00000107562	44370165	10	44386493	CXCL12
ENSG00000214089	44414649	10	44415153	RPL9P21
ENSG00000270767	44488335	10	44488445	AL356157.2
ENSG00000287173	44509708	10	44515421	AL356157.3
ENSG00000234580	44591208	10	44602104	AL356157.1
ENSG00000224812	44793119	10	44959709	TMEM72-AS1
ENSG00000227395	44806443	10	44808223	EIF2AP4
ENSG00000234504	44899614	10	44920220	AL353801.2
ENSG00000187783	44911316	10	44937010	TMEM72
ENSG00000223462	44937508	10	44955725	AL353801.1
ENSG00000273363	44958917	10	44959458	AL353801.3
ENSG00000107551	44959407	10	44995891	RASSF4
ENSG00000165507	44970981	10	44978809	DEPP1
ENSG00000165511	44997698	10	45000888	ZNF22-AS1
ENSG00000165512	45000923	10	45005326	ZNF22
ENSG00000226937	45002222	10	45076066	CEP164P1
ENSG00000277757	45016080	10	45147221	AL358394.3
ENSG00000270258	45055656	10	45056268	DUXAP4
ENSG00000228462	45073146	10	45073541	RPS19P7
ENSG00000232554	45099487	10	45154606	RSU1P2
ENSG00000235690	45127318	10	45148914	CUBNP3
ENSG00000243349	45147394	10	45171389	AL358394.2
ENSG00000236442	45151445	10	45151915	ANKRD54P1
ENSG00000230501	45156775	10	45176925	ANKRD30BP3
ENSG00000263476	45164014	10	45164088	MIR3156-1
ENSG00000227683	45164228	10	45181427	AL358394.1
ENSG00000275312	45180400	10	45180616	AL512324.1
ENSG00000278531	45187292	10	45198323	AL512324.3
ENSG00000207071	45188790	10	45188896	RNU6-1207P
ENSG00000234993	45232026	10	45247361	CUBNP2
ENSG00000224402	45255640	10	45263252	OR6D1P
ENSG00000256574	45302298	10	45315608	OR13A1
ENSG00000012779	45374176	10	45446119	ALOX5
ENSG00000231964	45444570	10	45453121	AL731567.1
ENSG00000165406	45454585	10	45594906	MARCHF8
ENSG00000172671	45615500	10	45672780	ZFAND4
ENSG00000230869	45678692	10	45700532	AGAP10P
ENSG00000237840	45706431	10	45727231	FAM21FP
ENSG00000228702	45725694	10	45726038	AL645998.1
ENSG00000172661	45727200	10	45792961	WASHC2C
ENSG00000270434	45812648	10	45812944	AC012044.1
ENSG00000231122	45815428	10	45817324	FAM25E
ENSG00000188234	45825594	10	45853875	AGAP4
ENSG00000239883	45854093	10	45972154	PARGP1
ENSG00000239152	45856307	10	45856422	RNA5SP310
ENSG00000264217	45940522	10	45940851	RPL35AP23
ENSG00000265354	45972489	10	46003742	TIMM23
ENSG00000265733	45984610	10	45984810	SNORA74C-1
ENSG00000266412	46005088	10	46030714	NCOA4
ENSG00000263639	46033307	10	46048180	MSMB
ENSG00000280012	46063250	10	46063715	RPL23AP61
ENSG00000264204	46109621	10	46131358	AGAP7P
ENSG00000263482	46233885	10	46273557	ANTXRLP1
ENSG00000274209	46286345	10	46330207	ANTXRL
ENSG00000279058	46337224	10	46358714	AGAP14P
ENSG00000273225	46369113	10	46373563	FAM25BP
ENSG00000279458	46370759	10	46382626	AC244230.1
ENSG00000264230	46375627	10	46391784	ANXA8L1
ENSG00000285402	46375752	10	46537864	AC244230.2
ENSG00000285294	46398362	10	46453306	LINC00842
ENSG00000213412	46415853	10	46416413	HNRNPA1P33
ENSG00000204174	46461099	10	46465958	NPY4R
ENSG00000204175	46549044	10	46555530	GPRIN2
ENSG00000204176	46578217	10	46594173	SYT15
ENSG00000231187	46580708	10	46598150	AL356056.2
ENSG00000229227	46597918	10	46612154	AL356056.1
ENSG00000165874	46610474	10	46652025	SHLD2P1
ENSG00000272430	46632387	10	46635472	LINC02637
ENSG00000229927	46634911	10	46635466	RHEBP1
ENSG00000274186	46648948	10	46649276	RN7SL248P
ENSG00000285662	46721002	10	46751738	FAM245B
ENSG00000280913	46753605	10	46759740	CTSLP3
ENSG00000265366	46759019	10	46786770	GLUD1P2
ENSG00000215097	46774421	10	46776180	AL731733.1
ENSG00000204177	46786674	10	46811989	BMS1P1
ENSG00000238405	46807458	10	46807573	RNA5SP311
ENSG00000243289	46816516	10	46832476	AGAP13P
ENSG00000150175	46870858	10	46894562	FRMPD2B
ENSG00000204179	46911396	10	47002488	PTPN20
ENSG00000266524	47300197	10	47313577	GDF10
ENSG00000263761	47322454	10	47327588	GDF2
ENSG00000265203	47348363	10	47357881	RBP3
ENSG00000265763	47365496	10	47384293	ZNF488
ENSG00000265190	47460162	10	47484158	ANXA8
ENSG00000270369	47484457	10	47484754	AL591684.3
ENSG00000189090	47487219	10	47491693	FAM25G
ENSG00000224919	47496212	10	47502195	AL591684.1
ENSG00000204172	47501854	10	47523638	AGAP9
ENSG00000254929	47517816	10	47553514	AL591684.2
ENSG00000252877	47532352	10	47532467	RNA5SP312
ENSG00000251079	47538377	10	47551954	BMS1P2
ENSG00000265630	47563604	10	47569697	BX547991.2
ENSG00000215065	47564256	10	47566016	BX547991.1
ENSG00000266217	47581211	10	47582321	CTSLP2
ENSG00000264404	47588681	10	47619480	LINC02675
ENSG00000189014	47689707	10	47730436	SHLD2P3
ENSG00000276544	47692399	10	47692727	RN7SL453P
ENSG00000226964	47706203	10	47706802	RHEBP2
ENSG00000277758	47750864	10	47763592	FO681492.1
ENSG00000276850	47908064	10	47991877	AC245041.2
ENSG00000264717	47918739	10	47923524	NPY4R2
ENSG00000273760	47970043	10	47973496	AC245041.1
ENSG00000276430	47995322	10	47999791	FAM25C
ENSG00000265018	48009873	10	48031640	AGAP12P
ENSG00000252149	48040462	10	48040577	RNA5SP315
ENSG00000270025	48050282	10	48060016	BMS1P7
ENSG00000278561	48064308	10	48119455	PTPN20CP
ENSG00000170324	48153088	10	48274696	FRMPD2
ENSG00000285786	48246525	10	48248512	AC074325.1
ENSG00000225482	48292699	10	48293417	RPS6P14
ENSG00000107643	48306639	10	48439360	MAPK8
ENSG00000279822	48443836	10	48445820	AC016397.2
ENSG00000128805	48446034	10	48656265	ARHGAP22
ENSG00000248682	48510525	10	48511589	ARHGAP22-IT1
ENSG00000231906	48546472	10	48546713	AC016397.1
ENSG00000251413	48624004	10	48625093	AC068898.2
ENSG00000236800	48664199	10	48672424	AC068898.1
ENSG00000128815	48684876	10	48982956	WDFY4
ENSG00000228754	48745545	10	48746128	RPL13AP19
ENSG00000286993	48835541	10	48845945	AC035139.2
ENSG00000228403	48878022	10	48878649	AC035139.1
ENSG00000241577	48883955	10	48935213	AC060234.3
ENSG00000165383	48909483	10	48914232	LRRC18
ENSG00000233665	48976554	10	48993046	AC060234.2
ENSG00000226576	48984564	10	49018897	AC060234.1
ENSG00000264800	48985512	10	48985587	MIR4294
ENSG00000165633	49014236	10	49115522	VSTM4
ENSG00000234736	49121839	10	49151547	FAM170B-AS1
ENSG00000172538	49131154	10	49134021	FAM170B
ENSG00000204161	49154725	10	49188585	TMEM273
ENSG00000236208	49296112	10	49299018	C10orf71-AS1
ENSG00000177354	49299170	10	49327492	C10orf71
ENSG00000165606	49364181	10	49396016	DRGX
ENSG00000235939	49419277	10	49472903	AL138760.1
ENSG00000225830	49454470	10	49539538	ERCC6
ENSG00000271237	49551308	10	49552652	HMGB1P50
ENSG00000070748	49609095	10	49667942	CHAT
ENSG00000187714	49610310	10	49612720	SLC18A3
ENSG00000178645	49679651	10	49710261	C10orf53
ENSG00000197444	49734641	10	49762379	OGDHL
ENSG00000226389	49771841	10	49773299	MAPK6P6
ENSG00000229870	49815096	10	49815562	RPL21P89
ENSG00000227345	49818279	10	49970203	PARG
ENSG00000230166	49909613	10	49909942	RPL35AP24
ENSG00000204152	49942049	10	49974850	TIMM23B
ENSG00000178440	49942056	10	50011654	TIMM23B-AGAP6
ENSG00000288603	49954214	10	49954414	SNORA74C-2
ENSG00000222108	49979665	10	49979780	RNA5SP317
ENSG00000285803	49981420	10	49988899	AL442003.1
ENSG00000204149	49982190	10	50010499	AGAP6
ENSG00000235618	50021182	10	50067803	FAM21EP
ENSG00000226631	50025135	10	50027363	SLC9A3P3
ENSG00000099290	50067888	10	50133509	WASHC2A
ENSG00000233011	50150603	10	50152287	SLC9A3P1
ENSG00000188611	50182778	10	50279720	ASAH2
ENSG00000225137	50264978	10	50266815	DYNC1I2P1
ENSG00000198964	50305586	10	50625163	SGMS1
ENSG00000286401	50325697	10	50341585	AC069547.2
ENSG00000279863	50334538	10	50336123	AC069547.1
ENSG00000225303	50472814	10	50474246	AL117341.1
ENSG00000238523	50590652	10	50590712	RNU7-107P
ENSG00000226200	50623466	10	50641451	SGMS1-AS1
ENSG00000231588	50629532	10	50631075	SHQ1P1
ENSG00000231345	50655967	10	50660472	BEND3P1
ENSG00000232706	50676743	10	50686326	NUTM2HP
ENSG00000226168	50695592	10	50695981	AL589794.1
ENSG00000230011	50705380	10	50708906	CTSLP4
ENSG00000213667	50726947	10	50727969	PGGT1BP1
ENSG00000287221	50736078	10	50739434	AL589794.2
ENSG00000204147	50739318	10	50816495	ASAH2B
ENSG00000148584	50799409	10	50885675	A1CF
ENSG00000229711	50822692	10	50824525	AL512366.1
ENSG00000236944	50962993	10	50963358	CCDC58P2
ENSG00000261368	50964270	10	50965220	AL731537.2
ENSG00000185532	50990888	10	52298423	PRKG1
ENSG00000223502	51062579	10	51068553	AL731537.1
ENSG00000231132	51244894	10	51245806	AC022537.1
ENSG00000207813	51299573	10	51299655	MIR605
ENSG00000235279	51302566	10	51306709	AC069079.1
ENSG00000213659	51319826	10	51320660	RSU1P3
ENSG00000177613	51695486	10	51699595	CSTF2T
ENSG00000236671	52230398	10	52314507	PRKG1-AS1
ENSG00000107984	52314281	10	52318042	DKK1
ENSG00000213657	52389112	10	52389488	RPL31P44
ENSG00000227972	52411135	10	52413492	THAP12P3
ENSG00000231131	52450874	10	52755507	LNCAROD
ENSG00000165471	52765380	10	52771700	MBL2
ENSG00000201196	52852607	10	52852703	AL365506.1
ENSG00000285958	52946431	10	52955585	AC073174.1
ENSG00000227121	52972612	10	53030024	LINC02672
ENSG00000231399	53038285	10	53038544	SNRPEP8
ENSG00000226296	53291072	10	53311065	AC036101.1
ENSG00000252161	53458197	10	53458288	RNA5SP318
ENSG00000233805	53766400	10	53766614	AL365496.1
ENSG00000150275	53802771	10	55627942	PCDH15
ENSG00000252252	54452423	10	54452511	RNU6-687P
ENSG00000234173	54486230	10	54656051	AL353784.1
ENSG00000224697	54599678	10	54600683	NEFMP1
ENSG00000221594	54607874	10	54607957	MIR548F1
ENSG00000236958	54864674	10	54869122	AC051618.1
ENSG00000236744	55247755	10	55597233	AC016822.1
ENSG00000223800	55468327	10	55469222	AL355314.1
ENSG00000228048	55506219	10	55513217	AL355314.2
ENSG00000249860	55599042	10	55600728	MTRNR2L5
ENSG00000236993	55667341	10	55668350	GAPDHP21
ENSG00000270541	55746551	10	55746908	AC069545.1
ENSG00000122952	56357227	10	56361273	ZWINT
ENSG00000287016	56361479	10	56364714	AC010996.1
ENSG00000238707	56595963	10	56596031	AC025039.1
ENSG00000264747	57304479	10	57304559	MIR3924
ENSG00000235810	57513157	10	57513425	AL731534.1
ENSG00000223841	57955295	10	57957178	AC006484.1
ENSG00000270192	57982285	10	57982993	MRPS35P3
ENSG00000232115	58106423	10	58106879	AC026884.1
ENSG00000151151	58191517	10	58267894	IPMK
ENSG00000180221	58212541	10	58213036	TPT1P10
ENSG00000122873	58269162	10	58289586	CISD1
ENSG00000228527	58304553	10	58305621	AC016396.1
ENSG00000261076	58325614	10	58327030	AC016396.2
ENSG00000072401	58334979	10	58370751	UBE2D1
ENSG00000108064	58385345	10	58399220	TFAM
ENSG00000122870	58512872	10	58831435	BICC1
ENSG00000183055	58715554	10	58716257	FAM133CP
ENSG00000252076	58869184	10	58869528	RN7SKP196
ENSG00000237949	58999482	10	59066396	LINC00844
ENSG00000226888	59088701	10	59089039	RPLP1P10
ENSG00000226557	59136625	10	59138182	TRAF6P1
ENSG00000165443	59176643	10	59247774	PHYHIPL
ENSG00000148541	59246130	10	59363181	FAM13C
ENSG00000236556	59282147	10	59282835	AC025038.1
ENSG00000287969	59357007	10	59364075	AL355474.1
ENSG00000235469	59551404	10	59551878	MRPL50P4
ENSG00000235140	59578467	10	59650345	AC026391.1
ENSG00000165449	59650761	10	59736002	SLC16A9
ENSG00000227877	59736692	10	59756041	MRLN
ENSG00000108091	59788747	10	59906556	CCDC6
ENSG00000235931	59955430	10	59960913	LINC01553
ENSG00000151150	60026298	10	60733490	ANK3
ENSG00000232682	60050668	10	60060743	AL592430.2
ENSG00000202190	60081741	10	60081854	AL592430.1
ENSG00000282121	60139912	10	60140877	AL592430.3
ENSG00000122872	60684505	10	60685209	ARL4AP1
ENSG00000254271	60734342	10	60741828	ANK3-DT
ENSG00000170312	60778331	10	60794852	CDK1
ENSG00000072422	60869438	10	61001440	RHOBTB1
ENSG00000223107	60912765	10	60912927	RNU2-72P
ENSG00000227244	61016275	10	61026420	LINC00845
ENSG00000196932	61406642	10	61453381	TMEM26
ENSG00000237233	61452639	10	61481956	TMEM26-AS1
ENSG00000288052	61493843	10	61496499	AL356952.1
ENSG00000183346	61662961	10	61766766	CABCOCO1
ENSG00000272592	61684892	10	61685388	AL451049.1
ENSG00000233643	61781745	10	61821246	LINC02625
ENSG00000150347	61901684	10	62096944	ARID5B
ENSG00000182010	62183035	10	62268844	RTKN2
ENSG00000234756	62289521	10	62304033	LINC02621
ENSG00000288011	62339553	10	62375166	AC024597.1
ENSG00000240940	62350006	10	62350297	RN7SL591P
ENSG00000138311	62374192	10	62480288	ZNF365
ENSG00000285837	62374192	10	62672011	AC024598.1
ENSG00000285551	62520448	10	62672011	AC067752.1
ENSG00000238280	62682652	10	62805887	AC067751.1
ENSG00000234489	62741208	10	62741385	ALDH7A1P4
ENSG00000181915	62804720	10	62808479	ADO
ENSG00000122877	62811996	10	62919900	EGR2
ENSG00000199446	63110139	10	63110246	RNU6-543P
ENSG00000224301	63123929	10	63125587	AL590502.1
ENSG00000148572	63133247	10	63155031	NRBF2
ENSG00000171988	63167221	10	63521850	JMJD1C
ENSG00000234369	63222155	10	63223045	TATDN1P1
ENSG00000270421	63358745	10	63359104	AC022022.2
ENSG00000221063	63372957	10	63373048	MIR1296
ENSG00000235816	63427297	10	63427939	PRELID1P3
ENSG00000272767	63465229	10	63466563	JMJD1C-AS1
ENSG00000224412	63489461	10	63489638	AC022022.1
ENSG00000165476	63521401	10	63625128	REEP3
ENSG00000286373	63630672	10	63655769	AC022387.2
ENSG00000232075	63634317	10	63634827	MRPL35P2
ENSG00000270352	63658074	10	63658521	AC022387.1
ENSG00000228566	63664664	10	64693446	AC013287.1
ENSG00000213609	63902451	10	63903245	RPL7AP50
ENSG00000226426	64036345	10	64037280	AC012558.1
ENSG00000235489	64168959	10	64170850	DBF4P1
ENSG00000233900	64620374	10	64620922	RPL17P35
ENSG00000270648	64762883	10	64763172	CYP2C61P
ENSG00000216740	64825572	10	64826579	ANXA2P3
ENSG00000224714	64901136	10	65017639	LINC02671
ENSG00000270754	65054460	10	65055003	NEK4P3
ENSG00000282906	65123667	10	65141185	AL513321.2
ENSG00000227173	65169438	10	65169869	MYL6P3
ENSG00000233724	65248032	10	65248792	AL513321.1
ENSG00000235356	65271319	10	65315080	AL592466.1
ENSG00000228065	65570338	10	65880289	LINC01515
ENSG00000183230	65912523	10	67696195	CTNNA3
ENSG00000273360	66079243	10	66118326	AC022017.1
ENSG00000277056	66837457	10	66837704	AL607023.1
ENSG00000198739	66926036	10	67101551	LRRTM3
ENSG00000225299	67052609	10	67055028	AL139240.1
ENSG00000226448	67334123	10	67334882	RPL7AP51
ENSG00000276866	67403351	10	67403410	MIR7151
ENSG00000213606	67750284	10	67751225	AKR1B10P1
ENSG00000225922	67793770	10	67794245	RPL21P92
ENSG00000108176	67796669	10	67838188	DNAJC12
ENSG00000212520	67808502	10	67808608	RNU6-1250P
ENSG00000239942	67825310	10	67825600	RN7SL394P
ENSG00000237141	67833763	10	67834081	DNAJC19P1
ENSG00000272892	67849525	10	67850746	AL133551.1
ENSG00000252113	67858818	10	67858871	RNU6-523P
ENSG00000219932	67874332	10	67874911	RPL12P8
ENSG00000096717	67884656	10	67918390	SIRT1
ENSG00000148634	67921899	10	68075348	HERC4
ENSG00000226318	67960702	10	67961464	RPS3AP38
ENSG00000266467	68007718	10	68008017	RN7SL220P
ENSG00000236375	68010205	10	68010862	POU5F1P5
ENSG00000138347	68106117	10	68212017	MYPN
ENSG00000222371	68158079	10	68158408	RN7SKP202
ENSG00000179774	68230595	10	68232113	ATOH7
ENSG00000233590	68233251	10	68242379	LINC02640
ENSG00000234102	68260557	10	68261499	KRT19P4
ENSG00000108187	68282660	10	68333049	PBLD
ENSG00000096746	68331174	10	68343191	HNRNPH3
ENSG00000204130	68341107	10	68407294	RUFY2
ENSG00000138346	68414064	10	68472121	DNA2
ENSG00000234806	68424560	10	68424997	RPL26P29
ENSG00000199638	68461407	10	68461525	RNA5SP319
ENSG00000122912	68477998	10	68527523	SLC25A16
ENSG00000226493	68499532	10	68499968	RPL26P27
ENSG00000207438	68503152	10	68503259	AL713888.1
ENSG00000214881	68544489	10	68544833	TMEM14DP
ENSG00000138336	68560337	10	68694487	TET1
ENSG00000213025	68632371	10	68632727	COX20P1
ENSG00000227583	68674356	10	68675100	RPS3AP37
ENSG00000260400	68698500	10	68700794	AL513534.3
ENSG00000270494	68717311	10	68717795	AL513534.4
ENSG00000060339	68721012	10	68792377	CCAR1
ENSG00000195401	68735720	10	68735823	AL513534.1
ENSG00000283551	68755172	10	68755238	SNORD98
ENSG00000221184	68759318	10	68759414	AL513534.2
ENSG00000165730	68827531	10	68895432	STOX1
ENSG00000200218	68846805	10	68846911	RNU6-697P
ENSG00000285871	68896920	10	68900768	AL359844.1
ENSG00000107625	68901286	10	68946847	DDX50
ENSG00000206855	68911653	10	68911759	RNU6-571P
ENSG00000165732	68956170	10	68985068	DDX21
ENSG00000198954	68988721	10	69043544	KIFBP
ENSG00000214875	68991137	10	68991707	MED28P1
ENSG00000229001	69022778	10	69023866	ACTBP14
ENSG00000122862	69088103	10	69104805	SRGN
ENSG00000274008	69098496	10	69098794	AL442635.1
ENSG00000122958	69123512	10	69174412	VPS26A
ENSG00000233163	69161530	10	69161906	RPS12P17
ENSG00000156502	69180234	10	69209099	SUPV3L1
ENSG00000229261	69215333	10	69232490	AL596223.1
ENSG00000156510	69220332	10	69267552	HKDC1
ENSG00000231748	69265342	10	69268148	AL596223.2
ENSG00000156515	69269984	10	69401884	HK1
ENSG00000229197	69300432	10	69300817	RPS15AP28
ENSG00000075073	69403903	10	69416918	TACR2
ENSG00000232734	69432972	10	69433371	ATP5MC1P7
ENSG00000099282	69451465	10	69507666	TSPAN15
ENSG00000287306	69510166	10	69544257	AC016821.1
ENSG00000233197	69523311	10	69523650	TMEM256P1
ENSG00000122859	69571698	10	69573422	NEUROG3
ENSG00000236154	69575807	10	69577154	AL450311.1
ENSG00000230755	69589880	10	69590355	MTATP6P23
ENSG00000235803	69590583	10	69591262	MTCO2P23
ENSG00000235524	69591406	10	69592931	MTCO1P23
ENSG00000231152	69594041	10	69594932	MTND2P15
ENSG00000226794	69595487	10	69596436	MTND1P20
ENSG00000171224	69630247	10	69633596	FAM241B
ENSG00000235645	69684899	10	69692452	LINC02651
ENSG00000230469	69778962	10	69779838	RPL5P26
ENSG00000197467	69801867	10	69964275	COL13A1
ENSG00000224222	69994276	10	70019496	LINC02636
