gene	mandelker	cosmic	high_priority	bp_HG002_v4.2.1	fraction_HG002_v4.2.1	bp_dip.bed	fraction_dip.bed	chrom	start	end	start_coordinates_plus_segdups_plus_flanking	end_coordinates_plus_segdups_plus_flanking	bp_exon_covered_v4.2.1	fraction_exon_covered_v4.2.1	bp_MRG_benchmark_bed	fraction_MRG_benchmark_bed	bp_exon_covered_MRG_benchmark	fraction_exon_covered_MRG_benchmark	bp_overlap_w_AllRepeats_gt_10kb	fraction_gene_overlap_w_AllRepeats_gt_10kb	bp_overlap_w_refn	fraction_gene_overlap_w_refn	bp_overlap_w_GIAB_expanded_by_150_Tier1andTier2_SV_0.6	fraction_overlap_w_GIAB_expanded_by_150_Tier1andTier2_SV_0.6	bp_overlap_w_intersect_Illumina_CCS_ONT_CNV_v4.2.1	fraction_overlap_w_intersect_Illumina_CCS_ONT_CNV_v4.2.1	bp_overlap_w_union_CCS_and_ONT_outlier_CNV_v4.2.1	fraction_overlap_w_union_CCS_and_ONT_outlier_CNV_v4.2.1	bp_overlap_w_Assembly_CNV	fraction_overlap_w_Assembly_CNV	bp_overlap_w_vdj	fraction_overlap_w_vdj	bp_overlap_inversions	fraction_overlap_inversions	bp_overlap_w_segdups_w_count_gt_5_and_percent_identity_gte_990	fraction_overlap_w_segdups_w_count_gt_5_and_percent_identity_gte_990	bp_segdups	fraction_segdups	bp_lowmapandsegdups	fraction_lowmapandsegdups	num_MRG_SVs_gt_49bp_in_SV_benchmark_bed_in_gene	num_MRG_SVs_gt_49bp_in_SV_benchmark_bed_in_gene_in_exons	num_MRG_variants_in_benchmark_in_gene	num_MRG_variants_in_benchmark_in_gene_in_exons	num_v4.2.1_variants_in_benchmark_in_gene	num_v4.2.1_variants_in_benchmark_in_gene_in_exons
GJC2	yes	no	no	9896	1	49896	1	chr1	228149930	228159826	228129930	228179826	2163	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0.007073565	0	0	0	0	8	1
ACTA1	yes	no	no	2729	0.956536979	42853	1	chr1	229431245	229434098	229411245	229454098	1462	0.985175202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
GALNT2	yes	no	no	221769	0.989457106	264132	1	chr1	230057990	230282122	230037990	230302122	4407	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	539	0.002404833	0	0	0	0	211	4
COG2	yes	no	no	51071	0.991650648	91501	1	chr1	230642481	230693982	230622481	230713982	2914	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	752	0.014601658	0	0	0	0	89	2
AGT	yes	no	no	11494	0.990947495	51599	1	chr1	230702523	230714122	230682523	230734122	2111	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	3
GNPAT	yes	no	yes	35990	0.978893543	76766	1	chr1	231241207	231277973	231221207	231297973	2625	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	347	0.009438068	0	0	0	0	50	2
EGLN1	yes	no	no	56706	0.968737187	98536	1	chr1	231363751	231422287	231343751	231442287	4273	0.986836028	0	0	0	0	0	0	0	0	519	0.008866339	0	0	0	0	0	0	0	0	0	0	0	0	1459	0.024924833	1896	0.032390324	0	0	0	0	202	2
DISC1	yes	no	no	405678	0.978759029	453333	0.997471847	chr1	231626790	232041272	231606790	232061272	10434	0.949927167	0	0	0	0	0	0	0	0	3304	0.007971396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13685	0.033017115	0	0	0	0	523	15
ARID4B	yes	no	no	192151	0.977444871	238875	1	chr1	235131634	235328219	235109344	235348219	6372	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3349	0.017035888	0	0	0	0	37	0
TBCE	yes	no	no	110746	0.919954811	160382	1	chr1	235328570	235448952	235308570	235468952	6317	0.978015173	0	0	0	0	0	0	0	0	1334	0.011081391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7605	0.063173896	0	0	0	0	111	3
TBCE	yes	no	no	77818	0.91461279	125083	1	chr1	235367360	235452443	235347360	235472443	6317	0.978015173	0	0	0	0	0	0	0	0	1334	0.015678808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6750	0.079334297	0	0	0	0	96	3
B3GALNT2	yes	no	no	55981	0.977629143	97262	1	chr1	235447190	235504452	235427190	235524452	5437	0.97629736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0.002514757	0	0	0	0	98	6
LYST	yes	no	yes	213146	0.957533502	262599	1	chr1	235661041	235883640	235641041	235903640	13352	0.995452173	0	0	0	0	0	0	0	0	0	0	0	0	7000	0.031446682	0	0	0	0	0	0	0	0	1608	0.007223752	3574	0.016055777	0	0	0	0	206	4
EDARADD	yes	no	no	140775	0.910234194	194658	1	chr1	236348257	236502915	236328257	236522915	3227	0.969360168	0	0	0	0	0	0	0	0	7696	0.049761409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3739	0.024175924	0	0	0	0	511	1
ACTN2	yes	no	yes	92686	0.922340531	140490	1	chr1	236664141	236764631	236644141	236784631	4766	0.936161854	0	0	0	0	0	0	0	0	5294	0.052681859	0	0	1000	0.009951239	0	0	0	0	0	0	0	0	0	0	3507	0.034898995	0	0	0	0	222	5
MTR	yes	no	no	124057	0.984688775	165986	1	chr1	236795292	236921278	236775292	236941278	10472	0.996005326	0	0	0	0	0	0	0	0	309	0.002452653	0	0	0	0	0	0	0	0	0	0	0	0	1047	0.008310447	1439	0.011421904	0	0	0	0	206	15
RYR2	yes	no	yes	768759	0.970895575	831804	1	chr1	237042184	237833988	237022184	237853988	16155	0.980398107	0	0	0	0	0	0	0	0	6128	0.007739289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17229	0.021759173	0	0	0	0	1507	8
CHRM3	yes	no	no	518987	0.981281446	568887	1	chr1	239386565	239915452	239366565	239935452	8793	1	0	0	0	0	0	0	0	0	2660	0.00502943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14739	0.027867957	0	0	0	0	659	13
FMN2	yes	no	no	443399	0.962155981	500839	1	chr1	240014348	240475187	239994348	240495187	5467	0.852753081	0	0	0	0	0	0	0	0	6600	0.014321705	0	0	0	0	0	0	0	0	0	0	0	0	3089	0.006702992	7409	0.016077198	0	0	0	0	860	3
RGS7	yes	yes	no	566009	0.973000524	621715	1	chr1	240775515	241357230	240755515	241377230	2556	1	0	0	0	0	0	0	0	0	3632	0.006243607	0	0	0	0	0	0	0	0	0	0	0	0	1713	0.002944741	11262	0.019359996	0	0	0	0	927	1
FH	yes	yes	yes	21926	0.989797761	62152	1	chr1	241497603	241519755	241477603	241539755	1781	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0.002437703	0	0	0	0	18	1
EXO1	yes	no	no	46511	0.985799368	87181	1	chr1	241847967	241895148	241827967	241915148	3433	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	644	0.013649562	0	0	0	0	104	5
SDCCAG8	yes	no	no	229187	0.93907161	284057	1	chr1	243256034	243500091	243236034	243520091	2411	0.940694499	0	0	0	0	0	0	0	0	10520	0.043104685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1795	0.007354839	0	0	0	0	127	2
AKT3	yes	yes	no	354118	0.975945718	402846	1	chr1	243488233	243851079	243468233	243871079	7381	0.980342675	0	0	0	0	0	0	0	0	2954	0.008141195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9727	0.026807516	0	0	0	0	245	0
ZBTB18	yes	no	no	8361	0.979383858	48537	1	chr1	244048939	244057476	244028939	244077476	3849	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1
HNRNPU	yes	no	no	23612	0.987041217	63922	1	chr1	244840638	244864560	244820638	244884560	6765	0.984716157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0.009530976	0	0	0	0	5	1
NLRP3	yes	no	no	29715	0.901766205	72952	1	chr1	247416156	247449108	247396156	247469108	4319	0.96212965	0	0	0	0	0	0	0	0	2661	0.080753824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	766	0.023245933	0	0	0	0	79	8
OR13G1	yes	no	no	8927	1	42887	0.87655078	chr1	247670812	247679739	247650812	247699739	2566	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.12E-04	0	0	0	0	25	10
OR2T5	yes	no	no	2436	0.965134707	98328	1	chr1	248488589	248491113	248420938	248519266	2436	0.965134707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2524	1	2524	1	0	0	0	0	1	1
DIP2C	yes	no	no	363957	0.875995841	454738	0.998375333	chr10	274190	689668	254190	709668	7350	0.936544343	0	0	0	0	0	0	0	0	40438	0.09732886	0	0	0	0	0	0	0	0	0	0	0	0	7796	0.01876393	23445	0.056428981	0	0	0	0	491	4
LARP4B	no	yes	no	123435	0.989133832	164791	1	chr10	806914	931705	786914	951705	5843	0.982842725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	607	0.004864133	0	0	0	0	78	5
KLF6	yes	yes	no	8954	0.964351104	49285	1	chr10	3775996	3785281	3755996	3805281	4327	0.928939459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	4
AKR1C2	yes	no	no	29671	0.968659201	112099	1	chr10	4987400	5018031	4925932	5038031	4231	0.984869646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30631	1	30631	1	0	0	0	0	111	9
AKR1C3	yes	no	no	70789	0.97866781	143325	1	chr10	5035354	5107686	4984361	5127686	1260	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3461	0.047848808	10093	0.139537134	0	0	0	0	213	2
AKR1C4	yes	no	no	23383	0.995572019	63487	1	chr10	5195462	5218949	5175462	5238949	1403	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0.007876698	0	0	0	0	41	3
IL2RA	yes	no	no	49985	0.967183298	91681	1	chr10	6010689	6062370	5990689	6082370	3198	0.996261682	0	0	0	0	0	0	0	0	1069	0.020684584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	584	0.011300091	0	0	0	0	80	1
GATA3	yes	yes	yes	28702	0.962508384	69820	1	chr10	8045378	8075198	8025378	8095198	3077	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0.002816901	0	0	0	0	63	4
DHTKD1	yes	no	no	50939	0.938673595	94267	1	chr10	12068954	12123221	12048954	12143221	5130	0.994957331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	991	0.018261559	0	0	0	0	170	12
OPTN	yes	no	no	35590	0.915875344	78859	1	chr10	13099449	13138308	13079449	13158308	4041	1	0	0	0	0	0	0	0	0	1754	0.045137549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	812	0.02089606	0	0	0	0	67	0
PHYH	yes	no	yes	23512	0.955151121	64616	1	chr10	13277796	13302412	13257796	13322412	1878	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	384	0.01559961	0	0	0	0	90	4
DCLRE1C	yes	no	no	14018	0.245615265	99665	1	chr10	14897359	14954432	14877359	14977024	4489	0.692640025	55993	0.981076866	6408	0.988736306	0	0	0	0	42367	0.742329998	0	0	0	0	0	0	0	0	0	0	0	0	14026	0.245755436	14107	0.247174671	1	0	44	3	14	1
NMT2	yes	no	no	62190	0.940719115	106109	1	chr10	15102584	15168693	15082584	15188693	4912	0.975958673	0	0	0	0	0	0	0	0	1155	0.017471146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	628	0.009499463	0	0	0	0	79	7
CUBN	yes	no	no	297413	0.972430479	349193	1	chr10	16823966	17129811	16800618	17149811	11830	0.997470489	0	0	0	0	0	0	0	0	339	0.001108405	0	0	0	0	0	0	0	0	0	0	0	0	43097	0.140911246	45397	0.148431395	0	0	0	0	680	12
VIM	yes	no	no	9250	0.989093242	49352	1	chr10	17228241	17237593	17208241	17257593	2144	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ST8SIA6	yes	no	no	134970	0.969793209	179174	1	chr10	17315421	17454595	17295421	17474595	6986	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2234	0.016051849	0	0	0	0	333	7
HACD1	no	no	yes	27508	0.970573707	68342	1	chr10	17589032	17617374	17569032	17637374	2227	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366	0.012913697	0	0	0	0	9	2
MRC1	yes	no	no	98206	0.964543883	141816	1	chr10	17809348	17911164	17789348	17931164	4933	0.956378441	101085	0.992820382	5158	1	0	0	0	0	324	0.003182211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	0.003152746	0	0	173	7	143	6
CACNB2	yes	no	no	392590	0.973847341	443133	1	chr10	18140424	18543557	18120424	18563557	7783	0.982826114	0	0	0	0	0	0	0	0	489	0.001212999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3083	0.0076476	0	0	0	0	699	11
NEBL	yes	no	no	387338	0.982557697	434214	1	chr10	20779973	21174187	20759973	21194187	9895	1	0	0	0	0	0	0	0	0	1501	0.003807577	0	0	0	0	0	0	0	0	0	0	0	0	1812	0.004596488	9659	0.02450192	0	0	0	0	448	3
MLLT10	yes	yes	no	207072	0.945603332	258984	1	chr10	21524646	21743630	21504646	21763630	5857	0.99086449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48812	0.22290213	49562	0.226327038	0	0	0	0	65	1
BMI1	yes	no	no	10153	0.977660087	50385	1	chr10	22321099	22331484	22301099	22351484	3421	0.969121813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0.015214251	0	0	0	0	1	1
PTF1A	yes	no	no	1820	0.941541645	41933	1	chr10	23192312	23194245	23172312	23214245	1543	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
MYO3A	yes	no	yes	269080	0.966859861	318303	1	chr10	25934229	26212532	25914229	26232532	5589	1	0	0	0	0	0	0	0	0	798	0.002867378	0	0	3000	0.010779618	0	0	0	0	0	0	0	0	2350	0.008444034	15032	0.054013072	0	0	0	0	756	11
GAD2	yes	no	no	86075	0.979315759	127893	1	chr10	26216665	26304558	26196665	26324558	5062	0.923048869	0	0	0	0	0	0	0	0	422	0.004801292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	416	0.004733028	0	0	0	0	197	8
PDSS1	yes	no	no	42807	0.871886266	90602	1	chr10	26697701	26746798	26676196	26766798	1442	0.917302799	45617	0.929119905	1572	1	0	0	0	0	5437	0.110739964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1177	0.023972952	1	0	137	0	123	0
ABI1	no	yes	no	110407	0.964303806	171555	0.994389154	chr10	26746593	26861087	26726593	26899116	3766	1	205	0.001790487	205	0.054434413	0	0	0	0	476	0.004157423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	442	0.003860464	0	0	0	0	292	1
ANKRD26	yes	no	yes	105580	0.972334782	148584	1	chr10	26991914	27100498	26971914	27120498	6557	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3086	0.028420393	3552	0.032712002	0	0	0	0	231	8
MASTL	yes	no	no	32264	0.973889945	77547	1	chr10	27154824	27187953	27130406	27207953	4546	0.978055077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3386	0.102206526	3677	0.110990371	0	0	0	0	76	11
ACBD5	yes	no	no	44358	0.945477023	124034	1	chr10	27195214	27242130	27175214	27299248	4265	1	0	0	0	0	0	0	0	0	303	0.006458351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	560	0.011936226	0	0	0	0	244	6
RAB18	yes	no	no	37700	0.990411139	78065	1	chr10	27504174	27542239	27484174	27562239	5084	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0.00183896	0	0	0	0	50	7
MTPAP	yes	no	no	62534	0.967314802	110191	1	chr10	30309801	30374448	30289801	30399992	5397	0.965128755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11277	0.174439649	11639	0.18003929	0	0	0	0	156	5
MAP3K8	yes	no	no	27608	0.992665037	67812	1	chr10	30434021	30461833	30414021	30481833	3098	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0.001797785	0	0	0	0	37	2
ZEB1	yes	yes	no	208499	0.986655246	251319	1	chr10	31318495	31529814	31298495	31549814	6328	0.984902724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4535	0.021460446	21509	0.101784506	0	0	0	0	59	1
KIF5B	no	yes	no	45906	0.968276735	87410	1	chr10	32009015	32056425	31989015	32076425	5798	0.992808219	0	0	0	0	0	0	0	0	745	0.015713984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0.005062223	0	0	0	0	40	2
ITGB1	yes	no	no	103841	0.984517511	145474	1	chr10	32900318	33005792	32880318	33025792	3854	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1048	0.009936098	4810	0.045603656	0	0	0	0	194	5
RET	yes	yes	yes	52843	0.991667761	93287	1	chr10	43077064	43130351	43057064	43150351	6379	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.88E-05	0	0	0	0	74	8
CXCL12	yes	no	no	16188	0.991425772	56328	1	chr10	44370165	44386493	44350165	44406493	5197	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	3
ALOX5	yes	no	no	69993	0.972895209	111943	1	chr10	45374176	45446119	45354176	45466119	2547	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6219	0.086443434	0	0	0	0	141	4
NCOA4	yes	yes	no	24968	0.974322953	174291	1	chr10	46005088	46030714	45876423	46050714	4065	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6120	0.238819948	6412	0.250214626	0	0	0	0	13	1
MSMB	yes	no	no	14709	0.988973307	54873	1	chr10	46033307	46048180	46013307	46068180	488	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	341	0.022927452	0	0	0	0	8	0
RBP3	yes	no	no	9518	1	0	0	chr10	47348363	47357881	47328363	47377881	4286	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ERCC6	yes	no	yes	84478	0.993064372	125068	1	chr10	49454470	49539538	49434470	49559538	11006	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2405	0.0282715	2524	0.029670381	0	0	0	0	100	9
CHAT	yes	no	no	57988	0.985402824	98847	1	chr10	49609095	49667942	49589095	49687942	5380	0.969718818	0	0	0	0	0	0	0	0	513	0.008717522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1.70E-04	0	0	0	0	101	8
A1CF	no	yes	no	84486	0.979366147	250317	1	chr10	50799409	50885675	50655358	50905675	9514	1	0	0	0	0	0	0	0	0	0	0	0	0	1000	0.011592052	0	0	0	0	0	0	0	0	0	0	1204	0.013956831	0	0	0	0	67	9
PRKG1	no	no	yes	1272559	0.973250429	1345260	0.998311732	chr10	50990888	52298423	50970888	52318423	7307	0.99374405	0	0	0	0	0	0	0	0	8908	0.00681282	0	0	8000	0.006118383	0	0	0	0	0	0	0	0	1158	8.86E-04	44590	0.034102338	0	0	0	0	2170	6
CSTF2T	yes	no	no	4109	1	44109	1	chr10	51695486	51699595	51675486	51719595	4109	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MBL2	yes	no	no	6320	1	46320	1	chr10	52765380	52771700	52745380	52791700	3565	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	2
PCDH15	yes	no	yes	1778337	0.974339939	1865171	1	chr10	53802771	55627942	53782771	55647942	14100	1	0	0	0	0	0	0	0	0	12956	0.007098513	0	0	0	0	0	0	0	0	0	0	0	0	118296	0.064813653	163879	0.089788299	0	0	0	0	4077	11
TFAM	yes	no	no	13631	0.982414414	53875	1	chr10	58385345	58399220	58365345	58419220	4979	0.992227979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1214	0.087495495	1214	0.087495495	0	0	0	0	13	7
BICC1	yes	no	no	313755	0.984907224	358563	1	chr10	58512872	58831435	58492872	58851435	5599	0.978846154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2073	0.006507347	14873	0.046687782	0	0	0	0	813	4
CCDC6	no	yes	no	113641	0.9646207	157809	1	chr10	59788747	59906556	59768747	59926556	5718	1	0	0	0	0	0	0	0	0	1254	0.010644348	0	0	0	0	0	0	0	0	0	0	0	0	1671	0.014183976	2521	0.021399044	0	0	0	0	188	7
ANK3	yes	no	no	691719	0.97812051	747192	1	chr10	60026298	60733490	60006298	60753490	18322	0.992363105	0	0	0	0	0	0	0	0	3244	0.004587156	0	0	3000	0.004242129	0	0	0	0	0	0	0	0	1107	0.001565346	12498	0.017672711	0	0	0	0	1219	8
ZNF365	yes	no	no	105568	0.995023375	146096	1	chr10	62374192	62480288	62354192	62500288	4628	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	923	0.008699668	0	0	0	0	185	4
EGR2	yes	no	no	106712	0.988953144	147904	1	chr10	62811996	62919900	62791996	62939900	3144	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0.002947064	0	0	0	0	151	1
JMJD1C	yes	no	no	338332	0.954044931	394629	1	chr10	63167221	63521850	63147221	63541850	9135	1	0	0	0	0	0	0	0	0	0	0	0	0	5000	0.014099242	0	0	0	0	0	0	0	0	0	0	943	0.002659117	0	0	0	0	503	5
CTNNA3	yes	no	no	1756973	0.985031441	1823672	1	chr10	65912523	67696195	65892523	67716195	10678	1	0	0	0	0	0	0	0	0	2510	0.001407209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73245	0.041064164	0	0	0	0	2857	8
SIRT1	yes	no	no	32333	0.9584692	73734	1	chr10	67884656	67918390	67864656	67938390	4372	0.960245992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0.002312207	0	0	0	0	46	2
MYPN	yes	no	yes	103051	0.973097262	145900	1	chr10	68106117	68212017	68086117	68232017	6359	1	0	0	0	0	0	0	0	0	615	0.005807365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0.003012276	0	0	0	0	238	7
ATOH7	yes	no	no	1518	1	41518	1	chr10	68230595	68232113	68210595	68252113	1518	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
HNRNPH3	yes	no	no	11813	0.983024049	52017	1	chr10	68331174	68343191	68311174	68363191	2329	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	2
DNA2	yes	no	no	54262	0.934633205	98057	1	chr10	68414064	68472121	68394064	68492121	4246	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	808	0.013917357	0	0	0	0	135	2
TET1	yes	yes	no	127174	0.947998509	174150	1	chr10	68560337	68694487	68540337	68714487	9600	1	0	0	0	0	0	0	0	0	729	0.005434215	0	0	0	0	0	0	0	0	0	0	0	0	8567	0.063861349	10107	0.075341036	0	0	0	0	198	6
STOX1	yes	no	no	62963	0.927276476	107901	1	chr10	68827531	68895432	68807531	68915432	3171	0.887489505	0	0	0	0	0	0	0	0	1577	0.023224989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1957	0.028821372	0	0	0	0	116	1
HK1	yes	no	no	128136	0.97146323	171900	1	chr10	69269984	69401884	69249984	69421884	4552	1	0	0	0	0	0	0	0	0	356	0.002699014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	857	0.006497346	0	0	0	0	306	2
NEUROG3	yes	no	no	1724	1	41724	1	chr10	69571698	69573422	69551698	69593422	1558	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
NODAL	yes	no	no	15592	0.973587262	56015	1	chr10	70431936	70447951	70411936	70467951	2055	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0.005807056	0	0	0	0	22	3
PRF1	yes	yes	no	5309	0.98114951	45411	1	chr10	70597348	70602759	70577348	70622759	2515	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2
PCBD1	yes	no	no	6183	0.983770883	46285	1	chr10	70882280	70888565	70862280	70908565	783	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1
SLC29A3	yes	no	no	61576	0.990541149	102164	1	chr10	71319259	71381423	71299259	71401423	2671	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	5.15E-04	0	0	0	0	147	10
CDH23	yes	no	yes	408116	0.973961105	459027	1	chr10	71396920	71815947	71376920	71835947	12348	1	0	0	0	0	0	0	0	0	5568	0.013287927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1100	0.002625129	0	0	0	0	638	19
PSAP	yes	no	no	33751	0.96357096	75027	1	chr10	71816298	71851325	71796298	71871325	2734	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0.00625232	0	0	0	0	80	2
CHST3	yes	no	no	48626	0.989077152	89163	1	chr10	71964395	72013558	71944395	72033558	6931	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0.001078046	0	0	0	0	102	16
MRPS16	yes	no	no	3719	0.965974026	43850	1	chr10	73248843	73252693	73228843	73272693	2473	0.960015528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4
NDST2	yes	no	no	9785	0.989683423	49887	1	chr10	73801911	73811798	73781911	73831798	3742	0.997866667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0.005461717	0	0	0	0	8	2
