gene	ref	coords	benchmark	bench_type	region	cov
DCLRE1C	GRCh38	chr10:14897359-14954432	mrg	smallvar	exon	0.9861061631635197
ECHS1	GRCh38	chr10:133362485-133373354	mrg	smallvar	exon	1
LIPN	GRCh38	chr10:88761406-88778242	mrg	smallvar	exon	1
MRC1	GRCh38	chr10:17809348-17911164	mrg	smallvar	exon	1
PAPSS2	GRCh38	chr10:87659613-87747705	mrg	smallvar	exon	0.9992648860573389
PDSS1	GRCh38	chr10:26697701-26746798	mrg	smallvar	exon	1
PTEN	GRCh38	chr10:87863625-87971930	mrg	smallvar	exon	0.9915353867857982
SPRN	GRCh38	chr10:133420666-133424572	mrg	smallvar	exon	0.9542546385156749
B3GAT3	GRCh38	chr11:62615296-62622154	mrg	smallvar	exon	1
DEAF1	GRCh38	chr11:644233-706715	mrg	smallvar	exon	1
DRD4	GRCh38	chr11:637269-640706	mrg	smallvar	exon	0.7734767025089606
ESRRA	GRCh38	chr11:64305497-64316743	mrg	smallvar	exon	1
FGF3	GRCh38	chr11:69809968-69819416	mrg	smallvar	exon	1
HBG1	GRCh38	chr11:5248269-5249857	mrg	smallvar	exon	1
IFITM3	GRCh38	chr11:319676-327537	mrg	smallvar	exon	1
MDK	GRCh38	chr11:46380756-46383837	mrg	smallvar	exon	1
MUC5B	GRCh38	chr11:1223066-1262172	mrg	smallvar	exon	0.99518530959579
SLC22A12	GRCh38	chr11:64590641-64602353	mrg	smallvar	exon	0.9997271114749625
SPI1	GRCh38	chr11:47354860-47378547	mrg	smallvar	exon	1
TPCN2	GRCh38	chr11:69048932-69136316	mrg	smallvar	exon	1
APOBEC1	GRCh38	chr12:7649400-7665908	mrg	smallvar	exon	1
CD4	GRCh38	chr12:6786858-6820799	mrg	smallvar	exon	1
COX14	GRCh38	chr12:50112082-50120457	mrg	smallvar	exon	1
DPY19L2	GRCh38	chr12:63558913-63668939	mrg	smallvar	exon	1
GDF3	GRCh38	chr12:7689784-7695775	mrg	smallvar	exon	1
GOLGA3	GRCh38	chr12:132768914-132829078	mrg	smallvar	exon	0.9786441019441926
HNF1A	GRCh38	chr12:120978543-121002512	mrg	smallvar	exon	1
HPD	GRCh38	chr12:121839527-121863596	mrg	smallvar	exon	1
KDM2B	GRCh38	chr12:121429096-121581023	mrg	smallvar	exon	0.9972559214326978
NACA	GRCh38	chr12:56712427-56731628	mrg	smallvar	exon	0.9942489851150202
P2RX2	GRCh38	chr12:132618776-132622388	mrg	smallvar	exon	0.9911120745718621
PEX5	GRCh38	chr12:7188685-7218574	mrg	smallvar	exon	1
PGAM5	GRCh38	chr12:132710819-132722734	mrg	smallvar	exon	0.9855365924211744
F7	GRCh38	chr13:113105788-113120685	mrg	smallvar	exon	0.9917386883579055
PROZ	GRCh38	chr13:113158648-113172386	mrg	smallvar	exon	0.9845559845559846
JAG2	GRCh38	chr14:105140982-105168824	mrg	smallvar	exon	1
NDUFB1	GRCh38	chr14:92116122-92121917	mrg	smallvar	exon	1
NDUFAF1	GRCh38	chr15:41387353-41402519	mrg	smallvar	exon	1
PPIP5K1	GRCh38	chr15:43533462-43590253	mrg	smallvar	exon	1
USP8	GRCh38	chr15:50424380-50514421	mrg	smallvar	exon	0.9909276479927421
ANKRD11	GRCh38	chr16:89267630-89490561	mrg	smallvar	exon	0.9971014492753624
AXIN1	GRCh38	chr16:287440-352723	mrg	smallvar	exon	0.9993454069386865
CDH15	GRCh38	chr16:89171748-89195492	mrg	smallvar	exon	0.988078541374474
CLCN7	GRCh38	chr16:1444934-1475084	mrg	smallvar	exon	0.9522189828312277
GCSH	GRCh38	chr16:81081945-81096395	mrg	smallvar	exon	1
GNPTG	GRCh38	chr16:1351931-1364113	mrg	smallvar	exon	1
HBM	GRCh38	chr16:153892-166764	mrg	smallvar	exon	1
HSD11B2	GRCh38	chr16:67430652-67437553	mrg	smallvar	exon	0.9978847170809095
HYDIN	GRCh38	chr16:70802084-71230722	mrg	smallvar	exon	1
LMF1	GRCh38	chr16:853634-981318	mrg	smallvar	exon	0.8131009615384616
MC1R	GRCh38	chr16:89912119-89920977	mrg	smallvar	exon	1
MPG	GRCh38	chr16:77007-85851	mrg	smallvar	exon	1
ORC6	GRCh38	chr16:46689643-46698394	mrg	smallvar	exon	1
PDPK1	GRCh38	chr16:2537979-2603188	mrg	smallvar	exon	0.9989242492155984
PHKG2	GRCh38	chr16:30748293-30761176	mrg	smallvar	exon	1
PKD1	GRCh38	chr16:2088708-2135898	mrg	smallvar	exon	0.9999360081909515
SH2B1	GRCh38	chr16:28846600-28874212	mrg	smallvar	exon	0.9533106960950763
SMG1	GRCh38	chr16:18804860-18926408	mrg	smallvar	exon	1
SSTR5	GRCh38	chr16:1078781-1080142	mrg	smallvar	exon	1
UNKL	GRCh38	chr16:1363205-1414751	mrg	smallvar	exon	0.9924455970233397
VKORC1	GRCh38	chr16:31090842-31095980	mrg	smallvar	exon	1
ABR	GRCh38	chr17:1003518-1229738	mrg	smallvar	exon	0.991335372069317
ALOXE3	GRCh38	chr17:8095900-8119047	mrg	smallvar	exon	1
ATPAF2	GRCh38	chr17:17977409-18039209	mrg	smallvar	exon	1
CANT1	GRCh38	chr17:78991716-79009867	mrg	smallvar	exon	1
ENO3	GRCh38	chr17:4948092-4957131	mrg	smallvar	exon	1
FOXN1	GRCh38	chr17:28506243-28538896	mrg	smallvar	exon	1
FSCN2	GRCh38	chr17:81528396-81537130	mrg	smallvar	exon	0.9849778081256402
G6PC3	GRCh38	chr17:44070735-44076344	mrg	smallvar	exon	1
GIP	GRCh38	chr17:48958554-48968596	mrg	smallvar	exon	1
GP1BA	GRCh38	chr17:4932277-4935023	mrg	smallvar	exon	0.8674363057324841
HES7	GRCh38	chr17:8120592-8124106	mrg	smallvar	exon	1
HOXB8	GRCh38	chr17:48611377-48615292	mrg	smallvar	exon	0.9356025758969642
KRTAP1-1	GRCh38	chr17:41040541-41041450	mrg	smallvar	exon	0.5962596259625963
P2RX5	GRCh38	chr17:3672199-3696240	mrg	smallvar	exon	0.9940895018294399
RNF213	GRCh38	chr17:80260866-80398786	mrg	smallvar	exon	0.9882363043104929
SERPINF2	GRCh38	chr17:1742836-1755268	mrg	smallvar	exon	1
SRR	GRCh38	chr17:2303383-2325260	mrg	smallvar	exon	1
SUZ12	GRCh38	chr17:31937007-32001038	mrg	smallvar	exon	1
TMC6	GRCh38	chr17:78110458-78132407	mrg	smallvar	exon	1
CTDP1	GRCh38	chr18:79679803-79754510	mrg	smallvar	exon	1
GALR1	GRCh38	chr18:77249848-77277900	mrg	smallvar	exon	0.99785966871394
TYMS	GRCh38	chr18:657653-673578	mrg	smallvar	exon	0.9673278879813302
APOC1	GRCh38	chr19:44914247-44919349	mrg	smallvar	exon	1
APOC2	GRCh38	chr19:44946035-44949565	mrg	smallvar	exon	1
APOC4	GRCh38	chr19:44942237-44945496	mrg	smallvar	exon	0.9494290375203915
BAX	GRCh38	chr19:48954815-48961798	mrg	smallvar	exon	1
BLOC1S3	GRCh38	chr19:45178784-45216933	mrg	smallvar	exon	0.9896656534954408
BSG	GRCh38	chr19:571277-583493	mrg	smallvar	exon	1
C3	GRCh38	chr19:6677704-6730562	mrg	smallvar	exon	1
CALR3	GRCh38	chr19:16479061-16496167	mrg	smallvar	exon	1
COX6B1	GRCh38	chr19:35648323-35658782	mrg	smallvar	exon	1
CREB3L3	GRCh38	chr19:4153631-4173054	mrg	smallvar	exon	1
CYP4F12	GRCh38	chr19:15673018-15697174	mrg	smallvar	exon	1
CYP4F3	GRCh38	chr19:15640897-15662825	mrg	smallvar	exon	0.9919392523364486
DMPK	GRCh38	chr19:45769709-45782552	mrg	smallvar	exon	1
ETFB	GRCh38	chr19:51345169-51366388	mrg	smallvar	exon	0.9848785324739713
ETHE1	GRCh38	chr19:43506719-43527230	mrg	smallvar	exon	0.9485213581599123
FKBP8	GRCh38	chr19:18531751-18544077	mrg	smallvar	exon	1
FUT1	GRCh38	chr19:48748011-48755390	mrg	smallvar	exon	1
GIPC3	GRCh38	chr19:3585478-3593541	mrg	smallvar	exon	0.7599909173478656
GP6	GRCh38	chr19:55013705-55038264	mrg	smallvar	exon	1
GPI	GRCh38	chr19:34359480-34402413	mrg	smallvar	exon	1
HCN2	GRCh38	chr19:589881-617159	mrg	smallvar	exon	1
IFNL3	GRCh38	chr19:39243553-39245129	mrg	smallvar	exon	1
INSL3	GRCh38	chr19:17816512-17821574	mrg	smallvar	exon	1
KISS1R	GRCh38	chr19:917287-921005	mrg	smallvar	exon	1
KLK4	GRCh38	chr19:50906352-50910738	mrg	smallvar	exon	0.6289120715350224
LMNB2	GRCh38	chr19:2427638-2456959	mrg	smallvar	exon	0.9811769796624837
MBOAT7	GRCh38	chr19:54173412-54189882	mrg	smallvar	exon	1
MYO9B	GRCh38	chr19:17075781-17214537	mrg	smallvar	exon	1
NLRP12	GRCh38	chr19:53793741-53824394	mrg	smallvar	exon	1
NLRP2	GRCh38	chr19:54953130-55001142	mrg	smallvar	exon	0.9209260908281389
NLRP7	GRCh38	chr19:54923509-54966312	mrg	smallvar	exon	0.9610738255033557
PNKP	GRCh38	chr19:49859882-49878351	mrg	smallvar	exon	1
PRKCG	GRCh38	chr19:53879190-53907652	mrg	smallvar	exon	1
RFX2	GRCh38	chr19:5993164-6199572	mrg	smallvar	exon	1
SBK3	GRCh38	chr19:55540656-55545543	mrg	smallvar	exon	1
SLC27A5	GRCh38	chr19:58479512-58512413	mrg	smallvar	exon	1
STK11	GRCh38	chr19:1177558-1228431	mrg	smallvar	exon	0.9853792263173926
STXBP2	GRCh38	chr19:7636881-7647873	mrg	smallvar	exon	1
TBXA2R	GRCh38	chr19:3594507-3606875	mrg	smallvar	exon	1
TCF3	GRCh38	chr19:1609290-1652615	mrg	smallvar	exon	0.9985352584222641
TNNI3	GRCh38	chr19:55151767-55157773	mrg	smallvar	exon	0.6826347305389222
TNNT1	GRCh38	chr19:55132698-55149206	mrg	smallvar	exon	0.9729546991210277
TRMT1	GRCh38	chr19:13104902-13117567	mrg	smallvar	exon	0.9935064935064936
TRPM4	GRCh38	chr19:49157741-49211836	mrg	smallvar	exon	0.9951094550535631
TYK2	GRCh38	chr19:10350529-10380572	mrg	smallvar	exon	1
ZNF419	GRCh38	chr19:57487711-57496097	mrg	smallvar	exon	0.9928685292390301
ABCG8	GRCh38	chr2:43831942-43882988	mrg	smallvar	exon	0.9951165062090135
ANO7	GRCh38	chr2:241188509-241225377	mrg	smallvar	exon	0.9846453814282232
CASP10	GRCh38	chr2:201182898-201229406	mrg	smallvar	exon	1
D2HGDH	GRCh38	chr2:241734602-241768816	mrg	smallvar	exon	1
KLF11	GRCh38	chr2:10042849-10054836	mrg	smallvar	exon	1
MLPH	GRCh38	chr2:237485428-237555322	mrg	smallvar	exon	0.9890496675791943
MOGS	GRCh38	chr2:74461057-74465410	mrg	smallvar	exon	1
PCBP1	GRCh38	chr2:70087477-70089203	mrg	smallvar	exon	0.899188876013905
PXDN	GRCh38	chr2:1631887-1744852	mrg	smallvar	exon	0.9805710921401236
RGPD3	GRCh38	chr2:106391290-106468413	mrg	smallvar	exon	0.9958286985539488
RPIA	GRCh38	chr2:88691673-88750929	mrg	smallvar	exon	1
SNTG2	GRCh38	chr2:950849-1367613	mrg	smallvar	exon	1
TPO	GRCh38	chr2:1374066-1543711	mrg	smallvar	exon	1
CHRNA4	GRCh38	chr20:63343223-63378401	mrg	smallvar	exon	0.9488972565895643
EEF1A2	GRCh38	chr20:63488014-63499185	mrg	smallvar	exon	0.9286118980169972
MYT1	GRCh38	chr20:64102394-64242253	mrg	smallvar	exon	1
OPRL1	GRCh38	chr20:64080082-64100643	mrg	smallvar	exon	0.9952814838919622
PLTP	GRCh38	chr20:45898621-45912155	mrg	smallvar	exon	1
PTK6	GRCh38	chr20:63528001-63537376	mrg	smallvar	exon	1
SEMG1	GRCh38	chr20:45207033-45209768	mrg	smallvar	exon	0.6942557134033354
CBR3	GRCh38	chr21:36135079-36146562	mrg	smallvar	exon	1
CBS	GRCh38	chr21:43053191-43076943	mrg	smallvar	exon	1
COL18A1	GRCh38	chr21:45405165-45513720	mrg	smallvar	exon	0.9861813279406808
COL6A1	GRCh38	chr21:45981769-46005050	mrg	smallvar	exon	0.9736084452975048
CRYAA	GRCh38	chr21:43169008-43172805	mrg	smallvar	exon	1
DNMT3L	GRCh38	chr21:44246339-44262216	mrg	smallvar	exon	0.982642237222758
KCNE1	GRCh38	chr21:34446688-34512210	mrg	smallvar	exon	1
NDUFV3	GRCh38	chr21:42879644-42913304	mrg	smallvar	exon	0.8682110181039517
TRAPPC10	GRCh38	chr21:44012309-44106552	mrg	smallvar	exon	1
U2AF1	GRCh38	chr21:43092956-43107587	mrg	smallvar	exon	1
A4GALT	GRCh38	chr22:42692121-42721298	mrg	smallvar	exon	1
APOBEC3H	GRCh38	chr22:39097224-39104067	mrg	smallvar	exon	0.9781917310313494
CYB5R3	GRCh38	chr22:42617840-42649392	mrg	smallvar	exon	0.9401419812842853
MLC1	GRCh38	chr22:50059391-50085426	mrg	smallvar	exon	0.9893688828889639
NDUFA6	GRCh38	chr22:42085526-42090884	mrg	smallvar	exon	1
TTLL1	GRCh38	chr22:43039516-43089419	mrg	smallvar	exon	1
TUBGCP6	GRCh38	chr22:50217689-50245023	mrg	smallvar	exon	1
BFSP2	GRCh38	chr3:133400056-133475222	mrg	smallvar	exon	1
CHL1	GRCh38	chr3:196763-409417	mrg	smallvar	exon	1
DAZL	GRCh38	chr3:16586792-16670306	mrg	smallvar	exon	1
EIF2B5	GRCh38	chr3:184135038-184146127	mrg	smallvar	exon	1
HYAL1	GRCh38	chr3:50299890-50312381	mrg	smallvar	exon	0.9847755367599219
KNG1	GRCh38	chr3:186717348-186744410	mrg	smallvar	exon	1
LZTFL1	GRCh38	chr3:45823316-45916042	mrg	smallvar	exon	1
MST1R	GRCh38	chr3:49887002-49903873	mrg	smallvar	exon	1
PCCB	GRCh38	chr3:136250340-136337896	mrg	smallvar	exon	1
RHOA	GRCh38	chr3:49359145-49412998	mrg	smallvar	exon	1
RPN1	GRCh38	chr3:128619969-128681075	mrg	smallvar	exon	1
TM4SF19	GRCh38	chr3:196319342-196338503	mrg	smallvar	exon	1
AFP	GRCh38	chr4:73431138-73456174	mrg	smallvar	exon	1
DOK7	GRCh38	chr4:3463306-3501473	mrg	smallvar	exon	0.9879353516958798
DSPP	GRCh38	chr4:87608529-87616873	mrg	smallvar	exon	0.4791955617198336
FAT1	GRCh38	chr4:186587794-186726722	mrg	smallvar	exon	1
FGFRL1	GRCh38	chr4:1009936-1026898	mrg	smallvar	exon	0.8397450753186558
GAK	GRCh38	chr4:849276-932373	mrg	smallvar	exon	0.9815554287887431
HMX1	GRCh38	chr4:8846076-8871839	mrg	smallvar	exon	1
PDE6B	GRCh38	chr4:625584-670782	mrg	smallvar	exon	0.9873958121569425
PDLIM3	GRCh38	chr4:185500660-185535507	mrg	smallvar	exon	1
RNF212	GRCh38	chr4:1056250-1113564	mrg	smallvar	exon	1
UGT2A1	GRCh38	chr4:69588417-69653249	mrg	smallvar	exon	1
UGT2A2	GRCh38	chr4:69589309-69639642	mrg	smallvar	exon	1
UVSSA	GRCh38	chr4:1347208-1395989	mrg	smallvar	exon	0.897211660329531
ZNF141	GRCh38	chr4:337814-384868	mrg	smallvar	exon	0.9947790015734516
FLT4	GRCh38	chr5:180601506-180649624	mrg	smallvar	exon	0.9516204062645371
LIX1	GRCh38	chr5:97091867-97142753	mrg	smallvar	exon	0.9917531258313381
MARVELD2	GRCh38	chr5:69415065-69444330	mrg	smallvar	exon	0.9833561331509348
MYOT	GRCh38	chr5:137867858-137887851	mrg	smallvar	exon	1
NPM1	GRCh38	chr5:171387116-171411137	mrg	smallvar	exon	1
PCDHA10	GRCh38	chr5:140855883-141012347	mrg	smallvar	exon	0.6385514018691589
SAR1B	GRCh38	chr5:134601149-134649271	mrg	smallvar	exon	0.9828480830210435
SLC6A18	GRCh38	chr5:1225381-1246189	mrg	smallvar	exon	1
SLC6A3	GRCh38	chr5:1392794-1445440	mrg	smallvar	exon	1
SMN1	GRCh38	chr5:70925030-70953942	mrg	smallvar	exon	1
TERT	GRCh38	chr5:1253147-1295068	mrg	smallvar	exon	0.9919429097605893
TTC37	GRCh38	chr5:95461755-95554977	mrg	smallvar	exon	1
PCMT1	GRCh38	chr6:149749443-149811420	mrg	smallvar	exon	1
SEC63	GRCh38	chr6:107867756-107958208	mrg	smallvar	exon	0.9943828990482134
SLC17A5	GRCh38	chr6:73593379-73653992	mrg	smallvar	exon	1
SLC22A1	GRCh38	chr6:160121815-160158718	mrg	smallvar	exon	1
SMOC2	GRCh38	chr6:168441151-168673445	mrg	smallvar	exon	1
THBS2	GRCh38	chr6:169215780-169254044	mrg	smallvar	exon	1
BRAF	GRCh38	chr7:140719327-140924928	mrg	smallvar	exon	0.9962213032938828
CLIP2	GRCh38	chr7:74289407-74405935	mrg	smallvar	exon	0.9993717014325207
GTF2I	GRCh38	chr7:74650231-74760692	mrg	smallvar	exon	0.9906597774244833
GTF2IRD2	GRCh38	chr7:74796144-74851551	mrg	smallvar	exon	0.9980069755854509
GUSB	GRCh38	chr7:65960684-65982215	mrg	smallvar	exon	1
KLF14	GRCh38	chr7:130731235-130734176	mrg	smallvar	exon	0.9891193471608296
KMT2C	GRCh38	chr7:152134922-152436005	mrg	smallvar	exon	0.9996870925684485
LAMB1	GRCh38	chr7:107923799-108003187	mrg	smallvar	exon	1
NCF1	GRCh38	chr7:74773962-74789376	mrg	smallvar	exon	1
NOD1	GRCh38	chr7:30424527-30478784	mrg	smallvar	exon	1
PPIA	GRCh38	chr7:44796680-44824564	mrg	smallvar	exon	1
PSPH	GRCh38	chr7:56011051-56051604	mrg	smallvar	exon	1
SLC29A4	GRCh38	chr7:5274369-5306870	mrg	smallvar	exon	0.9952969631819404
ZAN	GRCh38	chr7:100733595-100797797	mrg	smallvar	exon	0.8706877609316633
ARHGEF10	GRCh38	chr8:1823926-1958641	mrg	smallvar	exon	1
CDH17	GRCh38	chr8:94127162-94217303	mrg	smallvar	exon	1
GPIHBP1	GRCh38	chr8:143213218-143217170	mrg	smallvar	exon	0.9822458943630714
IKBKB	GRCh38	chr8:42271302-42332653	mrg	smallvar	exon	0.9974235657849536
IMPA1	GRCh38	chr8:81656914-81686331	mrg	smallvar	exon	1
MAFA	GRCh38	chr8:143419182-143430732	mrg	smallvar	exon	1
FXN	GRCh38	chr9:69035563-69100178	mrg	smallvar	exon	1
GALT	GRCh38	chr9:34638133-34651035	mrg	smallvar	exon	1
GRIN1	GRCh38	chr9:137139154-137168756	mrg	smallvar	exon	0.9904408617491797
INPP5E	GRCh38	chr9:136428619-136439845	mrg	smallvar	exon	0.9694746110948048
KCNV2	GRCh38	chr9:2717510-2730037	mrg	smallvar	exon	1
MAN1B1	GRCh38	chr9:137086985-137109183	mrg	smallvar	exon	1
MUSK	GRCh38	chr9:110668779-110806558	mrg	smallvar	exon	1
PKN3	GRCh38	chr9:128702503-128720916	mrg	smallvar	exon	1
SLC27A4	GRCh38	chr9:128340527-128361470	mrg	smallvar	exon	1
SOHLH1	GRCh38	chr9:135693407-135704498	mrg	smallvar	exon	1
TJP2	GRCh38	chr9:69121264-69274615	mrg	smallvar	exon	1
AGL	GRCh38	chr1:99850361-99924023	mrg	SV	exon	1
AGRN	GRCh38	chr1:1020120-1056118	mrg	SV	exon	0.9891632373113854
CD247	GRCh38	chr1:167430640-167518610	mrg	SV	exon	0.9814713896457765
CNR2	GRCh38	chr1:23870515-23913362	mrg	SV	exon	1
ESPN	GRCh38	chr1:6424776-6461367	mrg	SV	exon	1
EXTL2	GRCh38	chr1:100872372-100895179	mrg	SV	exon	1
FCGR2B	GRCh38	chr1:161663147-161678654	mrg	SV	exon	1
FCGR3A	GRCh38	chr1:161541759-161550737	mrg	SV	exon	1
FLAD1	GRCh38	chr1:154983338-154993111	mrg	SV	exon	1
FLG	GRCh38	chr1:152302165-152325239	mrg	SV	exon	0.14480062548866302
HCN3	GRCh38	chr1:155277463-155289848	mrg	SV	exon	1
HMGCL	GRCh38	chr1:23801885-23838620	mrg	SV	exon	1
KISS1	GRCh38	chr1:204190341-204196491	mrg	SV	exon	1
LBR	GRCh38	chr1:225401502-225428925	mrg	SV	exon	1
LRIG2	GRCh38	chr1:113073198-113132260	mrg	SV	exon	1
MASP2	GRCh38	chr1:11026523-11047239	mrg	SV	exon	1
MUC1	GRCh38	chr1:155185824-155192916	mrg	SV	exon	0.861301775147929
NPPA	GRCh38	chr1:11845709-11848345	mrg	SV	exon	1
PIGV	GRCh38	chr1:26787054-26800659	mrg	SV	exon	1
PRG4	GRCh38	chr1:186296279-186314567	mrg	SV	exon	1
PTPRC	GRCh38	chr1:198638457-198757476	mrg	SV	exon	1
RHCE	GRCh38	chr1:25362249-25430192	mrg	SV	exon	1
RPL22	GRCh38	chr1:6185020-6209389	mrg	SV	exon	1
VANGL1	GRCh38	chr1:115641970-115698224	mrg	SV	exon	1
BTRC	GRCh38	chr10:101354033-101557321	mrg	SV	exon	1
DCLRE1C	GRCh38	chr10:14897359-14954432	mrg	SV	exon	1
ECHS1	GRCh38	chr10:133362485-133373354	mrg	SV	exon	1
LIPN	GRCh38	chr10:88761406-88778242	mrg	SV	exon	1
MRC1	GRCh38	chr10:17809348-17911164	mrg	SV	exon	1
PAPSS2	GRCh38	chr10:87659613-87747705	mrg	SV	exon	1
PDSS1	GRCh38	chr10:26697701-26746798	mrg	SV	exon	1
PTEN	GRCh38	chr10:87863625-87971930	mrg	SV	exon	1
SPRN	GRCh38	chr10:133420666-133424572	mrg	SV	exon	0.9350607805502239
B3GAT3	GRCh38	chr11:62615296-62622154	mrg	SV	exon	1
DEAF1	GRCh38	chr11:644233-706715	mrg	SV	exon	1
DRD4	GRCh38	chr11:637269-640706	mrg	SV	exon	1
ESRRA	GRCh38	chr11:64305497-64316743	mrg	SV	exon	1
FGF3	GRCh38	chr11:69809968-69819416	mrg	SV	exon	1
HBG1	GRCh38	chr11:5248269-5249857	mrg	SV	exon	1
IFITM3	GRCh38	chr11:319676-327537	mrg	SV	exon	1
MDK	GRCh38	chr11:46380756-46383837	mrg	SV	exon	1
MUC5B	GRCh38	chr11:1223066-1262172	mrg	SV	exon	1
SLC22A12	GRCh38	chr11:64590641-64602353	mrg	SV	exon	1
SPI1	GRCh38	chr11:47354860-47378547	mrg	SV	exon	1
TPCN2	GRCh38	chr11:69048932-69136316	mrg	SV	exon	1
APOBEC1	GRCh38	chr12:7649400-7665908	mrg	SV	exon	1
CD4	GRCh38	chr12:6786858-6820799	mrg	SV	exon	1
COX14	GRCh38	chr12:50112082-50120457	mrg	SV	exon	1
DPY19L2	GRCh38	chr12:63558913-63668939	mrg	SV	exon	1
GDF3	GRCh38	chr12:7689784-7695775	mrg	SV	exon	1
GOLGA3	GRCh38	chr12:132768914-132829078	mrg	SV	exon	0.9818676337262012
HNF1A	GRCh38	chr12:120978543-121002512	mrg	SV	exon	1
HPD	GRCh38	chr12:121839527-121863596	mrg	SV	exon	1
KDM2B	GRCh38	chr12:121429096-121581023	mrg	SV	exon	1
NACA	GRCh38	chr12:56712427-56731628	mrg	SV	exon	1
P2RX2	GRCh38	chr12:132618776-132622388	mrg	SV	exon	1
PEX5	GRCh38	chr12:7188685-7218574	mrg	SV	exon	0.9607030759573132
PGAM5	GRCh38	chr12:132710819-132722734	mrg	SV	exon	1
F7	GRCh38	chr13:113105788-113120685	mrg	SV	exon	0.9917386883579055
PROZ	GRCh38	chr13:113158648-113172386	mrg	SV	exon	0.9845559845559846
JAG2	GRCh38	chr14:105140982-105168824	mrg	SV	exon	1
NDUFB1	GRCh38	chr14:92116122-92121917	mrg	SV	exon	1
NDUFAF1	GRCh38	chr15:41387353-41402519	mrg	SV	exon	1
PPIP5K1	GRCh38	chr15:43533462-43590253	mrg	SV	exon	1
USP8	GRCh38	chr15:50424380-50514421	mrg	SV	exon	1
ANKRD11	GRCh38	chr16:89267630-89490561	mrg	SV	exon	1
AXIN1	GRCh38	chr16:287440-352723	mrg	SV	exon	1
CDH15	GRCh38	chr16:89171748-89195492	mrg	SV	exon	1
CLCN7	GRCh38	chr16:1444934-1475084	mrg	SV	exon	0.9622610949141561
GCSH	GRCh38	chr16:81081945-81096395	mrg	SV	exon	1
GNPTG	GRCh38	chr16:1351931-1364113	mrg	SV	exon	1
HBM	GRCh38	chr16:153892-166764	mrg	SV	exon	1
HSD11B2	GRCh38	chr16:67430652-67437553	mrg	SV	exon	1
HYDIN	GRCh38	chr16:70802084-71230722	mrg	SV	exon	1
LMF1	GRCh38	chr16:853634-981318	mrg	SV	exon	0.8131009615384616
MC1R	GRCh38	chr16:89912119-89920977	mrg	SV	exon	0.9717414341222183
MPG	GRCh38	chr16:77007-85851	mrg	SV	exon	1
ORC6	GRCh38	chr16:46689643-46698394	mrg	SV	exon	1
PDPK1	GRCh38	chr16:2537979-2603188	mrg	SV	exon	1
PHKG2	GRCh38	chr16:30748293-30761176	mrg	SV	exon	1
PKD1	GRCh38	chr16:2088708-2135898	mrg	SV	exon	1
SH2B1	GRCh38	chr16:28846600-28874212	mrg	SV	exon	1
SMG1	GRCh38	chr16:18804860-18926408	mrg	SV	exon	1
SSTR5	GRCh38	chr16:1078781-1080142	mrg	SV	exon	1
UNKL	GRCh38	chr16:1363205-1414751	mrg	SV	exon	1
VKORC1	GRCh38	chr16:31090842-31095980	mrg	SV	exon	1
ABR	GRCh38	chr17:1003518-1229738	mrg	SV	exon	1
ALOXE3	GRCh38	chr17:8095900-8119047	mrg	SV	exon	1
ATPAF2	GRCh38	chr17:17977409-18039209	mrg	SV	exon	1
CANT1	GRCh38	chr17:78991716-79009867	mrg	SV	exon	1
ENO3	GRCh38	chr17:4948092-4957131	mrg	SV	exon	1
FOXN1	GRCh38	chr17:28506243-28538896	mrg	SV	exon	1
FSCN2	GRCh38	chr17:81528396-81537130	mrg	SV	exon	0.9849778081256402
G6PC3	GRCh38	chr17:44070735-44076344	mrg	SV	exon	1
GIP	GRCh38	chr17:48958554-48968596	mrg	SV	exon	1
GP1BA	GRCh38	chr17:4932277-4935023	mrg	SV	exon	1
HES7	GRCh38	chr17:8120592-8124106	mrg	SV	exon	1
HOXB8	GRCh38	chr17:48611377-48615292	mrg	SV	exon	1
KRTAP1-1	GRCh38	chr17:41040541-41041450	mrg	SV	exon	1
P2RX5	GRCh38	chr17:3672199-3696240	mrg	SV	exon	0.9940895018294399
RNF213	GRCh38	chr17:80260866-80398786	mrg	SV	exon	0.9933453546281985
SERPINF2	GRCh38	chr17:1742836-1755268	mrg	SV	exon	1
SRR	GRCh38	chr17:2303383-2325260	mrg	SV	exon	1
SUZ12	GRCh38	chr17:31937007-32001038	mrg	SV	exon	1
TMC6	GRCh38	chr17:78110458-78132407	mrg	SV	exon	1
CTDP1	GRCh38	chr18:79679803-79754510	mrg	SV	exon	1
GALR1	GRCh38	chr18:77249848-77277900	mrg	SV	exon	1
TYMS	GRCh38	chr18:657653-673578	mrg	SV	exon	1
APOC1	GRCh38	chr19:44914247-44919349	mrg	SV	exon	1
APOC2	GRCh38	chr19:44946035-44949565	mrg	SV	exon	1
APOC4	GRCh38	chr19:44942237-44945496	mrg	SV	exon	1
BAX	GRCh38	chr19:48954815-48961798	mrg	SV	exon	1
BLOC1S3	GRCh38	chr19:45178784-45216933	mrg	SV	exon	1
BSG	GRCh38	chr19:571277-583493	mrg	SV	exon	1
C3	GRCh38	chr19:6677704-6730562	mrg	SV	exon	1
CALR3	GRCh38	chr19:16479061-16496167	mrg	SV	exon	1
COX6B1	GRCh38	chr19:35648323-35658782	mrg	SV	exon	1
