gene	ref	coords	in_mrg	benchmark	region	cov	vars	svs
ROBO3	GRCh37	11:124735282-124751366	FALSE	mrg	exon	0	0	0
ROBO3	GRCh37	11:124735282-124751366	FALSE	hifi	gene	1	NA	NA
HEPACAM	GRCh37	11:124789089-124806308	FALSE	v4	gene	0.986178059	12	NA
HEPACAM	GRCh37	11:124789089-124806308	FALSE	v4	exon	0.970236439	2	NA
HEPACAM	GRCh37	11:124789089-124806308	FALSE	mrg	gene	0	0	0
HEPACAM	GRCh37	11:124789089-124806308	FALSE	mrg	exon	0	0	0
HEPACAM	GRCh37	11:124789089-124806308	FALSE	hifi	gene	1	NA	NA
STT3A	GRCh37	11:125461607-125495110	FALSE	v4	gene	0.980539056	55	NA
STT3A	GRCh37	11:125461607-125495110	FALSE	v4	exon	0.962610763	4	NA
STT3A	GRCh37	11:125461607-125495110	FALSE	mrg	gene	0	0	0
STT3A	GRCh37	11:125461607-125495110	FALSE	mrg	exon	0	0	0
STT3A	GRCh37	11:125461607-125495110	FALSE	hifi	gene	1	NA	NA
HYLS1	GRCh37	11:125753509-125770543	FALSE	v4	gene	0.978278737	38	NA
HYLS1	GRCh37	11:125753509-125770543	FALSE	v4	exon	1	3	NA
HYLS1	GRCh37	11:125753509-125770543	FALSE	mrg	gene	0	0	0
HYLS1	GRCh37	11:125753509-125770543	FALSE	mrg	exon	0	0	0
HYLS1	GRCh37	11:125753509-125770543	FALSE	hifi	gene	1	NA	NA
DDX25	GRCh37	11:125773271-125793158	FALSE	v4	gene	0.9750088	54	NA
DDX25	GRCh37	11:125773271-125793158	FALSE	v4	exon	0.981907895	1	NA
DDX25	GRCh37	11:125773271-125793158	FALSE	mrg	gene	0	0	0
DDX25	GRCh37	11:125773271-125793158	FALSE	mrg	exon	0	0	0
DDX25	GRCh37	11:125773271-125793158	FALSE	hifi	gene	1	NA	NA
CDON	GRCh37	11:125825691-125933230	FALSE	v4	gene	0.983987205	203	NA
CDON	GRCh37	11:125825691-125933230	FALSE	v4	exon	1	18	NA
CDON	GRCh37	11:125825691-125933230	FALSE	mrg	gene	0	0	0
CDON	GRCh37	11:125825691-125933230	FALSE	mrg	exon	0	0	0
CDON	GRCh37	11:125825691-125933230	FALSE	hifi	gene	1	NA	NA
FOXRED1	GRCh37	11:126138950-126148026	FALSE	v4	gene	0.963089467	11	NA
FOXRED1	GRCh37	11:126138950-126148026	FALSE	v4	exon	0.932108218	3	NA
FOXRED1	GRCh37	11:126138950-126148026	FALSE	mrg	gene	0	0	0
FOXRED1	GRCh37	11:126138950-126148026	FALSE	mrg	exon	0	0	0
FOXRED1	GRCh37	11:126138950-126148026	FALSE	hifi	gene	1	NA	NA
TIRAP	GRCh37	11:126152960-126168740	FALSE	v4	gene	0.96869455	20	NA
TIRAP	GRCh37	11:126152960-126168740	FALSE	v4	exon	1	6	NA
TIRAP	GRCh37	11:126152960-126168740	FALSE	mrg	gene	0	0	0
TIRAP	GRCh37	11:126152960-126168740	FALSE	mrg	exon	0	0	0
TIRAP	GRCh37	11:126152960-126168740	FALSE	hifi	gene	1	NA	NA
ST3GAL4	GRCh37	11:126225535-126310239	FALSE	v4	gene	0.94904609	108	NA
ST3GAL4	GRCh37	11:126225535-126310239	FALSE	v4	exon	1	7	NA
ST3GAL4	GRCh37	11:126225535-126310239	FALSE	mrg	gene	0	0	0
ST3GAL4	GRCh37	11:126225535-126310239	FALSE	mrg	exon	0	0	0
ST3GAL4	GRCh37	11:126225535-126310239	FALSE	hifi	gene	1	NA	NA
KIRREL3	GRCh37	11:126293254-126873355	FALSE	v4	gene	0.97571285	1086	NA
KIRREL3	GRCh37	11:126293254-126873355	FALSE	v4	exon	0.963648993	5	NA
KIRREL3	GRCh37	11:126293254-126873355	FALSE	mrg	gene	0	0	0
KIRREL3	GRCh37	11:126293254-126873355	FALSE	mrg	exon	0	0	0
KIRREL3	GRCh37	11:126293254-126873355	FALSE	hifi	gene	1	NA	NA
FLI1	GRCh37	11:128556430-128683162	FALSE	v4	gene	0.977914023	137	NA
FLI1	GRCh37	11:128556430-128683162	FALSE	v4	exon	0.805733847	0	NA
FLI1	GRCh37	11:128556430-128683162	FALSE	mrg	gene	0	0	0
FLI1	GRCh37	11:128556430-128683162	FALSE	mrg	exon	0	0	0
FLI1	GRCh37	11:128556430-128683162	FALSE	hifi	gene	1	NA	NA
KCNJ1	GRCh37	11:128706210-128737268	FALSE	v4	gene	0.994912744	5	NA
KCNJ1	GRCh37	11:128706210-128737268	FALSE	v4	exon	1	1	NA
KCNJ1	GRCh37	11:128706210-128737268	FALSE	mrg	gene	0	0	0
KCNJ1	GRCh37	11:128706210-128737268	FALSE	mrg	exon	0	0	0
KCNJ1	GRCh37	11:128706210-128737268	FALSE	hifi	gene	1	NA	NA
KCNJ5	GRCh37	11:128761251-128790930	FALSE	v4	gene	0.960274942	62	NA
KCNJ5	GRCh37	11:128761251-128790930	FALSE	v4	exon	0.940540541	26	NA
KCNJ5	GRCh37	11:128761251-128790930	FALSE	mrg	gene	0	0	0
KCNJ5	GRCh37	11:128761251-128790930	FALSE	mrg	exon	0	0	0
KCNJ5	GRCh37	11:128761251-128790930	FALSE	hifi	gene	1	NA	NA
BARX2	GRCh37	11:129245835-129322171	FALSE	v4	gene	0.991026514	146	NA
BARX2	GRCh37	11:129245835-129322171	FALSE	v4	exon	1	3	NA
BARX2	GRCh37	11:129245835-129322171	FALSE	mrg	gene	0	0	0
BARX2	GRCh37	11:129245835-129322171	FALSE	mrg	exon	0	0	0
BARX2	GRCh37	11:129245835-129322171	FALSE	hifi	gene	1	NA	NA
ST14	GRCh37	11:130029457-130080271	FALSE	v4	gene	0.965895226	88	NA
ST14	GRCh37	11:130029457-130080271	FALSE	v4	exon	0.982954545	3	NA
ST14	GRCh37	11:130029457-130080271	FALSE	mrg	gene	0	0	0
ST14	GRCh37	11:130029457-130080271	FALSE	mrg	exon	0	0	0
ST14	GRCh37	11:130029457-130080271	FALSE	hifi	gene	1	NA	NA
OPCML	GRCh37	11:132284871-133402414	FALSE	v4	gene	0.979607943	1396	NA
OPCML	GRCh37	11:132284871-133402414	FALSE	v4	exon	1	2	NA
OPCML	GRCh37	11:132284871-133402414	FALSE	mrg	gene	0	0	0
OPCML	GRCh37	11:132284871-133402414	FALSE	mrg	exon	0	0	0
OPCML	GRCh37	11:132284871-133402414	FALSE	hifi	gene	1	NA	NA
JAM3	GRCh37	11:133938820-134021896	FALSE	v4	gene	0.970713563	14	NA
JAM3	GRCh37	11:133938820-134021896	FALSE	v4	exon	1	0	NA
JAM3	GRCh37	11:133938820-134021896	FALSE	mrg	gene	0	0	0
JAM3	GRCh37	11:133938820-134021896	FALSE	mrg	exon	0	0	0
JAM3	GRCh37	11:133938820-134021896	FALSE	hifi	gene	1	NA	NA
ACAD8	GRCh37	11:134123389-134135749	FALSE	v4	gene	1	18	NA
ACAD8	GRCh37	11:134123389-134135749	FALSE	v4	exon	1	0	NA
ACAD8	GRCh37	11:134123389-134135749	FALSE	mrg	gene	0	0	0
ACAD8	GRCh37	11:134123389-134135749	FALSE	mrg	exon	0	0	0
ACAD8	GRCh37	11:134123389-134135749	FALSE	hifi	gene	1	NA	NA
B3GAT1	GRCh37	11:134248398-134281812	FALSE	v4	gene	0.944993117	21	NA
B3GAT1	GRCh37	11:134248398-134281812	FALSE	v4	exon	0.991376169	4	NA
B3GAT1	GRCh37	11:134248398-134281812	FALSE	mrg	gene	0	0	0
B3GAT1	GRCh37	11:134248398-134281812	FALSE	mrg	exon	0	0	0
B3GAT1	GRCh37	11:134248398-134281812	FALSE	hifi	gene	1	NA	NA
SLC6A12	GRCh37	12:299243-323736	FALSE	v4	gene	0.932837954	28	NA
SLC6A12	GRCh37	12:299243-323736	FALSE	v4	exon	0.90495474	1	NA
SLC6A12	GRCh37	12:299243-323736	FALSE	mrg	gene	0	0	0
SLC6A12	GRCh37	12:299243-323736	FALSE	mrg	exon	0	0	0
SLC6A12	GRCh37	12:299243-323736	FALSE	hifi	gene	1	NA	NA
SLC6A13	GRCh37	12:329789-372039	FALSE	v4	gene	0.97043787	93	NA
SLC6A13	GRCh37	12:329789-372039	FALSE	v4	exon	1	1	NA
SLC6A13	GRCh37	12:329789-372039	FALSE	mrg	gene	0	0	0
SLC6A13	GRCh37	12:329789-372039	FALSE	mrg	exon	0	0	0
SLC6A13	GRCh37	12:329789-372039	FALSE	hifi	gene	1	NA	NA
KDM5A	GRCh37	12:389295-498620	FALSE	v4	gene	0.969046421	173	NA
KDM5A	GRCh37	12:389295-498620	FALSE	v4	exon	0.987424313	5	NA
KDM5A	GRCh37	12:389295-498620	FALSE	mrg	gene	0	0	0
KDM5A	GRCh37	12:389295-498620	FALSE	mrg	exon	0	0	0
KDM5A	GRCh37	12:389295-498620	FALSE	hifi	gene	1	NA	NA
B4GALNT3	GRCh37	12:569530-672675	FALSE	v4	gene	0.901478501	183	NA
B4GALNT3	GRCh37	12:569530-672675	FALSE	v4	exon	0.981180666	12	NA
B4GALNT3	GRCh37	12:569530-672675	FALSE	mrg	gene	0	0	0
B4GALNT3	GRCh37	12:569530-672675	FALSE	mrg	exon	0	0	0
B4GALNT3	GRCh37	12:569530-672675	FALSE	hifi	gene	1	NA	NA
WNK1	GRCh37	12:861759-1020618	FALSE	v4	gene	0.965466231	215	NA
WNK1	GRCh37	12:861759-1020618	FALSE	v4	exon	0.998140227	13	NA
WNK1	GRCh37	12:861759-1020618	FALSE	mrg	gene	0	0	0
WNK1	GRCh37	12:861759-1020618	FALSE	mrg	exon	0	0	0
WNK1	GRCh37	12:861759-1020618	FALSE	hifi	gene	1	NA	NA
RAD52	GRCh37	12:1021243-1099219	FALSE	v4	gene	0.935339079	166	NA
RAD52	GRCh37	12:1021243-1099219	FALSE	v4	exon	0.881033311	6	NA
RAD52	GRCh37	12:1021243-1099219	FALSE	mrg	gene	0	0	0
RAD52	GRCh37	12:1021243-1099219	FALSE	mrg	exon	0	0	0
RAD52	GRCh37	12:1021243-1099219	FALSE	hifi	gene	1	NA	NA
ERC1	GRCh37	12:1099675-1605099	FALSE	v4	gene	0.934298727	933	NA
ERC1	GRCh37	12:1099675-1605099	FALSE	v4	exon	0.935705236	14	NA
ERC1	GRCh37	12:1099675-1605099	FALSE	mrg	gene	0	0	0
ERC1	GRCh37	12:1099675-1605099	FALSE	mrg	exon	0	0	0
ERC1	GRCh37	12:1099675-1605099	FALSE	hifi	gene	1	NA	NA
CACNA2D4	GRCh37	12:1901123-2028002	FALSE	v4	gene	0.983456679	184	NA
CACNA2D4	GRCh37	12:1901123-2028002	FALSE	v4	exon	1	3	NA
CACNA2D4	GRCh37	12:1901123-2028002	FALSE	mrg	gene	0	0	0
CACNA2D4	GRCh37	12:1901123-2028002	FALSE	mrg	exon	0	0	0
CACNA2D4	GRCh37	12:1901123-2028002	FALSE	hifi	gene	1	NA	NA
CACNA1C	GRCh37	12:2079952-2802108	FALSE	v4	gene	0.972152831	698	NA
CACNA1C	GRCh37	12:2079952-2802108	FALSE	v4	exon	1	8	NA
CACNA1C	GRCh37	12:2079952-2802108	FALSE	mrg	gene	0	0	0
CACNA1C	GRCh37	12:2079952-2802108	FALSE	mrg	exon	0	0	0
CACNA1C	GRCh37	12:2079952-2802108	FALSE	hifi	gene	1	NA	NA
FKBP4	GRCh37	12:2904119-2914576	FALSE	v4	gene	1	7	NA
FKBP4	GRCh37	12:2904119-2914576	FALSE	v4	exon	1	0	NA
FKBP4	GRCh37	12:2904119-2914576	FALSE	mrg	gene	0	0	0
FKBP4	GRCh37	12:2904119-2914576	FALSE	mrg	exon	0	0	0
FKBP4	GRCh37	12:2904119-2914576	FALSE	hifi	gene	1	NA	NA
FOXM1	GRCh37	12:2966847-2986206	FALSE	v4	gene	0.941319283	11	NA
FOXM1	GRCh37	12:2966847-2986206	FALSE	v4	exon	1	1	NA
FOXM1	GRCh37	12:2966847-2986206	FALSE	mrg	gene	0	0	0
FOXM1	GRCh37	12:2966847-2986206	FALSE	mrg	exon	0	0	0
FOXM1	GRCh37	12:2966847-2986206	FALSE	hifi	gene	1	NA	NA
TULP3	GRCh37	12:2986389-3050306	FALSE	v4	gene	0.937309323	212	NA
TULP3	GRCh37	12:2986389-3050306	FALSE	v4	exon	0.726264274	1	NA
TULP3	GRCh37	12:2986389-3050306	FALSE	mrg	gene	0	0	0
TULP3	GRCh37	12:2986389-3050306	FALSE	mrg	exon	0	0	0
TULP3	GRCh37	12:2986389-3050306	FALSE	hifi	gene	1	NA	NA
CCND2	GRCh37	12:4382938-4414516	FALSE	v4	gene	0.978149344	48	NA
CCND2	GRCh37	12:4382938-4414516	FALSE	v4	exon	0.977451737	9	NA
CCND2	GRCh37	12:4382938-4414516	FALSE	mrg	gene	0	0	0
CCND2	GRCh37	12:4382938-4414516	FALSE	mrg	exon	0	0	0
CCND2	GRCh37	12:4382938-4414516	FALSE	hifi	gene	1	NA	NA
FGF23	GRCh37	12:4477393-4488894	FALSE	v4	gene	0.968959221	14	NA
FGF23	GRCh37	12:4477393-4488894	FALSE	v4	exon	0.964179104	0	NA
FGF23	GRCh37	12:4477393-4488894	FALSE	mrg	gene	0	0	0
FGF23	GRCh37	12:4477393-4488894	FALSE	mrg	exon	0	0	0
FGF23	GRCh37	12:4477393-4488894	FALSE	hifi	gene	1	NA	NA
NDUFA9	GRCh37	12:4758261-4798454	FALSE	v4	gene	0.997163685	58	NA
NDUFA9	GRCh37	12:4758261-4798454	FALSE	v4	exon	0.96569365	6	NA
NDUFA9	GRCh37	12:4758261-4798454	FALSE	mrg	gene	0	0	0
NDUFA9	GRCh37	12:4758261-4798454	FALSE	mrg	exon	0	0	0
NDUFA9	GRCh37	12:4758261-4798454	FALSE	hifi	gene	1	NA	NA
GALNT8	GRCh37	12:4829507-4960277	FALSE	v4	gene	0.972638984	198	NA
GALNT8	GRCh37	12:4829507-4960277	FALSE	v4	exon	0.944280287	6	NA
GALNT8	GRCh37	12:4829507-4960277	FALSE	mrg	gene	0	0	0
GALNT8	GRCh37	12:4829507-4960277	FALSE	mrg	exon	0	0	0
GALNT8	GRCh37	12:4829507-4960277	FALSE	hifi	gene	1	NA	NA
KCNA6	GRCh37	12:4918342-4960277	FALSE	v4	gene	0.977465125	92	NA
KCNA6	GRCh37	12:4918342-4960277	FALSE	v4	exon	1	5	NA
KCNA6	GRCh37	12:4918342-4960277	FALSE	mrg	gene	0	0	0
KCNA6	GRCh37	12:4918342-4960277	FALSE	mrg	exon	0	0	0
KCNA6	GRCh37	12:4918342-4960277	FALSE	hifi	gene	1	NA	NA
KCNA1	GRCh37	12:5019071-5040527	FALSE	v4	gene	0.994034303	0	NA
KCNA1	GRCh37	12:5019071-5040527	FALSE	v4	exon	0.98394783	0	NA
KCNA1	GRCh37	12:5019071-5040527	FALSE	mrg	gene	0	0	0
KCNA1	GRCh37	12:5019071-5040527	FALSE	mrg	exon	0	0	0
KCNA1	GRCh37	12:5019071-5040527	FALSE	hifi	gene	1	NA	NA
KCNA5	GRCh37	12:5153085-5155949	FALSE	v4	gene	1	3	NA
KCNA5	GRCh37	12:5153085-5155949	FALSE	v4	exon	1	3	NA
KCNA5	GRCh37	12:5153085-5155949	FALSE	mrg	gene	0	0	0
KCNA5	GRCh37	12:5153085-5155949	FALSE	mrg	exon	0	0	0
KCNA5	GRCh37	12:5153085-5155949	FALSE	hifi	gene	1	NA	NA
NTF3	GRCh37	12:5541278-5630702	FALSE	v4	gene	0.972747808	70	NA
NTF3	GRCh37	12:5541278-5630702	FALSE	v4	exon	1	0	NA
NTF3	GRCh37	12:5541278-5630702	FALSE	mrg	gene	0	0	0
NTF3	GRCh37	12:5541278-5630702	FALSE	mrg	exon	0	0	0
NTF3	GRCh37	12:5541278-5630702	FALSE	hifi	gene	1	NA	NA
VWF	GRCh37	12:6058040-6233936	FALSE	v4	gene	0.969436485	418	NA
VWF	GRCh37	12:6058040-6233936	FALSE	v4	exon	1	13	NA
VWF	GRCh37	12:6058040-6233936	FALSE	mrg	gene	0	0	0
VWF	GRCh37	12:6058040-6233936	FALSE	mrg	exon	0	0	0
VWF	GRCh37	12:6058040-6233936	FALSE	hifi	gene	0.967590877	NA	NA
TNFRSF1A	GRCh37	12:6437923-6451280	FALSE	v4	gene	0.982930299	5	NA
TNFRSF1A	GRCh37	12:6437923-6451280	FALSE	v4	exon	1	0	NA
TNFRSF1A	GRCh37	12:6437923-6451280	FALSE	mrg	gene	0	0	0
TNFRSF1A	GRCh37	12:6437923-6451280	FALSE	mrg	exon	0	0	0
TNFRSF1A	GRCh37	12:6437923-6451280	FALSE	hifi	gene	1	NA	NA
SCNN1A	GRCh37	12:6456009-6486896	FALSE	v4	gene	0.964936705	54	NA
SCNN1A	GRCh37	12:6456009-6486896	FALSE	v4	exon	1	3	NA
SCNN1A	GRCh37	12:6456009-6486896	FALSE	mrg	gene	0	0	0
SCNN1A	GRCh37	12:6456009-6486896	FALSE	mrg	exon	0	0	0
SCNN1A	GRCh37	12:6456009-6486896	FALSE	hifi	gene	1	NA	NA
CD27	GRCh37	12:6554033-6560884	FALSE	v4	gene	0.964238797	18	NA
CD27	GRCh37	12:6554033-6560884	FALSE	v4	exon	1	3	NA
CD27	GRCh37	12:6554033-6560884	FALSE	mrg	gene	0	0	0
CD27	GRCh37	12:6554033-6560884	FALSE	mrg	exon	0	0	0
CD27	GRCh37	12:6554033-6560884	FALSE	hifi	gene	1	NA	NA
NCAPD2	GRCh37	12:6602522-6641121	FALSE	v4	gene	0.94634576	57	NA
NCAPD2	GRCh37	12:6602522-6641121	FALSE	v4	exon	1	4	NA
NCAPD2	GRCh37	12:6602522-6641121	FALSE	mrg	gene	0	0	0
NCAPD2	GRCh37	12:6602522-6641121	FALSE	mrg	exon	0	0	0
NCAPD2	GRCh37	12:6602522-6641121	FALSE	hifi	gene	1	NA	NA
CHD4	GRCh37	12:6679249-6716642	FALSE	v4	gene	0.912443505	39	NA
CHD4	GRCh37	12:6679249-6716642	FALSE	v4	exon	0.989002478	4	NA
CHD4	GRCh37	12:6679249-6716642	FALSE	mrg	gene	0	0	0
CHD4	GRCh37	12:6679249-6716642	FALSE	mrg	exon	0	0	0
CHD4	GRCh37	12:6679249-6716642	FALSE	hifi	gene	1	NA	NA
ZNF384	GRCh37	12:6775643-6798738	FALSE	v4	gene	0.98553799500000006	5	NA
ZNF384	GRCh37	12:6775643-6798738	FALSE	v4	exon	0.967450271	3	NA
ZNF384	GRCh37	12:6775643-6798738	FALSE	mrg	gene	0	0	0
ZNF384	GRCh37	12:6775643-6798738	FALSE	mrg	exon	0	0	0
ZNF384	GRCh37	12:6775643-6798738	FALSE	hifi	gene	1	NA	NA
CD4	GRCh37	12:6896024-6929974	TRUE	v4	gene	0.915640648	80	NA
CD4	GRCh37	12:6896024-6929974	TRUE	v4	exon	0.99871134	9	NA
CD4	GRCh37	12:6896024-6929974	TRUE	mrg	gene	0.970986745	105	0
CD4	GRCh37	12:6896024-6929974	TRUE	mrg	exon	1	9	0
CD4	GRCh37	12:6896024-6929974	TRUE	hifi	gene	1	NA	NA
GNB3	GRCh37	12:6949118-6956557	FALSE	v4	gene	0.961688399	0	NA
GNB3	GRCh37	12:6949118-6956557	FALSE	v4	exon	1	0	NA
GNB3	GRCh37	12:6949118-6956557	FALSE	mrg	gene	0	0	0
GNB3	GRCh37	12:6949118-6956557	FALSE	mrg	exon	0	0	0
GNB3	GRCh37	12:6949118-6956557	FALSE	hifi	gene	1	NA	NA
TPI1	GRCh37	12:6976283-6980112	FALSE	v4	gene	1	1	NA
TPI1	GRCh37	12:6976283-6980112	FALSE	v4	exon	1	1	NA
TPI1	GRCh37	12:6976283-6980112	FALSE	mrg	gene	0	0	0
TPI1	GRCh37	12:6976283-6980112	FALSE	mrg	exon	0	0	0
TPI1	GRCh37	12:6976283-6980112	FALSE	hifi	gene	1	NA	NA
ATN1	GRCh37	12:7033626-7051484	FALSE	v4	gene	0.958449994	6	NA
ATN1	GRCh37	12:7033626-7051484	FALSE	v4	exon	1	3	NA
ATN1	GRCh37	12:7033626-7051484	FALSE	mrg	gene	0	0	0
ATN1	GRCh37	12:7033626-7051484	FALSE	mrg	exon	0	0	0
ATN1	GRCh37	12:7033626-7051484	FALSE	hifi	gene	1	NA	NA
C12orf57	GRCh37	12:7052141-7055166	FALSE	v4	gene	1	5	NA
C12orf57	GRCh37	12:7052141-7055166	FALSE	v4	exon	1	0	NA
C12orf57	GRCh37	12:7052141-7055166	FALSE	mrg	gene	0	0	0
C12orf57	GRCh37	12:7052141-7055166	FALSE	mrg	exon	0	0	0
C12orf57	GRCh37	12:7052141-7055166	FALSE	hifi	gene	1	NA	NA
PTPN6	GRCh37	12:7055631-7070479	FALSE	v4	gene	0.952451509	15	NA
PTPN6	GRCh37	12:7055631-7070479	FALSE	v4	exon	0.987780844	2	NA
PTPN6	GRCh37	12:7055631-7070479	FALSE	mrg	gene	0	0	0
PTPN6	GRCh37	12:7055631-7070479	FALSE	mrg	exon	0	0	0
PTPN6	GRCh37	12:7055631-7070479	FALSE	hifi	gene	1	NA	NA
EMG1	GRCh37	12:7072408-7105520	FALSE	v4	gene	0.958897077	8	NA
EMG1	GRCh37	12:7072408-7105520	FALSE	v4	exon	0	0	NA
EMG1	GRCh37	12:7072408-7105520	FALSE	mrg	gene	0	0	0
EMG1	GRCh37	12:7072408-7105520	FALSE	mrg	exon	0	0	0
EMG1	GRCh37	12:7072408-7105520	FALSE	hifi	gene	1	NA	NA
C1S	GRCh37	12:7096351-7178336	FALSE	v4	gene	0.935427212	27	NA
C1S	GRCh37	12:7096351-7178336	FALSE	v4	exon	0.603133903	1	NA
C1S	GRCh37	12:7096351-7178336	FALSE	mrg	gene	0	0	0
C1S	GRCh37	12:7096351-7178336	FALSE	mrg	exon	0	0	0
C1S	GRCh37	12:7096351-7178336	FALSE	hifi	gene	0.930647211	NA	NA
C1R	GRCh37	12:7187513-7245203	FALSE	v4	gene	0	0	NA
C1R	GRCh37	12:7187513-7245203	FALSE	v4	exon	0	0	NA
C1R	GRCh37	12:7187513-7245203	FALSE	mrg	gene	0	0	0
C1R	GRCh37	12:7187513-7245203	FALSE	mrg	exon	0	0	0
C1R	GRCh37	12:7187513-7245203	FALSE	hifi	gene	0.488176886	NA	NA
PEX5	GRCh37	12:7341281-7371170	TRUE	v4	gene	0.88363612	59	NA
PEX5	GRCh37	12:7341281-7371170	TRUE	v4	exon	1	5	NA
PEX5	GRCh37	12:7341281-7371170	TRUE	mrg	gene	0.911940848	61	0
PEX5	GRCh37	12:7341281-7371170	TRUE	mrg	exon	1	5	0
PEX5	GRCh37	12:7341281-7371170	TRUE	hifi	gene	1	NA	NA
APOBEC1	GRCh37	12:7801996-7818499	TRUE	v4	gene	0.891292492	42	NA
APOBEC1	GRCh37	12:7801996-7818499	TRUE	v4	exon	1	2	NA
APOBEC1	GRCh37	12:7801996-7818499	TRUE	mrg	gene	0.981033751	59	0
APOBEC1	GRCh37	12:7801996-7818499	TRUE	mrg	exon	1	2	0
APOBEC1	GRCh37	12:7801996-7818499	TRUE	hifi	gene	1	NA	NA
GDF3	GRCh37	12:7842378-7848372	TRUE	v4	gene	0	0	NA
GDF3	GRCh37	12:7842378-7848372	TRUE	v4	exon	0	0	NA
GDF3	GRCh37	12:7842378-7848372	TRUE	mrg	gene	0.984984985	22	0
GDF3	GRCh37	12:7842378-7848372	TRUE	mrg	exon	1	2	0
GDF3	GRCh37	12:7842378-7848372	TRUE	hifi	gene	1	NA	NA
C3AR1	GRCh37	12:8210898-8219067	FALSE	v4	gene	0.911494675	2	NA
C3AR1	GRCh37	12:8210898-8219067	FALSE	v4	exon	1	0	NA
C3AR1	GRCh37	12:8210898-8219067	FALSE	mrg	gene	0	0	0
C3AR1	GRCh37	12:8210898-8219067	FALSE	mrg	exon	0	0	0
C3AR1	GRCh37	12:8210898-8219067	FALSE	hifi	gene	1	NA	NA
AICDA	GRCh37	12:8754762-8765467	FALSE	v4	gene	0.966370855	10	NA
AICDA	GRCh37	12:8754762-8765467	FALSE	v4	exon	0.985429993	2	NA
AICDA	GRCh37	12:8754762-8765467	FALSE	mrg	gene	0	0	0
AICDA	GRCh37	12:8754762-8765467	FALSE	mrg	exon	0	0	0
AICDA	GRCh37	12:8754762-8765467	FALSE	hifi	gene	1	NA	NA
MFAP5	GRCh37	12:8789942-8815484	FALSE	v4	gene	0.975961162	6	NA
MFAP5	GRCh37	12:8789942-8815484	FALSE	v4	exon	1	1	NA
MFAP5	GRCh37	12:8789942-8815484	FALSE	mrg	gene	0	0	0
MFAP5	GRCh37	12:8789942-8815484	FALSE	mrg	exon	0	0	0
MFAP5	GRCh37	12:8789942-8815484	FALSE	hifi	gene	1	NA	NA
PHC1	GRCh37	12:9066492-9094063	FALSE	v4	gene	0.982082623	61	NA
PHC1	GRCh37	12:9066492-9094063	FALSE	v4	exon	0.994855005	5	NA
PHC1	GRCh37	12:9066492-9094063	FALSE	mrg	gene	0	0	0
PHC1	GRCh37	12:9066492-9094063	FALSE	mrg	exon	0	0	0
PHC1	GRCh37	12:9066492-9094063	FALSE	hifi	gene	1	NA	NA
A2M	GRCh37	12:9220260-9268825	FALSE	v4	gene	0.995758262	105	NA
A2M	GRCh37	12:9220260-9268825	FALSE	v4	exon	0.99812812	5	NA
A2M	GRCh37	12:9220260-9268825	FALSE	mrg	gene	0	0	0
A2M	GRCh37	12:9220260-9268825	FALSE	mrg	exon	0	0	0
A2M	GRCh37	12:9220260-9268825	FALSE	hifi	gene	1	NA	NA
CLEC7A	GRCh37	12:10269376-10282857	FALSE	v4	gene	0.984793413	22	NA
CLEC7A	GRCh37	12:10269376-10282857	FALSE	v4	exon	1	1	NA
CLEC7A	GRCh37	12:10269376-10282857	FALSE	mrg	gene	0	0	0
CLEC7A	GRCh37	12:10269376-10282857	FALSE	mrg	exon	0	0	0
CLEC7A	GRCh37	12:10269376-10282857	FALSE	hifi	gene	1	NA	NA
OLR1	GRCh37	12:10310902-10324737	FALSE	v4	gene	0.982146729	33	NA
OLR1	GRCh37	12:10310902-10324737	FALSE	v4	exon	0.940912795	4	NA
OLR1	GRCh37	12:10310902-10324737	FALSE	mrg	gene	0	0	0
OLR1	GRCh37	12:10310902-10324737	FALSE	mrg	exon	0	0	0
OLR1	GRCh37	12:10310902-10324737	FALSE	hifi	gene	1	NA	NA
TAS2R46	GRCh37	12:11213964-11214893	FALSE	v4	gene	0	0	NA
TAS2R46	GRCh37	12:11213964-11214893	FALSE	v4	exon	0	0	NA
TAS2R46	GRCh37	12:11213964-11214893	FALSE	mrg	gene	0	0	0
TAS2R46	GRCh37	12:11213964-11214893	FALSE	mrg	exon	0	0	0
TAS2R46	GRCh37	12:11213964-11214893	FALSE	hifi	gene	0.959415297	NA	NA
PRB1	GRCh37	12:11504757-11548500	FALSE	v4	gene	0.951786572	14	NA
PRB1	GRCh37	12:11504757-11548500	FALSE	v4	exon	0.314285714	0	NA
PRB1	GRCh37	12:11504757-11548500	FALSE	mrg	gene	0	0	0
PRB1	GRCh37	12:11504757-11548500	FALSE	mrg	exon	0	0	0
PRB1	GRCh37	12:11504757-11548500	FALSE	hifi	gene	1	NA	NA
ETV6	GRCh37	12:11802788-12048336	FALSE	v4	gene	0.97740564	432	NA
ETV6	GRCh37	12:11802788-12048336	FALSE	v4	exon	0.933957532	15	NA
ETV6	GRCh37	12:11802788-12048336	FALSE	mrg	gene	0	0	0
ETV6	GRCh37	12:11802788-12048336	FALSE	mrg	exon	0	0	0
ETV6	GRCh37	12:11802788-12048336	FALSE	hifi	gene	1	NA	NA
LRP6	GRCh37	12:12268959-12419946	FALSE	v4	gene	0.968924477	194	NA
