gene	ref	chrom	start	end	data_set	avg_cov	bp_cov_by_100X	bp_cov_by_20X
IGHV3-21	GRCh37	14	106691673	106692203	CCS	31.06	0	1
NBEAP1	GRCh37	15	20862967	20893737	CCS	52.86	0.012646602	0.65878197
TUBGCP5	GRCh37	15	22833395	22873892	CCS	44.84	0	1
CYFIP1	GRCh37	15	22892005	23006016	CCS	46.83	0	1
NIPA2	GRCh37	15	23004684	23034427	CCS	45.61	0	1
NIPA1	GRCh37	15	23043277	23100005	CCS	42.93	0	1
MKRN3	GRCh37	15	23810454	23873064	CCS	57.35	0	1
MAGEL2	GRCh37	15	23888691	23891175	CCS	53.12	0	1
NDN	GRCh37	15	23930565	23932450	CCS	61.36	0	1
PWRN1	GRCh37	15	24738284	24897277	CCS	60.71	0	1
NPAP1	GRCh37	15	24920541	24928593	CCS	55.51	0	1
SNRPN	GRCh37	15	25068794	25223870	CCS	51.85	0	1
SNURF	GRCh37	15	25200133	25223729	CCS	49.79	0	1
SNORD108	GRCh37	15	25232072	25232142	CCS	57.58	0	1
SNORD116-1	GRCh37	15	25296624	25296718	CCS	54.57	0	1
SNORD115-1	GRCh37	15	25415870	25415951	CCS	49.13	0	1
SNORD109B	GRCh37	15	25523490	25523556	CCS	54.93	0	1
UBE3A	GRCh37	15	25582381	25684128	CCS	54.66	0	1
ATP10A	GRCh37	15	25922420	26110317	CCS	50.6	0	1
GABRB3	GRCh37	15	26788693	27184686	CCS	55.58	0	1
GABRA5	GRCh37	15	27111510	27194354	CCS	60.33	0	1
GABRG3	GRCh37	15	27216429	27778373	CCS	57.2	0	1
OCA2	GRCh37	15	28000021	28344504	CCS	51.18	0	1
FAN1	GRCh37	15	31196055	31235311	CCS	48.3	0	1
TRPM1	GRCh37	15	31293264	31453476	CCS	53.28	0	1
CHRNA7	GRCh37	15	32322691	32464722	CCS	58.61	0	1
GREM1	GRCh37	15	33010175	33026870	CCS	58.49	0	1
FMN1	GRCh37	15	33057747	33486897	CCS	56.43	0	1
EMC4	GRCh37	15	34517200	34522357	CCS	51.98	0	1
SLC12A6	GRCh37	15	34525460	34630261	CCS	50.11	0	1
NOP10	GRCh37	15	34633917	34635378	CCS	44.41	0	1
NUTM1	GRCh37	15	34635516	34649938	CCS	41.74	0	1
ACTC1	GRCh37	15	35080297	35088340	CCS	52.93	0	1
MEIS2	GRCh37	15	37181406	37393504	CCS	58.62	0	1
SPRED1	GRCh37	15	38544527	38649450	CCS	59.05	0	1
RASGRP1	GRCh37	15	38780304	38857776	CCS	60.26	0	1
THBS1	GRCh37	15	39873280	39891667	CCS	56.63	0	1
BUB1B	GRCh37	15	40453224	40513337	CCS	59.97	0	1
KNSTRN	GRCh37	15	40674922	40686447	CCS	47.69	0	1
IVD	GRCh37	15	40697686	40728146	CCS	57.23	0	1
CHST14	GRCh37	15	40763160	40765353	CCS	52.35	0	1
CASC5	GRCh37	15	40886218	40956540	CCS	52.32	0	1
RAD51	GRCh37	15	40986972	41024354	CCS	52.22	0	1
C15orf62	GRCh37	15	41062159	41064643	CCS	48.6	0	1
NDUFAF1	GRCh37	15	41679551	41694717	CCS	43.13	0	1
CAPN3	GRCh37	15	42640301	42704516	CCS	63.84	0	1
CDAN1	GRCh37	15	43015757	43029324	CCS	49.21	0	1
TTBK2	GRCh37	15	43030932	43213007	CCS	56.68	0	1
UBR1	GRCh37	15	43235095	43398311	CCS	55.08	0	1
EPB42	GRCh37	15	43398423	43513481	CCS	55.41	0	1
TGM5	GRCh37	15	43524793	43559055	CCS	59.33	0	1
TP53BP1	GRCh37	15	43699407	43802926	CCS	56.83	0	1
PPIP5K1	GRCh37	15	43825660	43882430	CCS	60.26	0	1
STRC	GRCh37	15	43891596	44010458	CCS	53.86	0	1
CATSPER2	GRCh37	15	43920701	43960316	CCS	53.17	0	1
SPG11	GRCh37	15	44854894	44955876	CCS	52.87	0	1
B2M	GRCh37	15	45003675	45011075	CCS	54.79	0	1
DUOX2	GRCh37	15	45384848	45406542	CCS	58.29	0	1
DUOXA2	GRCh37	15	45406519	45410619	CCS	58.19	0	1
SLC28A2	GRCh37	15	45544428	45568149	CCS	61.67	1.72628e-4	1
GATM	GRCh37	15	45653322	45694525	CCS	59.92	0	1
HMGN2P46	GRCh37	15	45803334	45878488	CCS	54.78	0	1
BLOC1S6	GRCh37	15	45879321	45908197	CCS	56.53	0	1
SEMA6D	GRCh37	15	47476298	48066420	CCS	58.38	0	1
SLC24A5	GRCh37	15	48413169	48434869	CCS	56.86	0	1
SLC12A1	GRCh37	15	48483861	48596275	CCS	58.89	0	1
FBN1	GRCh37	15	48700503	48938046	CCS	56.68	0	1
CEP152	GRCh37	15	49005125	49103343	CCS	57.38	0	1
HDC	GRCh37	15	50534144	50558223	CCS	55.52	0	1
USP8	GRCh37	15	50716577	50793280	CCS	51.66	0	1
TRPM7	GRCh37	15	50844670	50979012	CCS	51.59	0	1
AP4E1	GRCh37	15	51200869	51298097	CCS	57.19	0	1
CYP19A1	GRCh37	15	51500254	51630807	CCS	56.95	0	1
DMXL2	GRCh37	15	51739908	51915030	CCS	60.47	0	1
GNB5	GRCh37	15	52413117	52483566	CCS	58.94	0	1
MYO5A	GRCh37	15	52599480	52821247	CCS	57.2	0	1
WDR72	GRCh37	15	53805938	54055075	CCS	61.92	0	1
RAB27A	GRCh37	15	55495164	55611311	CCS	56.05	0	1
DYX1C1-CCPG1	GRCh37	15	55647446	55790558	CCS	45.78	0	1
C15orf65	GRCh37	15	55700746	55710962	CCS	39.48	0	1
DYX1C1	GRCh37	15	55702723	55800432	CCS	43.67	0	1
NEDD4	GRCh37	15	56119120	56285944	CCS	57.26	0	1
TCF12	GRCh37	15	57210821	57591479	CCS	56.45	0	1
POLR2M	GRCh37	15	57884231	58074960	CCS	59.78	0	1
ALDH1A2	GRCh37	15	58245622	58790065	CCS	61.21	0	1
LIPC	GRCh37	15	58702768	58861151	CCS	57.51	0	1
ADAM10	GRCh37	15	58887403	59042177	CCS	62.7	0	1
MYO1E	GRCh37	15	59427113	59665099	CCS	57.15	0	1
RORA	GRCh37	15	60780483	61521518	CCS	58.38	0	1
TPM1	GRCh37	15	63334831	63364114	CCS	49.97	0	1
CA12	GRCh37	15	63613577	63674360	CCS	57.3	0	1
PPIB	GRCh37	15	64448011	64455404	CCS	58.64	0	1
SPG21	GRCh37	15	65255362	65282648	CCS	57.34	0	1
MTFMT	GRCh37	15	65294845	65321977	CCS	57.88	0	1
KBTBD13	GRCh37	15	65369154	65372276	CCS	52.54	0	1
CILP	GRCh37	15	65488337	65503826	CCS	53.87	0	1
SLC24A1	GRCh37	15	65903704	65953333	CCS	55.03	0	1
MAP2K1	GRCh37	15	66679155	66784650	CCS	53.08	0	1
SNAPC5	GRCh37	15	66782473	66790151	CCS	53.01	0	1
SMAD6	GRCh37	15	66994566	67074338	CCS	55.04	0	1
SMAD3	GRCh37	15	67356101	67487533	CCS	54.01	0	1
AAGAB	GRCh37	15	67493371	67547533	CCS	53.46	0	1
CLN6	GRCh37	15	68499330	68549549	CCS	52.56	0	1
FEM1B	GRCh37	15	68570141	68588203	CCS	55.21	0	1
UACA	GRCh37	15	70946893	71055932	CCS	57.55	0	1
NR2E3	GRCh37	15	72084977	72110600	CCS	52.86	0	1
PKM	GRCh37	15	72491370	72524164	CCS	48.52	0	1
HEXA	GRCh37	15	72635775	72668817	CCS	53.22	0	1
BBS4	GRCh37	15	72978527	73030817	CCS	53.26	0	1
HCN4	GRCh37	15	73612200	73661605	CCS	48.43	0	1
LOXL1	GRCh37	15	74218330	74244478	CCS	51.54	0	1
PML	GRCh37	15	74287014	74340153	CCS	54.59	0	1
STRA6	GRCh37	15	74471807	74504608	CCS	53.73	0	1
CYP11A1	GRCh37	15	74630100	74660081	CCS	53.54	0	1
SEMA7A	GRCh37	15	74701630	74726808	CCS	42.67	0	1
CYP1A2	GRCh37	15	75041185	75048543	CCS	48.14	0	1
MPI	GRCh37	15	75182346	75191798	CCS	49.88	0	1
ETFA	GRCh37	15	76507696	76603813	CCS	52.5	0	1
PSTPIP1	GRCh37	15	77285700	77329673	CCS	43.81	0	0.847939219
CIB2	GRCh37	15	78396948	78423886	CCS	47.73	0	1
CHRNA5	GRCh37	15	78857862	78887611	CCS	48.85	0	1
CHRNA3	GRCh37	15	78885394	78913637	CCS	52.04	0	1
CHRNB4	GRCh37	15	78916461	79020096	CCS	54.39	0	1
MIR184	GRCh37	15	79502130	79502213	CCS	56.3	0	1
MTHFS	GRCh37	15	80125927	80189721	CCS	59.46	0	1
FAH	GRCh37	15	80444832	80479288	CCS	57.17	0	1
MESDC2	GRCh37	15	81239667	81282219	CCS	54.75	0	1
RPS17	GRCh37	15	82821158	82824972	CCS	23.93	0	0.516821107
AP3B2	GRCh37	15	83328033	83378666	CCS	49.9	0	1
ADAMTSL3	GRCh37	15	84322838	84708594	CCS	60.14	0	1
ZNF592	GRCh37	15	85291866	85349659	CCS	48.11	0	1
SLC28A1	GRCh37	15	85427885	85518876	CCS	54.61	0	1
NTRK3	GRCh37	15	88418230	88799999	CCS	57.06	0	0.996635599
ACAN	GRCh37	15	89346674	89418585	CCS	50.17	0	1
MFGE8	GRCh37	15	89441916	89456642	CCS	46.74	0	1
RLBP1	GRCh37	15	89753100	89764982	CCS	50.97	0	1
FANCI	GRCh37	15	89787180	89860492	CCS	55.86	0	1
POLG	GRCh37	15	89859534	89878092	CCS	50.24	0	1
KIF7	GRCh37	15	90152020	90198682	CCS	50.37	0	1
PLIN1	GRCh37	15	90207596	90222658	CCS	52.37	0	1
MESP2	GRCh37	15	90303822	90321982	CCS	55.44	0	1
IDH2	GRCh37	15	90626277	90645736	CCS	55.89	0	1
CRTC3	GRCh37	15	91073157	91188577	CCS	51.54	0	0.991050058
BLM	GRCh37	15	91260558	91358859	CCS	55.44	0	1
FES	GRCh37	15	91426925	91439006	CCS	44.72	0	1
VPS33B	GRCh37	15	91541646	91565833	CCS	46.66	0	1
SV2B	GRCh37	15	91643180	91844539	CCS	60.78	0	1
ST8SIA2	GRCh37	15	92937058	93011958	CCS	59.52	0	1
CHD2	GRCh37	15	93426526	93571237	CCS	57.13	0	1
RGMA	GRCh37	15	93586636	93632433	CCS	52.82	0	1
NR2F2	GRCh37	15	96869167	96883492	CCS	46.24	0	1
IGF1R	GRCh37	15	99192200	99507759	CCS	55.71	0	1
MEF2A	GRCh37	15	100017370	100256671	CCS	61.5	0	1
ADAMTS17	GRCh37	15	100511794	100882210	CCS	55.84	0	1
LINS	GRCh37	15	101099574	101143435	CCS	54.83	0	1
ALDH1A3	GRCh37	15	101417919	101456831	CCS	53.46	0	1
CHSY1	GRCh37	15	101715928	101792137	CCS	55.48	0	1
MPG	GRCh37	16	127006	135852	CCS	42.85	0	1
HBM	GRCh37	16	203891	216767	CCS	36.61	0	1
HBA2	GRCh37	16	222846	223709	CCS	37.66	0	1
HBA1	GRCh37	16	226679	227521	CCS	37.71	0	1
AXIN1	GRCh37	16	337440	402673	CCS	41.76	0	1
TMEM8A	GRCh37	16	420773	437113	CCS	37.55	0	0.936741214
CCDC78	GRCh37	16	772582	776954	CCS	38.35	0	1
LMF1	GRCh37	16	903634	1031318	CCS	45.12	2.08726e-4	1
SOX8	GRCh37	16	1031808	1036979	CCS	42.27	0	1
SSTR5	GRCh37	16	1122756	1131454	CCS	40.15	0	1
CACNA1H	GRCh37	16	1203241	1271771	CCS	42.34	0	1
GNPTG	GRCh37	16	1401924	1413352	CCS	38.14	0	1
UNKL	GRCh37	16	1413206	1464752	CCS	38.4	0	1
CLCN7	GRCh37	16	1494935	1525581	CCS	43.02	0	1
IFT140	GRCh37	16	1560428	1662111	CCS	47.16	0	1
IGFALS	GRCh37	16	1840414	1844972	CCS	47.12	0	1
GFER	GRCh37	16	2034208	2037750	CCS	43.33	0	1
NTHL1	GRCh37	16	2089816	2097867	CCS	49.05	0	1
TSC2	GRCh37	16	2097466	2138716	CCS	42.74	0	0.908787692
PKD1	GRCh37	16	2138711	2185899	CCS	37.52	0	0.903220627
TRAF7	GRCh37	16	2205699	2228130	CCS	43.4	0	1
ECI1	GRCh37	16	2289396	2302301	CCS	37.19	0	1
ABCA3	GRCh37	16	2325882	2390747	CCS	48.78	0	1
TBC1D24	GRCh37	16	2525147	2555735	CCS	48.69	0	1
PDPK1	GRCh37	16	2587965	2653189	CCS	54.22	0	1
ZNF213	GRCh37	16	3179778	3192806	CCS	47.86	0	1
MEFV	GRCh37	16	3292028	3306627	CCS	56.16	0	1
SLX4	GRCh37	16	3631182	3661599	CCS	54.31	0	1
DNASE1	GRCh37	16	3661729	3730144	CCS	52.77	0	1
CREBBP	GRCh37	16	3775055	3930727	CCS	51.83	0	1
ADCY9	GRCh37	16	4003388	4166186	CCS	46.12	0	1
GLIS2	GRCh37	16	4364762	4389598	CCS	40.18	0	1
ROGDI	GRCh37	16	4846969	4852951	CCS	47.86	0	1
NAGPA	GRCh37	16	5074845	5084142	CCS	42.39	0	1
ALG1	GRCh37	16	5083703	5137380	CCS	45.43	0	1
TMEM114	GRCh37	16	8619502	8622304	CCS	48.35	0	0.874234849
ABAT	GRCh37	16	8768422	8878432	CCS	48.03	0	1
PMM2	GRCh37	16	8882680	8943188	CCS	50.93	0	1
USP7	GRCh37	16	8985951	9058371	CCS	54.39	0	1
GRIN2A	GRCh37	16	9852376	10276611	CCS	58.86	0	1
CIITA	GRCh37	16	10971055	11026079	CCS	57.71	0	1
RMI2	GRCh37	16	11343476	11445619	CCS	49.98	0	1
SOCS1	GRCh37	16	11348262	11350036	CCS	51.99	0	1
PRM2	GRCh37	16	11369496	11370337	CCS	45.27	0	1
PRM1	GRCh37	16	11374693	11375207	CCS	44.72	0	1
LITAF	GRCh37	16	11641853	11730237	CCS	46.5	0	1
TNFRSF17	GRCh37	16	12058964	12061925	CCS	45.5	0	1
SNX29	GRCh37	16	12070594	12668146	CCS	55.74	0	1
ERCC4	GRCh37	16	14014014	14046202	CCS	52.77	0	1
PLA2G10	GRCh37	16	14766405	14788526	CCS	49.6	0	1
NDE1	GRCh37	16	15737124	15820210	CCS	50.72	0	1
MYH11	GRCh37	16	15797029	15950890	CCS	51.43	0	1
ABCC1	GRCh37	16	16043434	16236931	CCS	50.54	0	0.999910063
ABCC6	GRCh37	16	16242785	16317379	CCS	49.62	0	1
XYLT1	GRCh37	16	17195626	17564738	CCS	50.83	0	1
SMG1	GRCh37	16	18816175	18937776	CCS	45.84	0	0.963663591
GPR139	GRCh37	16	20042807	20085239	CCS	52.17	0	1
UMOD	GRCh37	16	20344374	20367623	CCS	51.12	0	1
ACSM2B	GRCh37	16	20547548	20587749	CCS	56.98	0	1
ACSM3	GRCh37	16	20621565	20808903	CCS	58.17	0	1
CRYM	GRCh37	16	21250195	21314404	CCS	55.77	0	1
OTOA	GRCh37	16	21689835	21772050	CCS	57.27	0	1
UQCRC2	GRCh37	16	21963981	21994981	CCS	61.66	0	1
SCNN1G	GRCh37	16	23194036	23228204	CCS	48.85	0	1
SCNN1B	GRCh37	16	23289552	23392620	CCS	52.86	0	1
COG7	GRCh37	16	23399814	23464501	CCS	53.89	0	1
EARS2	GRCh37	16	23533335	23569052	CCS	56.21	0	1
PALB2	GRCh37	16	23614488	23652631	CCS	48.94	0	1
PRKCB	GRCh37	16	23847322	24231932	CCS	55.21	0	1
CACNG3	GRCh37	16	24266874	24374122	CCS	54.73	0	1
SLC5A11	GRCh37	16	24857162	24922949	CCS	49.08	0	1
IL4R	GRCh37	16	27324989	27376099	CCS	47.78	0	1
IL21R	GRCh37	16	27413483	27462115	CCS	52.59	0	1
CLN3	GRCh37	16	28477974	28503333	CCS	40.46	0	1
SULT1A1	GRCh37	16	28616903	28634946	CCS	50.45	0	1
TUFM	GRCh37	16	28853732	28857729	CCS	34.35	0	1
MIR4721	GRCh37	16	28855240	28855328	CCS	34.97	0	1
SH2B1	GRCh37	16	28857921	28885526	CCS	38.79	0	1
ATP2A1	GRCh37	16	28889726	28915830	CCS	43.44	0	1
CD19	GRCh37	16	28943260	28950667	CCS	49.76	0	1
KIF22	GRCh37	16	29802040	29816706	CCS	47.92	0	1
PRRT2	GRCh37	16	29823177	29827201	CCS	52.37	0	1
SEZ6L2	GRCh37	16	29882480	29910868	CCS	48.41	0	1
KCTD13	GRCh37	16	29916333	29938356	CCS	50.51	0	1
DOC2A	GRCh37	16	30016830	30034591	CCS	46.52	0	1
ALDOA	GRCh37	16	30064411	30081778	CCS	50.47	0	1
CORO1A	GRCh37	16	30194148	30200397	CCS	61.49	0.182014746	1
SRCAP	GRCh37	16	30709530	30755602	CCS	46.01	0	1
PHKG2	GRCh37	16	30759591	30772490	CCS	47.04	0	1
CTF1	GRCh37	16	30907928	30914881	CCS	44.31	0	1
HSD3B7	GRCh37	16	30996519	31000473	CCS	44.77	0	1
VKORC1	GRCh37	16	31102163	31107301	CCS	40.67	0	1
BCKDK	GRCh37	16	31117428	31124110	CCS	42.57	0	1
PRSS8	GRCh37	16	31142756	31147083	CCS	47.54	0	1
FUS	GRCh37	16	31191431	31203127	CCS	47.31	0	1
ITGAM	GRCh37	16	31271311	31344213	CCS	53.19	0	1
SLC5A2	GRCh37	16	31494323	31502181	CCS	49.1	0	1
AHSP	GRCh37	16	31539185	31540124	CCS	50.88	0	1
VPS35	GRCh37	16	46690054	46723430	CCS	56.79	0	1
ORC6	GRCh37	16	46723555	46732306	CCS	55.45	0	1
PHKB	GRCh37	16	47495034	47735434	CCS	58.08	0	1
ZNF423	GRCh37	16	49521435	49891830	CCS	47.96	0	0.997093045
NOD2	GRCh37	16	50727514	50766988	CCS	49.33	0	1
CYLD	GRCh37	16	50775961	50835846	CCS	55.14	0	1
SALL1	GRCh37	16	51169886	51185278	CCS	46.41	0	1
CASC16	GRCh37	16	52586002	52686017	CCS	55.54	0	1
RBL2	GRCh37	16	53467889	53525561	CCS	55.68	0	1
RPGRIP1L	GRCh37	16	53631595	53737850	CCS	62.78	0	1
FTO	GRCh37	16	53737875	54155853	CCS	57.56	0	1
IRX5	GRCh37	16	54964774	54968397	CCS	53.72	0	1
MMP2	GRCh37	16	55423612	55540603	CCS	56.02	0	1
SLC6A2	GRCh37	16	55689516	55740104	CCS	53.82	0	1
BBS2	GRCh37	16	56500748	56554195	CCS	53.3	0	1
SLC12A3	GRCh37	16	56899119	56949762	CCS	47.97	0	1
HERPUD1	GRCh37	16	56965960	56977798	CCS	45.15	0	1
CETP	GRCh37	16	56995762	57017757	CCS	50.21	0	1
COQ9	GRCh37	16	57481337	57495187	CCS	48.8	0	1
GPR56	GRCh37	16	57644564	57698944	CCS	51.51	0	1
CNGB1	GRCh37	16	57917503	58005020	CCS	55.49	0	1
USB1	GRCh37	16	58033450	58055522	CCS	46.5	0	1
CSNK2A2	GRCh37	16	58191811	58231824	CCS	54.6	0	1
CDH8	GRCh37	16	61681146	62070939	CCS	56.09	0	1
CDH11	GRCh37	16	64977656	65160015	CCS	59.01	0	1
CDH5	GRCh37	16	66400533	66438686	CCS	52.52	0	1
BEAN1	GRCh37	16	66461200	66527432	CCS	50.11	0	1
TK2	GRCh37	16	66541906	66586447	CCS	52.53	0	1
CES2	GRCh37	16	66968347	66978999	CCS	46.26	0	1
CBFB	GRCh37	16	67063019	67134961	CCS	51.89	0	1
TRADD	GRCh37	16	67188083	67194201	CCS	44.3	0	1
HSF4	GRCh37	16	67197288	67203848	CCS	43.9	0	1
NOL3	GRCh37	16	67204057	67209643	CCS	43.1	0	1
E2F4	GRCh37	16	67226072	67232821	CCS	42.22	0	1
PLEKHG4	GRCh37	16	67311413	67323402	CCS	44.6	0	1
HSD11B2	GRCh37	16	67464555	67471456	CCS	52.99	0	1
AGRP	GRCh37	16	67516474	67517716	CCS	54.33	0	1
CTCF	GRCh37	16	67596310	67673086	CCS	48.08	0	1
LCAT	GRCh37	16	67973653	67978034	CCS	52.01	0	1
NFATC3	GRCh37	16	68118654	68263162	CCS	52.06	0	1
PRMT7	GRCh37	16	68344877	68392466	CCS	47.7	0	1
SMPD3	GRCh37	16	68392231	68482591	CCS	52.12	0	1
ZFP90	GRCh37	16	68563993	68609975	CCS	56.23	0	1
CDH3	GRCh37	16	68670092	68756519	CCS	46.62	0	1
CDH1	GRCh37	16	68771128	68869451	CCS	51.52	0	1
COG8	GRCh37	16	69354043	69373570	CCS	52.13	0	1
NQO1	GRCh37	16	69740899	69760854	CCS	53.75	0	1
MIR140	GRCh37	16	69966984	69967083	CCS	49.98	0	1
AARS	GRCh37	16	70286198	70323446	CCS	47.87	0	1
ST3GAL2	GRCh37	16	70413338	70473140	CCS	48.04	0	1
COG4	GRCh37	16	70514471	70557468	CCS	43.46	0	1
HYDIN	GRCh37	16	70841281	71264625	CCS	61.25	0	1
TAT	GRCh37	16	71599563	71611033	CCS	52.75	0	1
PHLPP2	GRCh37	16	71671738	71758604	CCS	56.05	0	1
DHODH	GRCh37	16	72042487	72058954	CCS	55.78	0	1
HP	GRCh37	16	72088491	72094954	CCS	55.57	0	1
ZFHX3	GRCh37	16	72816784	73093597	CCS	53.25	0	1
PSMD7	GRCh37	16	74330673	74340186	CCS	62.73	0	1
RFWD3	GRCh37	16	74655292	74700779	CCS	49.42	0	1
FA2H	GRCh37	16	74746853	74808729	CCS	49.02	0	1
CHST6	GRCh37	16	75510949	75529282	CCS	41.23	0	1
TMEM231	GRCh37	16	75572015	75590184	CCS	48.76	0	1
KARS	GRCh37	16	75661622	75682541	CCS	50.49	0	1
CNTNAP4	GRCh37	16	76311176	76593135	CCS	59.92	0	1
ADAMTS18	GRCh37	16	77281710	77469011	CCS	56.64	0	1
WWOX	GRCh37	16	78133310	79246564	CCS	52.89	0	0.997208768
MAF	GRCh37	16	79619740	79634611	CCS	64.77	0	1
GCSH	GRCh37	16	81115566	81130008	CCS	47.8	0	1
GAN	GRCh37	16	81348557	81424489	CCS	56.61	0	1
PLCG2	GRCh37	16	81772702	81991899	CCS	50.46	0	1
CDH13	GRCh37	16	82660408	83830204	CCS	59.71	0	1
MLYCD	GRCh37	16	83932731	83949787	CCS	52.47	0	1
DNAAF1	GRCh37	16	84178865	84212373	CCS	50.5	0	1
WFDC1	GRCh37	16	84328252	84363450	CCS	53.99	0	1
GSE1	GRCh37	16	85645015	85709810	CCS	42.45	0	0.949883105
COX4I1	GRCh37	16	85832239	85840650	CCS	55.76	0	1
IRF8	GRCh37	16	85932409	85956215	CCS	51.24	0	1
FOXF1	GRCh37	16	86544133	86548076	CCS	49.74	0	1
FOXC2	GRCh37	16	86600857	86602539	CCS	53.1	0	1
JPH3	GRCh37	16	87635441	87731762	CCS	47.09	0	1
SLC7A5	GRCh37	16	87863629	87903094	CCS	46.76	0	1
ZNF469	GRCh37	16	88493879	88507165	CCS	48.06	0	1
CYBA	GRCh37	16	88709691	88717560	CCS	40.93	0	1
CDT1	GRCh37	16	88869621	88875666	CCS	40.42	0	1
APRT	GRCh37	16	88875747	88878352	CCS	41.94	0	1
GALNS	GRCh37	16	88880142	88923378	CCS	45.21	0	1
CBFA2T3	GRCh37	16	88941266	89043612	CCS	36.63	0	0.960757591
ACSF3	GRCh37	16	89154783	89222254	CCS	45.71	0	1
CDH15	GRCh37	16	89238175	89261900	CCS	37.97	0	1
ANKRD11	GRCh37	16	89334038	89556969	CCS	48.63	0	1
SPG7	GRCh37	16	89557325	89624176	CCS	44.52	0	1
CHMP1A	GRCh37	16	89710839	89724253	CCS	39.99	0	0.92782791
FANCA	GRCh37	16	89803957	89883065	CCS	47.12	0	1
MC1R	GRCh37	16	89978527	89987385	CCS	38.59	0	1
TUBB3	GRCh37	16	89985573	90002500	CCS	37.37	0	1
ABR	GRCh37	17	906758	1132315	CCS	43.49	0	0.997503361
BHLHA9	GRCh37	17	1173853	1174754	CCS	40.92	0	1
YWHAE	GRCh37	17	1247566	1303672	CCS	44.2	0	1
CRK	GRCh37	17	1323983	1366456	CCS	40.33	0	1
PITPNA	GRCh37	17	1421012	1466110	CCS	48.61	0	1
PRPF8	GRCh37	17	1553923	1588176	CCS	47.02	0	1
WDR81	GRCh37	17	1619817	1641893	CCS	41.5	0	1
SERPINF2	GRCh37	17	1646130	1658562	CCS	43.58	0	1
SERPINF1	GRCh37	17	1665253	1680868	CCS	45.91	0	1
RPA1	GRCh37	17	1732996	1803376	CCS	55.15	0	1
SRR	GRCh37	17	2206677	2228554	CCS	41.71	0	1
PAFAH1B1	GRCh37	17	2496504	2588909	CCS	49.19	0	1
OR1P1	GRCh37	17	3057183	3058176	CCS	43.79	0	1
ASPA	GRCh37	17	3375668	3406713	CCS	56.67	0	1
TRPV3	GRCh37	17	3413796	3461289	CCS	45.19	0	1
TRPV1	GRCh37	17	3468738	3500392	CCS	41.99	0	1
CTNS	GRCh37	17	3539762	3564836	CCS	46.36	0	1
P2RX5	GRCh37	17	3575493	3599698	CCS	47.22	0	1
P2RX1	GRCh37	17	3799886	3819794	CCS	38.73	0	0.967233091
ATP2A3	GRCh37	17	3827169	3867736	CCS	38.67	0	0.975635186
ALOX15	GRCh37	17	4534197	4545589	CCS	51.8	0	1
PLD2	GRCh37	17	4710391	4726729	CCS	40.98	0	1
CHRNE	GRCh37	17	4801069	4806369	CCS	45.59	0	1
GP1BA	GRCh37	17	4835592	4838325	CCS	39.78	0	1
PFN1	GRCh37	17	4848947	4852356	CCS	37.15	0	1
ENO3	GRCh37	17	4851387	4860426	CCS	40.01	0	1
SLC52A1	GRCh37	17	4935895	4955304	CCS	46.47	0	1
USP6	GRCh37	17	5019733	5078329	CCS	48.64	0	1
RABEP1	GRCh37	17	5185558	5289129	CCS	51.89	0	1
NLRP1	GRCh37	17	5402747	5522744	CCS	58.55	0	1
AIPL1	GRCh37	17	6297013	6338519	CCS	48.41	0	0.942973523
PITPNM3	GRCh37	17	6354584	6459814	CCS	40.16	0	0.942146939
ALOX12	GRCh37	17	6899384	6914055	CCS	44.7	0	1
DLG4	GRCh37	17	7093209	7123021	CCS	44.13	0	1
ACADVL	GRCh37	17	7120444	7128592	CCS	39.1	0	1
DVL2	GRCh37	17	7128660	7137864	CCS	39.31	0	1
SLC2A4	GRCh37	17	7184986	7191576	CCS	45.31	0	1
YBX2	GRCh37	17	7191571	7197934	CCS	43.04	0	1
NLGN2	GRCh37	17	7308193	7323179	CCS	42.7	0	1
CHRNB1	GRCh37	17	7348380	7361026	CCS	44.49	0	1
MPDU1	GRCh37	17	7486847	7496107	CCS	47.52	0	1
SHBG	GRCh37	17	7517382	7536700	CCS	48.38	0	1
TP53	GRCh37	17	7565097	7590856	CCS	49.14	0	1
WRAP53	GRCh37	17	7589389	7606820	CCS	52.52	0	1
CHD3	GRCh37	17	7788124	7816078	CCS	50.14	0	1
GUCY2D	GRCh37	17	7905912	7923657	CCS	56.04	0	1
ALOX12B	GRCh37	17	7975954	7991021	CCS	49.52	0	1
ALOXE3	GRCh37	17	7999218	8022365	CCS	47.24	0	1
HES7	GRCh37	17	8023908	8027410	CCS	46.55	0	1
PER1	GRCh37	17	8043790	8059824	CCS	44.2	0	1
CTC1	GRCh37	17	8130191	8151362	CCS	53.88	0	1
RANGRF	GRCh37	17	8191815	8193410	CCS	42.81	0	1
RPL26	GRCh37	17	8280838	8286531	CCS	43.27	0	1
PIK3R5	GRCh37	17	8782233	8869029	CCS	53.93	0	1
GAS7	GRCh37	17	9813926	10101868	CCS	48.92	0	1
MYH2	GRCh37	17	10424465	10453274	CCS	61.4	0	1
MYH3	GRCh37	17	10531843	10560626	CCS	51.85	0	1
SCO1	GRCh37	17	10583654	10601692	CCS	58.43	0	1
DNAH9	GRCh37	17	11501748	11873065	CCS	49.37	0	1
MAP2K4	GRCh37	17	11924141	12047147	CCS	51.27	0	1
MYOCD	GRCh37	17	12569207	12672266	CCS	46.96	0	1
